Felix Dennis,Pete Alcorn,John La Grou,Kevin Surace,Iraola,isPartial
37,0,0,0,30,False
45,0,0,0,22,False
18,0,0,0,36,False
14,0,0,0,29,False
18,0,0,0,19,False
31,0,0,0,24,False
32,0,0,0,25,False
24,0,0,0,47,False
49,0,0,0,33,False
22,0,0,0,22,False
22,0,0,0,11,False
26,0,0,0,16,False
27,0,0,0,27,False
10,0,0,0,29,False
8,0,0,0,12,False
9,0,0,0,18,False
12,0,0,0,24,False
12,0,0,0,24,False
20,0,0,0,28,False
16,0,0,0,16,False
11,0,0,0,25,False
7,0,0,0,33,False
7,0,0,0,27,False
20,0,0,0,26,False
9,0,0,0,20,False
24,0,0,0,21,False
10,0,0,0,43,False
11,0,0,0,24,False
7,0,0,0,38,False
10,0,0,0,39,False
18,0,0,0,34,False
31,0,0,5,22,False
32,0,0,0,14,False
21,0,0,0,13,False
27,0,4,0,27,False
17,0,0,0,26,False
29,0,0,0,20,False
27,0,0,0,29,False
17,0,0,3,29,False
20,0,0,4,21,False
21,0,0,0,23,False
3,0,0,0,21,False
22,0,0,0,29,False
53,0,0,3,24,False
29,0,0,0,30,False
21,0,0,0,23,False
18,0,0,0,23,False
11,0,0,0,28,False
5,0,0,0,24,False
18,2,0,0,24,False
20,2,0,0,28,False
52,0,0,0,29,False
13,0,0,4,24,False
27,0,0,0,12,False
22,0,0,0,17,False
14,2,0,0,38,False
19,0,0,2,34,False
21,0,2,0,32,False
11,0,0,0,31,False
22,0,0,2,34,False
18,0,0,0,27,False
10,0,0,0,30,False
15,0,0,0,31,False
15,0,0,0,32,False
14,0,0,0,33,False
32,0,2,2,32,False
15,0,0,0,30,False
16,2,2,5,31,False
14,0,0,2,38,False
15,0,0,2,32,False
10,0,1,1,42,False
14,0,1,0,35,False
7,0,0,1,32,False
22,0,0,1,23,False
12,0,2,0,25,False
12,1,1,1,27,False
19,1,0,0,24,False
14,1,0,0,26,False
11,1,0,2,19,False
26,0,0,0,23,False
25,0,0,0,25,False
20,0,0,1,31,False
13,1,0,1,45,False
19,0,0,0,36,False
17,0,0,1,29,False
14,0,1,1,48,False
14,0,0,1,39,False
15,1,0,0,33,False
12,1,1,1,38,False
18,0,1,1,32,False
15,0,0,1,24,False
7,0,0,1,37,False
10,0,1,2,36,False
12,0,0,0,29,False
16,0,0,1,26,False
12,0,0,1,21,False
10,0,1,0,26,False
10,0,0,1,30,False
9,0,0,1,45,False
8,0,0,1,32,False
9,0,0,1,47,False
9,1,0,0,21,False
7,0,0,1,22,False
10,0,0,0,24,False
9,1,0,1,23,False
25,0,0,1,22,False
11,0,0,1,24,False
8,0,0,1,23,False
10,0,1,0,25,False
10,1,0,1,25,False
7,0,0,1,18,False
10,1,0,1,20,False
9,0,0,0,22,False
23,0,1,0,21,False
7,1,0,0,19,False
10,0,0,0,24,False
13,0,0,0,27,False
9,0,1,1,26,False
9,0,0,1,25,False
11,0,0,1,23,False
6,1,1,1,25,False
6,0,0,1,28,False
6,0,1,1,26,False
10,0,0,1,21,False
6,0,0,1,26,False
67,0,1,1,22,False
26,0,0,1,27,False
15,1,0,1,29,False
8,1,0,1,35,False
11,1,0,1,28,False
6,1,0,0,29,False
12,1,0,1,24,False
6,0,0,0,26,False
7,1,0,1,28,False
8,0,0,1,35,False
9,1,0,0,43,False
11,0,0,0,100,False
6,0,0,0,43,False
8,0,0,1,45,False
12,0,0,0,39,False
19,0,0,0,27,False
16,0,0,0,24,False
9,0,0,0,24,False
10,0,0,1,18,False
10,0,0,0,22,False
7,0,0,0,18,False
8,0,0,0,23,False
7,0,0,0,19,False
7,0,0,0,28,False
9,0,0,0,29,False
5,0,0,0,26,False
7,0,0,1,20,False
6,0,0,0,19,False
5,0,0,0,27,False
4,0,0,0,30,False
5,0,0,0,25,False
5,0,0,0,17,False
9,0,0,0,22,False
7,0,0,1,18,False
20,0,0,0,20,False
8,0,0,0,21,False
7,0,0,0,18,False
6,0,0,0,17,False
8,0,0,1,17,False
7,0,0,0,17,False
8,0,0,0,18,False
4,0,0,1,18,False
8,0,0,0,12,False
6,0,0,0,17,False
6,0,0,0,18,False
6,0,0,0,16,False
5,0,0,0,15,False
6,0,0,0,18,False
5,0,0,0,18,False
8,0,0,1,16,False
10,0,0,0,19,False
7,0,0,0,21,False
3,0,0,0,19,False
4,0,0,0,20,False
4,0,0,0,19,False
6,0,0,0,15,False
5,0,0,0,18,False
6,0,0,0,16,False
6,0,0,0,18,False
4,0,0,0,17,False
5,0,0,1,16,False
6,0,0,0,20,False
7,0,0,0,17,False
7,0,0,0,18,False
5,0,0,0,15,False
5,0,0,0,18,False
9,0,0,0,16,False
5,0,0,0,27,False
10,0,0,1,48,False
6,0,0,0,21,False
7,0,0,0,14,False
7,0,0,0,16,False
6,0,0,0,12,False
5,0,0,0,34,False
6,0,0,0,27,False
5,0,0,0,21,False
5,0,0,1,17,True
