Elliot Krane,Terry Moore,Improv Everywhere,Aaron Koblin,Iraola,isPartial
0,30,0,0,7,False
0,20,0,0,20,False
0,20,0,0,8,False
0,13,0,0,19,False
0,11,5,0,14,False
0,19,0,0,19,False
0,26,0,0,11,False
0,21,0,0,26,False
0,19,0,0,15,False
0,22,15,0,5,False
0,20,0,0,5,False
0,23,0,0,16,False
0,24,4,0,10,False
0,32,4,0,11,False
0,25,4,0,5,False
0,24,20,0,8,False
0,32,7,0,10,False
0,23,14,0,7,False
0,16,18,0,9,False
0,24,3,0,3,False
0,23,3,0,12,False
0,24,7,3,18,False
3,24,7,0,18,False
0,22,9,3,10,False
0,14,33,0,6,False
0,18,7,0,9,False
0,21,13,0,18,False
0,23,18,0,8,False
0,9,42,0,14,False
0,16,15,0,9,False
0,14,15,0,13,False
0,15,25,2,10,False
0,13,17,2,8,False
0,13,12,0,7,False
0,14,11,2,11,False
0,17,8,2,18,False
0,13,20,0,13,False
0,19,4,2,17,False
0,16,12,3,16,False
0,17,15,0,8,False
0,13,7,0,11,False
0,15,7,4,11,False
0,14,8,5,5,False
0,13,14,4,10,False
0,19,6,1,13,False
0,14,10,0,15,False
0,15,8,1,8,False
0,17,10,1,13,False
0,17,18,0,10,False
0,12,100,1,13,False
0,10,76,2,11,False
0,20,61,1,16,False
0,12,40,2,12,False
0,14,28,2,8,False
0,25,40,2,10,False
0,18,27,1,19,False
0,11,31,0,16,False
0,17,19,1,15,False
0,16,31,1,14,False
0,12,21,1,14,False
0,15,55,2,13,False
0,19,32,1,14,False
0,17,27,1,13,False
0,19,47,1,14,False
1,11,35,2,14,False
0,12,47,1,10,False
0,19,33,1,12,False
1,17,35,2,13,False
0,16,37,2,18,False
0,15,53,1,16,False
0,14,51,1,15,False
1,13,58,2,15,False
0,12,71,2,18,False
0,17,28,1,11,False
0,19,29,1,10,False
0,13,53,2,13,False
0,16,49,1,13,False
0,16,31,1,13,False
0,16,65,1,8,False
0,14,39,2,12,False
0,16,34,1,14,False
0,13,45,2,15,False
0,11,34,2,18,False
0,11,40,2,14,False
0,15,44,1,12,False
0,16,26,2,14,False
0,14,23,1,16,False
0,14,29,2,12,False
0,15,22,5,15,False
1,15,32,4,13,False
0,15,32,3,11,False
0,15,30,2,15,False
1,10,22,2,15,False
1,12,22,1,11,False
0,12,36,3,13,False
0,12,27,1,11,False
1,13,43,1,10,False
0,14,20,2,12,False
0,13,23,1,23,False
1,14,26,2,13,False
0,11,18,2,17,False
0,15,14,2,12,False
0,14,18,1,11,False
1,10,13,2,10,False
0,13,12,1,10,False
1,11,14,2,10,False
0,13,14,2,9,False
0,11,15,1,11,False
1,12,20,1,12,False
0,10,11,2,13,False
0,11,21,2,9,False
0,11,16,1,11,False
0,11,10,1,10,False
0,11,10,1,11,False
0,12,14,1,10,False
0,12,10,1,10,False
0,14,9,2,11,False
0,11,14,2,11,False
0,11,21,3,11,False
0,9,12,1,12,False
0,10,15,1,10,False
0,8,7,2,11,False
0,8,5,2,12,False
0,10,7,2,9,False
0,10,6,1,9,False
0,14,5,1,10,False
1,8,11,0,10,False
0,10,7,1,14,False
1,10,8,0,15,False
0,8,5,1,13,False
0,8,5,1,13,False
0,9,7,1,9,False
0,10,10,1,10,False
0,9,4,1,12,False
0,10,4,1,15,False
0,10,5,1,16,False
0,10,4,1,45,False
0,12,3,1,18,False
0,10,4,1,22,False
0,9,4,1,16,False
0,10,3,0,13,False
0,9,4,1,10,False
0,9,3,1,9,False
0,7,3,1,9,False
0,12,5,0,11,False
0,9,2,1,9,False
0,8,3,1,10,False
0,10,4,0,9,False
0,9,3,0,11,False
0,10,7,0,11,False
0,8,2,0,12,False
0,9,1,1,7,False
0,9,2,1,10,False
0,9,2,0,11,False
0,9,2,1,13,False
0,10,2,0,9,False
0,9,2,0,9,False
0,9,1,1,10,False
0,7,1,0,9,False
0,7,2,1,8,False
0,8,2,1,8,False
0,8,1,0,9,False
0,10,1,0,7,False
0,8,2,0,6,False
0,6,2,0,7,False
0,6,1,0,6,False
0,10,2,0,7,False
0,10,1,0,5,False
0,8,1,0,7,False
0,8,1,1,9,False
0,7,1,0,8,False
0,7,2,0,6,False
0,6,1,0,8,False
0,8,1,0,7,False
0,7,0,0,8,False
0,8,1,0,8,False
0,7,1,0,8,False
1,6,1,0,9,False
0,8,1,0,7,False
0,11,1,0,8,False
0,7,1,0,7,False
0,6,1,0,8,False
0,7,1,0,7,False
0,7,1,0,7,False
0,5,1,0,10,False
0,7,0,0,7,False
0,6,1,0,9,False
0,7,1,0,8,False
0,8,1,0,7,False
0,7,1,0,7,False
0,7,1,0,8,False
0,7,1,1,7,False
0,10,1,0,11,False
0,14,1,0,23,False
0,6,1,0,10,False
0,8,1,0,6,False
0,8,0,0,6,False
0,9,0,0,8,False
0,7,0,0,14,False
0,8,1,0,12,False
0,10,0,0,8,False
0,8,0,0,7,True
