Ryan Holladay,Harish Manwani,Mark Kendall,Luke Syson,Iraola,isPartial
0,14,14,0,28,False
14,0,14,0,37,False
0,0,17,0,17,False
0,0,13,0,31,False
0,0,29,0,27,False
12,0,23,0,35,False
0,0,12,0,28,False
0,0,22,0,39,False
0,0,20,0,31,False
0,0,11,0,21,False
11,0,18,0,14,False
0,10,23,0,33,False
9,9,20,0,26,False
0,9,0,0,23,False
8,0,15,8,18,False
0,0,17,0,17,False
11,7,17,7,17,False
8,8,15,8,15,False
15,0,12,0,15,False
7,7,11,0,15,False
7,0,10,0,29,False
6,12,8,0,31,False
0,0,12,0,27,False
0,6,19,0,23,False
5,5,8,0,16,False
6,6,13,6,20,False
0,5,19,5,38,False
5,0,12,0,19,False
0,0,7,0,25,False
0,5,8,0,26,False
5,0,10,0,29,False
5,5,11,0,24,False
4,4,7,0,20,False
4,4,8,4,20,False
0,0,6,0,21,False
4,0,4,0,32,False
3,0,6,0,23,False
0,0,10,0,30,False
3,3,6,0,34,False
5,3,17,0,21,False
3,0,9,0,22,False
0,3,5,0,28,False
0,3,11,0,16,False
3,3,17,0,21,False
3,3,7,0,30,False
2,5,3,0,27,False
2,2,5,2,16,False
3,3,5,0,26,False
2,2,8,2,22,False
2,5,11,0,27,False
2,2,11,0,26,False
2,0,5,0,32,False
2,2,27,0,29,False
3,0,12,0,18,False
0,2,7,2,21,False
0,4,10,0,34,False
4,2,10,0,33,False
4,2,10,2,29,False
4,4,5,0,28,False
2,2,10,0,27,False
2,3,4,0,28,False
0,3,8,0,29,False
3,2,8,0,23,False
2,0,12,2,29,False
2,0,8,0,28,False
2,2,6,0,23,False
3,2,11,0,25,False
2,4,10,0,26,False
2,3,8,1,37,False
1,1,9,0,32,False
0,1,4,1,32,False
0,1,7,0,32,False
1,1,9,1,35,False
0,2,6,0,23,False
1,1,5,0,25,False
1,1,28,0,26,False
1,0,9,0,26,False
1,1,7,0,27,False
0,1,12,0,18,False
1,1,11,0,23,False
1,2,8,1,33,False
2,5,7,1,33,False
1,1,8,0,41,False
0,1,7,0,29,False
0,2,9,0,26,False
0,1,9,0,31,False
2,1,9,0,39,False
1,1,7,1,29,False
1,1,7,0,31,False
1,8,7,1,28,False
0,2,5,1,24,False
1,2,8,1,34,False
0,2,6,1,32,False
1,2,5,2,25,False
0,1,10,2,27,False
2,2,15,1,23,False
1,1,12,1,24,False
1,1,8,1,25,False
0,1,8,1,55,False
1,1,10,0,27,False
1,1,8,1,39,False
1,1,7,1,26,False
1,1,9,0,24,False
1,2,9,1,24,False
1,2,12,1,25,False
1,1,9,1,25,False
0,1,7,1,20,False
1,1,11,0,24,False
1,1,8,1,25,False
1,1,8,1,25,False
1,1,5,0,21,False
1,1,6,0,25,False
1,1,7,1,21,False
1,1,9,1,22,False
0,1,8,0,23,False
1,1,11,1,23,False
0,2,10,0,25,False
1,1,7,1,24,False
1,1,7,1,24,False
0,1,8,1,24,False
3,3,13,1,24,False
1,1,15,1,23,False
1,2,10,0,26,False
1,1,23,1,18,False
2,2,12,1,21,False
1,1,11,1,19,False
1,2,13,1,20,False
1,1,13,0,29,False
1,2,9,1,30,False
1,1,8,0,26,False
1,1,11,1,26,False
0,1,6,0,19,False
0,1,11,1,22,False
1,1,13,1,25,False
1,1,8,1,31,False
1,1,12,1,36,False
1,2,14,1,100,False
0,1,11,0,40,False
1,1,12,0,48,False
1,1,10,0,33,False
0,1,12,0,27,False
1,1,9,1,22,False
1,1,11,0,20,False
0,1,12,0,22,False
0,1,17,0,24,False
0,1,14,0,18,False
0,1,14,1,21,False
1,1,14,0,20,False
0,1,11,0,26,False
0,0,11,0,24,False
0,1,8,0,27,False
0,1,9,0,16,False
0,1,8,0,22,False
0,1,8,0,22,False
0,3,9,0,27,False
0,1,8,0,20,False
1,1,8,0,17,False
1,1,10,0,19,False
0,1,9,0,18,False
0,1,11,0,17,False
1,1,10,0,19,False
0,1,10,0,18,False
1,1,8,0,17,False
0,0,7,0,15,False
0,1,9,0,14,False
0,1,11,1,14,False
1,1,8,1,15,False
0,1,6,0,11,False
0,1,9,0,16,False
1,1,10,0,18,False
0,1,7,1,17,False
0,2,7,0,12,False
1,2,8,0,16,False
1,1,7,1,17,False
1,1,8,0,15,False
0,1,8,0,16,False
0,1,10,0,17,False
0,1,6,1,19,False
0,1,10,0,15,False
1,1,8,0,15,False
0,1,9,1,15,False
1,0,6,0,18,False
0,1,8,0,15,False
0,1,6,0,16,False
3,0,7,1,19,False
1,1,6,1,15,False
0,0,6,0,19,False
0,0,6,1,19,False
0,1,7,0,15,False
0,1,6,1,16,False
0,0,6,0,17,False
1,0,8,0,15,False
1,1,5,0,25,False
0,1,7,0,46,False
0,1,6,0,20,False
0,1,6,1,13,False
0,1,7,1,13,False
0,0,8,0,16,False
0,0,7,0,28,False
0,0,6,0,26,False
1,1,7,0,19,False
0,1,6,0,16,True
