Kenneth Cukier,Eman Mohammed,Matthew O'Reilly,Francis de los Reyes,Iraola,isPartial
0,0,0,0,28,False
0,0,0,0,37,False
0,0,0,17,17,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,10,0,33,False
0,0,0,0,26,False
0,0,0,9,23,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,17,False
0,8,0,0,15,False
0,0,0,0,15,False
0,0,0,0,15,False
7,0,0,0,29,False
0,0,0,0,31,False
0,0,0,6,27,False
6,0,0,0,23,False
0,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,38,False
5,0,0,0,19,False
5,5,0,0,25,False
0,0,0,0,26,False
0,0,0,5,29,False
0,0,0,0,24,False
0,0,4,0,20,False
4,0,0,0,20,False
0,4,4,4,21,False
0,0,4,4,32,False
0,0,0,0,23,False
4,0,0,4,30,False
3,0,0,3,34,False
0,0,0,0,21,False
0,3,0,0,22,False
0,3,0,3,28,False
0,3,0,3,16,False
0,0,0,0,21,False
0,0,0,3,30,False
0,0,0,2,27,False
0,0,2,2,16,False
0,0,0,0,26,False
0,0,4,2,22,False
0,2,2,0,27,False
2,2,0,4,26,False
2,0,0,0,32,False
0,0,2,0,29,False
2,2,0,0,18,False
0,0,2,0,21,False
0,0,0,2,34,False
0,0,2,0,33,False
0,2,0,2,29,False
2,0,0,0,28,False
0,0,0,0,27,False
2,0,2,0,28,False
0,4,2,2,29,False
0,0,2,0,23,False
0,2,0,0,29,False
2,2,0,2,28,False
0,2,0,0,23,False
0,0,0,0,25,False
2,2,0,0,26,False
0,0,0,1,37,False
0,0,1,0,32,False
0,1,1,2,32,False
0,1,1,1,32,False
0,1,1,0,35,False
1,1,0,1,23,False
6,2,1,1,25,False
0,0,2,0,26,False
1,4,0,0,26,False
3,2,1,0,27,False
0,2,1,0,18,False
0,1,0,0,23,False
0,2,0,1,33,False
0,0,1,1,33,False
0,1,1,1,41,False
1,1,0,0,29,False
0,1,0,1,26,False
1,1,1,1,31,False
2,0,1,1,39,False
1,1,1,0,29,False
0,1,1,1,31,False
1,0,2,0,28,False
1,1,1,0,24,False
0,0,1,1,34,False
0,2,1,0,32,False
0,1,1,0,25,False
0,1,0,0,27,False
0,0,1,0,23,False
0,0,1,1,24,False
1,1,1,1,25,False
1,1,1,1,55,False
0,1,1,1,27,False
0,1,1,1,39,False
1,0,0,1,26,False
1,1,1,1,24,False
1,0,1,1,24,False
0,1,1,1,25,False
1,1,0,1,25,False
1,1,1,0,20,False
0,1,0,0,24,False
1,1,0,1,25,False
1,1,1,1,25,False
1,1,1,0,21,False
1,0,0,1,25,False
2,1,0,0,21,False
1,1,0,1,22,False
1,0,1,1,23,False
1,1,0,1,23,False
2,1,0,1,25,False
1,0,1,1,24,False
2,1,0,1,24,False
1,1,1,1,24,False
1,1,0,0,24,False
1,1,1,1,23,False
1,0,0,0,26,False
1,1,1,1,18,False
2,1,0,0,21,False
1,1,1,0,19,False
1,0,1,1,20,False
0,1,0,1,29,False
2,2,1,1,30,False
2,2,0,1,26,False
1,2,0,1,26,False
1,1,0,0,19,False
1,1,0,1,22,False
1,1,1,1,25,False
1,1,0,0,31,False
1,1,0,0,36,False
1,1,0,0,100,False
1,0,0,0,40,False
1,1,0,0,48,False
1,1,0,0,33,False
1,0,0,0,27,False
2,1,0,1,22,False
1,0,1,0,20,False
1,1,1,0,22,False
1,0,1,0,24,False
1,0,1,1,18,False
1,1,1,2,21,False
1,1,0,1,20,False
1,1,0,0,26,False
1,1,0,0,24,False
1,0,0,1,27,False
0,0,0,0,16,False
1,0,0,0,22,False
2,0,1,0,22,False
1,1,0,0,27,False
0,1,1,0,20,False
1,1,0,1,17,False
1,1,1,1,19,False
0,1,0,0,18,False
1,0,2,0,17,False
1,1,0,0,19,False
1,1,0,0,18,False
0,2,1,0,17,False
1,0,0,0,15,False
1,1,0,0,14,False
1,0,0,0,14,False
1,1,2,0,15,False
1,1,0,0,11,False
1,1,1,0,16,False
1,1,1,1,18,False
1,1,0,1,17,False
0,1,1,0,12,False
0,1,0,0,16,False
1,1,1,0,17,False
1,1,0,0,15,False
0,1,0,0,16,False
1,0,1,0,17,False
1,1,0,0,19,False
1,1,1,0,15,False
1,0,0,0,15,False
1,1,0,0,15,False
1,0,0,0,18,False
1,0,0,0,15,False
1,1,0,0,16,False
1,1,0,0,19,False
1,1,0,0,15,False
1,0,1,0,19,False
1,0,0,0,19,False
0,1,0,0,15,False
0,0,0,0,16,False
0,1,0,0,17,False
1,1,0,0,15,False
1,0,0,0,25,False
1,0,0,1,46,False
0,0,0,0,20,False
1,0,0,0,13,False
0,1,0,0,13,False
1,1,1,0,16,False
1,0,0,0,28,False
1,0,0,0,26,False
1,0,1,0,19,False
0,0,0,0,16,True
