Bel Pesce,Eduardo Sáenz de Cabezón,Fred Jansen,Barat Ali Batoor,Iraola,isPartial
0,0,0,0,6,False
0,0,12,0,17,False
0,0,0,0,7,False
6,0,6,0,17,False
0,0,5,0,12,False
0,0,0,0,17,False
0,0,0,0,10,False
0,0,9,0,23,False
0,0,0,0,13,False
0,0,0,0,4,False
0,0,4,0,4,False
0,0,4,0,14,False
0,0,7,0,9,False
0,0,0,0,9,False
0,0,0,0,5,False
0,0,7,0,7,False
0,0,3,3,9,False
0,0,5,0,6,False
0,0,0,0,8,False
0,0,3,0,3,False
3,0,3,0,11,False
0,0,3,0,16,False
0,0,3,0,16,False
0,0,3,0,9,False
0,0,2,0,6,False
0,0,5,0,8,False
0,0,2,0,16,False
0,0,4,0,7,False
0,0,2,2,13,False
0,0,0,0,8,False
2,0,2,0,11,False
0,0,4,0,9,False
0,0,4,0,7,False
0,0,3,0,7,False
2,0,5,0,10,False
0,0,2,0,16,False
0,0,1,0,12,False
0,0,4,0,15,False
0,0,3,1,14,False
0,0,3,0,7,False
0,0,2,0,10,False
0,0,1,0,10,False
0,0,0,0,5,False
0,0,2,0,9,False
0,0,3,0,11,False
0,0,2,0,13,False
1,0,4,0,7,False
0,0,2,0,12,False
0,0,4,0,9,False
0,0,3,0,12,False
1,0,3,0,9,False
0,0,4,0,14,False
0,0,2,0,10,False
0,0,2,0,7,False
1,0,3,0,9,False
1,0,2,0,17,False
0,0,2,0,14,False
0,0,2,0,13,False
0,0,2,0,13,False
1,0,2,0,12,False
1,0,5,0,12,False
0,0,4,0,12,False
0,0,1,0,12,False
1,0,1,0,12,False
0,0,2,0,13,False
0,0,1,0,9,False
1,0,2,1,11,False
1,0,1,0,12,False
1,0,3,0,16,False
1,0,2,0,15,False
0,0,2,0,13,False
1,0,1,0,13,False
0,0,2,0,16,False
0,0,3,0,10,False
0,0,4,0,9,False
1,0,3,0,11,False
1,0,3,0,12,False
1,0,2,0,11,False
0,0,3,0,7,False
0,0,3,0,10,False
0,0,2,0,12,False
0,0,2,0,13,False
0,0,3,0,16,False
0,0,1,0,12,False
0,0,1,0,11,False
0,0,3,0,12,False
0,0,2,0,14,False
0,0,3,0,11,False
1,0,1,0,13,False
0,0,3,0,11,False
0,0,2,0,10,False
0,0,2,0,13,False
0,0,1,0,13,False
1,0,1,0,10,False
0,0,2,0,11,False
0,0,1,0,10,False
0,0,2,0,9,False
0,0,1,0,11,False
0,0,1,0,21,False
1,0,2,0,11,False
6,0,1,0,15,False
4,0,1,0,10,False
3,0,1,0,10,False
44,0,1,0,9,False
13,0,1,0,9,False
7,0,1,0,9,False
5,0,1,0,8,False
5,0,2,0,10,False
4,0,1,0,11,False
4,0,1,0,11,False
7,0,1,0,8,False
8,0,1,0,10,False
5,0,0,0,9,False
11,0,1,0,9,False
4,0,0,0,9,False
4,0,1,0,9,False
4,0,1,0,10,False
5,0,1,0,10,False
6,0,1,0,10,False
2,0,1,0,10,False
3,0,1,0,9,False
4,0,0,0,9,False
5,0,0,0,11,False
3,0,1,0,8,False
7,0,1,0,8,False
5,0,0,0,9,False
5,0,1,0,9,False
10,0,0,0,12,False
11,0,1,0,13,False
17,0,0,0,11,False
11,0,2,0,12,False
6,0,1,0,8,False
6,0,1,0,9,False
9,0,1,0,11,False
9,0,1,0,13,False
22,1,1,0,14,False
12,1,1,0,40,False
11,0,1,0,16,False
10,0,1,0,20,False
13,1,1,0,14,False
22,0,1,0,11,False
21,0,1,0,9,False
20,0,1,0,8,False
12,0,0,0,8,False
10,0,0,0,10,False
25,0,1,0,8,False
18,0,0,0,9,False
13,0,1,0,8,False
13,0,0,0,10,False
14,0,0,0,10,False
11,1,0,0,11,False
55,0,1,0,6,False
100,0,0,0,9,False
15,0,1,0,10,False
7,0,1,0,11,False
12,0,1,0,8,False
8,0,1,0,8,False
8,0,1,0,9,False
7,0,1,0,8,False
7,0,1,0,8,False
4,0,0,0,7,False
4,0,1,0,8,False
6,1,1,0,7,False
20,0,1,0,6,False
6,0,0,0,6,False
6,0,1,0,6,False
4,0,1,0,6,False
2,0,1,0,5,False
4,0,0,0,6,False
4,1,1,0,8,False
4,1,1,0,7,False
3,1,1,0,6,False
3,0,0,0,7,False
2,1,0,0,7,False
3,1,1,0,7,False
3,1,1,0,7,False
3,1,1,0,7,False
2,0,1,0,8,False
3,0,1,0,7,False
2,0,0,0,7,False
2,0,0,0,6,False
6,0,0,0,7,False
6,1,1,0,6,False
3,2,0,0,6,False
7,1,0,0,9,False
2,1,0,0,6,False
2,0,0,0,8,False
2,1,1,0,7,False
2,0,0,0,6,False
1,1,0,0,7,False
2,1,0,0,7,False
1,1,0,0,7,False
1,1,0,0,10,False
2,0,0,0,20,False
2,0,0,0,9,False
4,0,0,0,5,False
2,1,0,0,5,False
3,1,0,0,7,False
3,0,0,0,13,False
1,0,0,0,10,False
2,0,1,0,7,False
2,1,1,0,7,True
