Ray Kurzweil,Kevin Kelly,Peter Gabriel,Richard St. John,Iraola,isPartial
2,5,97,1,1,False
3,6,75,0,1,False
2,4,66,0,2,False
1,7,72,1,1,False
1,6,100,0,1,False
2,5,79,1,1,False
1,5,69,1,1,False
1,8,49,1,2,False
1,6,49,0,1,False
3,6,60,1,1,False
1,4,54,1,1,False
2,6,50,0,1,False
1,5,57,0,1,False
7,5,49,1,1,False
3,5,47,1,1,False
2,6,42,0,1,False
1,6,44,1,1,False
1,4,42,0,1,False
3,5,44,1,1,False
3,6,39,1,1,False
2,6,45,0,1,False
6,7,47,0,2,False
4,6,46,1,1,False
4,5,45,0,1,False
4,7,46,1,1,False
2,3,51,0,1,False
3,5,45,0,2,False
2,4,42,1,1,False
3,5,40,0,2,False
2,4,34,0,2,False
2,4,34,0,2,False
2,4,39,0,1,False
2,5,38,0,1,False
3,4,40,1,1,False
3,4,37,0,1,False
2,5,35,0,1,False
2,3,30,0,1,False
2,4,35,1,1,False
2,5,36,0,1,False
1,4,39,0,1,False
2,4,44,0,1,False
2,4,54,0,1,False
2,5,45,1,1,False
2,3,33,0,1,False
1,4,31,0,1,False
2,4,29,0,1,False
2,4,28,0,1,False
1,4,26,0,1,False
3,4,31,0,1,False
3,5,27,0,1,False
3,4,24,1,1,False
3,4,25,0,1,False
3,5,27,0,1,False
5,4,29,0,1,False
2,4,32,0,1,False
2,4,29,0,2,False
2,4,26,0,2,False
2,4,26,0,1,False
2,3,28,0,1,False
1,4,33,0,2,False
2,6,36,0,1,False
3,5,45,0,1,False
2,4,47,0,1,False
3,4,29,0,1,False
3,4,35,0,2,False
2,4,27,1,1,False
2,4,28,1,1,False
3,4,31,0,1,False
4,4,27,1,2,False
3,4,28,0,1,False
2,4,29,0,2,False
2,4,31,0,2,False
3,3,39,0,1,False
2,4,63,0,1,False
1,3,52,0,1,False
3,3,36,0,1,False
2,3,36,0,1,False
2,4,30,0,1,False
2,4,28,0,1,False
2,4,29,0,1,False
2,3,35,0,1,False
2,4,27,0,1,False
2,4,26,0,2,False
2,4,24,0,2,False
2,4,26,0,1,False
4,4,24,0,2,False
5,4,30,0,2,False
4,4,27,0,1,False
3,3,24,0,2,False
8,4,36,0,1,False
4,4,26,0,1,False
4,4,26,0,2,False
3,4,29,0,2,False
3,4,47,0,1,False
3,4,44,0,1,False
3,3,30,0,1,False
3,4,27,0,1,False
3,4,26,0,1,False
3,3,28,0,2,False
2,3,27,0,1,False
4,4,33,0,2,False
2,3,26,0,1,False
3,4,23,0,1,False
2,4,24,0,1,False
2,4,38,0,1,False
3,3,30,0,1,False
3,3,26,0,1,False
6,3,25,0,1,False
4,4,21,0,1,False
3,3,20,0,1,False
3,3,20,0,1,False
3,4,19,0,1,False
2,3,19,0,1,False
3,3,17,0,1,False
2,3,19,0,1,False
2,3,20,0,1,False
2,3,25,0,1,False
2,3,40,0,1,False
2,3,26,0,1,False
3,4,25,0,1,False
2,3,22,0,1,False
3,3,20,0,1,False
2,3,21,0,1,False
3,3,26,0,1,False
2,3,32,0,1,False
3,3,26,0,1,False
2,3,20,0,1,False
2,3,21,0,1,False
2,3,19,0,2,False
2,3,21,0,1,False
2,3,29,0,1,False
2,3,21,0,1,False
2,3,19,0,1,False
2,3,18,0,1,False
2,3,16,0,2,False
3,5,15,0,2,False
2,4,16,0,5,False
2,4,14,0,2,False
2,3,17,0,2,False
2,3,16,0,2,False
2,3,14,0,1,False
2,3,16,0,1,False
2,3,17,0,1,False
2,4,16,0,1,False
2,3,28,0,1,False
2,3,19,0,1,False
2,3,14,0,1,False
2,3,17,0,1,False
2,3,17,0,1,False
1,4,22,0,1,False
2,3,27,0,1,False
1,3,16,0,1,False
2,3,17,0,1,False
1,3,16,0,1,False
2,3,14,0,1,False
1,3,14,0,1,False
1,3,14,0,1,False
2,3,15,0,1,False
2,3,13,0,1,False
2,3,14,0,1,False
2,4,12,0,1,False
2,4,12,0,1,False
1,6,12,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,4,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
2,3,13,0,1,False
1,3,13,0,1,False
2,2,12,0,1,False
1,2,13,0,1,False
1,2,12,0,1,False
1,2,12,0,1,False
1,3,13,0,1,False
2,2,13,0,1,False
1,5,12,0,1,False
1,2,15,0,1,False
1,3,12,0,1,False
1,2,13,0,1,False
1,2,13,0,1,False
1,3,12,0,1,False
1,2,15,0,1,False
1,2,14,0,1,False
1,3,13,0,1,False
1,2,12,0,1,False
1,2,13,0,1,False
1,2,12,0,1,False
1,3,12,0,1,False
1,2,16,0,2,False
1,2,15,0,1,False
1,2,16,0,1,False
1,3,15,0,1,False
1,3,14,0,1,False
1,6,13,0,2,False
1,3,13,0,1,False
1,2,10,0,1,False
1,2,11,0,1,True
