Francis Collins,Mark Shaw,Richard Turere,Colin Camerer,Iraola,isPartial
31,26,0,13,26,False
66,44,0,26,35,False
27,43,0,24,16,False
34,34,0,13,29,False
33,29,0,11,25,False
14,29,0,16,33,False
34,49,0,23,27,False
37,39,0,11,37,False
29,29,0,15,29,False
33,30,0,10,20,False
30,27,0,10,13,False
18,31,0,9,31,False
28,38,0,16,24,False
30,40,0,13,21,False
12,43,0,9,17,False
37,21,0,8,16,False
16,54,0,9,16,False
7,26,0,14,14,False
15,26,0,12,14,False
28,37,0,0,14,False
21,36,0,8,27,False
16,32,0,6,30,False
12,39,0,9,26,False
17,31,0,6,21,False
22,39,0,10,15,False
14,33,0,5,19,False
21,29,0,7,36,False
16,32,0,14,18,False
9,41,0,6,24,False
36,15,0,5,25,False
66,18,0,9,28,False
33,22,0,6,23,False
45,26,0,4,19,False
24,30,0,10,19,False
55,18,0,7,19,False
52,19,0,0,30,False
43,19,0,3,22,False
31,24,0,3,29,False
46,23,0,3,32,False
71,23,0,3,20,False
29,19,0,4,21,False
29,35,0,6,26,False
33,32,0,4,15,False
28,32,0,3,20,False
38,19,0,3,28,False
41,28,0,0,25,False
48,20,0,3,15,False
33,18,0,4,25,False
32,30,0,3,21,False
41,16,0,2,25,False
42,23,0,3,25,False
42,27,0,3,30,False
33,25,0,3,27,False
22,15,0,6,17,False
28,22,0,3,20,False
31,22,0,5,32,False
23,16,0,4,31,False
39,24,0,5,27,False
37,17,0,2,26,False
25,21,0,3,25,False
31,21,0,2,26,False
32,20,0,2,27,False
34,19,0,1,21,False
35,25,0,7,28,False
41,18,0,4,26,False
27,24,0,2,22,False
100,25,0,2,23,False
55,23,0,2,25,False
38,26,0,2,35,False
46,19,0,2,30,False
36,35,0,1,30,False
28,19,0,3,30,False
34,17,0,2,33,False
30,20,0,1,22,False
46,25,0,2,23,False
29,27,0,2,24,False
27,21,0,3,24,False
26,18,0,2,25,False
32,31,0,2,17,False
25,25,0,1,22,False
32,23,0,2,31,False
28,19,0,1,31,False
27,17,0,1,38,False
27,22,0,1,27,False
32,24,0,1,25,False
29,16,0,2,29,False
32,18,0,1,37,False
28,19,0,2,27,False
24,22,0,1,30,False
21,20,0,1,26,False
21,17,0,2,22,False
23,19,0,1,32,False
19,18,0,2,30,False
28,18,0,2,23,False
22,19,0,1,25,False
22,18,0,2,22,False
24,16,0,1,22,False
22,17,0,1,24,False
27,17,0,2,52,False
29,19,0,2,26,False
34,15,1,1,37,False
15,20,0,1,24,False
17,20,1,1,23,False
20,21,1,3,22,False
30,24,1,1,24,False
23,23,0,2,23,False
24,19,1,2,19,False
22,17,0,1,23,False
21,21,1,2,23,False
33,20,6,1,23,False
27,18,4,2,20,False
35,19,2,3,23,False
20,19,1,1,20,False
23,21,3,1,20,False
21,18,1,2,22,False
22,22,1,2,22,False
24,23,1,4,24,False
23,20,1,2,23,False
25,20,2,2,23,False
17,18,1,1,23,False
19,22,0,1,22,False
28,20,1,1,22,False
22,23,1,1,24,False
23,20,1,1,17,False
19,20,1,0,20,False
20,20,2,2,18,False
15,17,1,1,19,False
18,35,1,1,28,False
17,18,1,1,29,False
26,37,2,1,25,False
16,23,1,1,24,False
22,19,1,1,18,False
19,18,1,2,20,False
19,17,1,1,24,False
21,17,1,1,29,False
24,20,1,1,34,False
18,21,1,1,94,False
18,19,1,1,37,False
17,17,1,1,45,False
16,18,0,0,31,False
21,19,2,1,26,False
17,22,1,1,21,False
16,19,1,1,19,False
16,23,1,0,21,False
19,19,1,1,23,False
17,20,1,2,17,False
16,17,1,1,20,False
15,19,1,1,19,False
17,20,1,0,24,False
15,15,1,0,23,False
13,16,1,1,25,False
14,14,1,1,15,False
13,17,1,1,20,False
15,15,2,1,21,False
16,17,1,1,25,False
13,20,1,1,19,False
18,17,1,2,16,False
18,17,1,0,18,False
19,16,1,0,17,False
18,15,1,1,16,False
19,17,1,1,18,False
20,15,1,1,17,False
13,17,1,0,16,False
11,15,1,1,14,False
14,14,1,1,13,False
18,19,1,2,14,False
16,17,2,1,14,False
14,16,1,1,11,False
15,18,1,0,15,False
16,17,1,1,17,False
18,16,0,0,16,False
13,17,1,1,12,False
15,13,1,1,15,False
18,12,1,0,16,False
13,13,1,1,14,False
19,14,2,0,15,False
18,13,1,1,16,False
16,13,1,1,18,False
16,15,1,1,14,False
14,13,1,0,15,False
23,15,1,1,14,False
14,15,1,1,17,False
22,16,1,1,14,False
20,14,1,1,15,False
16,12,1,0,18,False
16,13,1,0,14,False
17,14,0,1,18,False
14,15,1,0,18,False
14,15,1,0,14,False
16,15,1,1,15,False
16,16,1,1,16,False
12,12,1,0,14,False
17,15,2,0,23,False
23,18,2,0,44,False
21,14,1,1,19,False
25,13,1,0,12,False
28,19,1,1,12,False
22,16,1,0,15,False
39,13,1,1,26,False
24,10,1,0,25,False
21,12,1,0,18,False
22,15,1,1,15,True
