Robert Thurman,David Rockwell,Thomas Barnett,Ethel,Iraola,isPartial
2,1,0,32,1,False
1,1,1,39,2,False
4,2,1,35,1,False
2,1,2,38,1,False
1,1,4,34,1,False
2,1,2,40,1,False
1,1,2,29,1,False
1,1,1,31,2,False
2,0,8,33,1,False
2,2,3,36,1,False
2,1,1,32,1,False
2,1,4,35,1,False
1,1,3,34,1,False
2,1,2,100,1,False
2,1,1,49,1,False
1,1,1,44,1,False
2,1,1,33,1,False
1,1,2,35,1,False
1,1,2,34,1,False
1,1,1,31,1,False
1,1,2,27,1,False
1,1,2,30,1,False
1,1,2,35,1,False
1,1,1,31,1,False
1,1,2,28,1,False
1,1,2,28,1,False
1,1,1,30,2,False
2,1,1,28,1,False
1,0,1,29,2,False
1,0,1,26,2,False
1,1,1,27,1,False
1,1,3,30,1,False
1,1,1,25,1,False
0,1,1,28,1,False
1,1,1,26,1,False
1,1,0,25,1,False
1,1,2,26,1,False
1,0,1,28,1,False
1,1,1,25,1,False
1,1,1,29,1,False
0,1,1,28,1,False
0,1,1,26,1,False
1,0,1,25,1,False
1,0,1,25,1,False
1,1,1,26,1,False
1,1,1,26,1,False
1,0,1,35,1,False
1,1,0,30,1,False
1,1,1,27,1,False
1,1,1,28,1,False
1,1,1,25,1,False
1,1,1,31,1,False
1,1,1,27,1,False
1,0,1,25,1,False
1,1,1,23,1,False
1,1,1,24,1,False
1,1,1,23,2,False
1,1,1,24,1,False
1,1,1,24,2,False
1,0,0,25,1,False
1,0,1,21,1,False
1,1,1,22,1,False
1,1,1,21,1,False
1,1,1,22,1,False
1,0,0,24,1,False
1,0,1,21,1,False
0,1,1,23,1,False
1,0,0,36,2,False
1,1,1,23,2,False
1,1,1,25,1,False
1,0,1,23,2,False
1,0,0,23,2,False
1,0,0,22,2,False
1,0,0,28,1,False
1,1,1,23,1,False
1,0,1,22,1,False
1,1,0,20,1,False
1,1,1,20,1,False
1,1,0,19,1,False
1,0,1,20,1,False
1,0,0,19,1,False
1,1,0,19,1,False
1,0,0,20,2,False
1,0,1,22,2,False
1,0,0,22,1,False
0,0,0,20,2,False
0,0,1,22,2,False
1,0,0,27,2,False
1,0,1,21,2,False
1,0,0,22,1,False
0,0,0,25,1,False
1,0,0,20,2,False
1,0,0,24,2,False
1,0,0,20,1,False
1,0,0,21,1,False
0,0,0,20,1,False
1,0,0,22,1,False
1,0,0,23,2,False
1,0,0,20,2,False
1,0,0,19,1,False
0,0,0,21,2,False
1,0,0,24,1,False
1,0,0,21,1,False
1,0,0,21,1,False
0,0,1,20,1,False
1,0,0,33,1,False
1,0,0,21,1,False
1,0,0,20,1,False
1,0,0,22,1,False
0,0,0,20,1,False
1,0,0,27,1,False
1,0,0,20,1,False
0,0,0,20,1,False
0,0,0,19,1,False
0,0,0,17,1,False
1,0,0,19,1,False
0,0,0,19,1,False
0,0,0,19,1,False
1,0,0,24,1,False
0,0,0,21,1,False
0,0,0,19,1,False
0,0,0,19,1,False
1,0,0,19,1,False
0,0,0,19,1,False
1,0,0,18,1,False
0,0,0,19,1,False
0,0,0,17,1,False
0,0,0,21,1,False
0,0,0,17,2,False
0,0,0,19,1,False
0,0,0,19,1,False
0,0,0,18,1,False
1,0,0,19,1,False
1,0,0,19,1,False
2,0,0,18,2,False
1,0,0,18,2,False
0,0,0,20,4,False
1,0,0,18,2,False
0,0,0,16,2,False
0,0,1,18,2,False
0,0,1,19,1,False
0,0,1,19,1,False
0,0,1,17,1,False
0,0,0,19,1,False
0,0,0,17,1,False
0,0,0,19,1,False
0,0,0,18,1,False
0,0,0,21,1,False
0,0,0,18,1,False
0,0,0,16,1,False
0,0,0,18,1,False
0,0,0,17,1,False
0,0,0,19,1,False
0,0,0,20,1,False
0,0,0,20,1,False
0,0,0,28,1,False
0,0,0,23,1,False
0,0,0,22,1,False
0,0,0,21,1,False
0,0,0,24,1,False
0,0,0,21,1,False
0,0,0,19,1,False
0,0,0,19,1,False
0,0,0,21,1,False
0,0,0,17,1,False
0,0,0,18,1,False
0,0,0,19,1,False
0,0,0,19,1,False
0,0,0,19,1,False
1,0,0,18,1,False
0,0,0,21,1,False
0,0,0,22,1,False
0,0,0,20,1,False
0,0,0,20,1,False
0,0,0,17,1,False
0,0,0,18,1,False
0,0,0,19,1,False
0,0,0,17,1,False
0,0,0,19,1,False
0,0,0,21,1,False
0,0,0,18,1,False
0,0,0,19,1,False
0,0,0,18,1,False
0,0,0,18,1,False
0,0,0,16,1,False
0,0,0,16,1,False
0,0,0,16,1,False
0,0,0,25,1,False
0,0,0,17,1,False
0,0,0,18,1,False
0,0,0,20,1,False
0,0,0,17,1,False
0,0,0,16,1,False
0,0,0,17,2,False
0,0,0,18,1,False
0,0,0,22,1,False
0,0,0,18,1,False
0,0,0,18,1,False
0,0,0,17,1,False
0,0,0,17,1,False
0,0,0,15,1,False
0,0,0,16,1,True
