Shekhar Kapur,Sam Harris,Juliana Machado Ferreira,Alan Siegel,Iraola,isPartial
3,7,0,3,5,False
5,7,0,0,7,False
4,7,0,3,3,False
2,8,0,2,6,False
5,8,0,2,5,False
2,3,2,2,6,False
2,8,0,0,5,False
6,13,0,0,7,False
2,7,0,2,6,False
3,16,0,2,4,False
4,13,0,2,3,False
3,20,0,2,6,False
2,10,2,4,5,False
2,18,0,3,4,False
1,9,0,3,3,False
3,12,0,3,3,False
3,9,0,2,3,False
2,12,0,2,3,False
3,11,0,1,3,False
3,9,1,1,3,False
2,6,0,2,5,False
3,13,0,1,6,False
2,13,0,0,5,False
1,28,0,2,4,False
1,29,0,1,3,False
2,21,0,1,4,False
3,15,0,3,7,False
2,16,1,1,3,False
2,20,0,1,5,False
2,11,0,1,5,False
2,13,0,2,5,False
3,15,0,1,4,False
2,42,0,1,4,False
1,39,0,1,4,False
1,42,0,2,4,False
2,39,0,1,6,False
2,41,0,1,4,False
2,39,0,1,5,False
3,29,0,1,6,False
3,30,0,1,4,False
1,29,0,2,4,False
1,26,1,1,5,False
1,30,0,1,3,False
2,24,0,1,4,False
3,23,0,1,5,False
4,26,0,1,5,False
5,20,0,1,3,False
3,29,0,0,5,False
4,22,0,1,4,False
3,23,0,2,5,False
3,22,0,1,5,False
2,21,0,1,6,False
2,21,0,1,5,False
2,19,0,0,3,False
2,20,0,1,4,False
2,19,0,1,6,False
2,24,0,1,6,False
2,21,0,1,5,False
1,17,0,1,5,False
2,18,0,1,5,False
2,18,0,1,5,False
2,18,0,1,5,False
1,19,0,0,4,False
2,21,0,1,5,False
2,20,0,1,5,False
2,15,0,0,4,False
3,17,0,0,4,False
4,24,0,1,5,False
2,18,0,1,7,False
2,15,0,1,6,False
2,18,0,0,6,False
2,14,0,1,6,False
3,15,0,1,6,False
3,18,0,1,4,False
3,29,0,1,4,False
3,26,0,1,5,False
4,19,0,1,5,False
2,19,0,1,5,False
2,20,0,0,3,False
2,25,0,1,4,False
3,20,0,1,6,False
2,38,0,1,6,False
2,27,0,1,7,False
2,25,0,1,5,False
2,23,0,0,5,False
1,19,0,1,6,False
1,20,0,0,7,False
2,30,0,1,5,False
2,24,0,1,6,False
2,23,0,1,5,False
2,24,0,1,4,False
2,26,0,1,6,False
2,25,0,1,6,False
2,22,0,0,4,False
2,24,0,0,5,False
4,26,0,1,4,False
2,24,0,0,4,False
3,30,0,0,5,False
2,34,0,1,10,False
2,28,0,1,5,False
2,26,0,1,7,False
2,25,0,1,5,False
2,24,0,1,4,False
2,26,0,0,4,False
1,29,0,1,5,False
2,29,0,1,4,False
2,26,0,1,4,False
3,25,0,1,4,False
2,29,0,1,4,False
3,32,0,1,4,False
3,23,0,1,4,False
2,29,0,1,4,False
2,27,0,1,4,False
2,24,0,1,4,False
2,30,0,0,4,False
3,24,0,1,4,False
3,24,0,1,5,False
2,22,0,0,4,False
2,30,0,1,4,False
2,28,0,0,4,False
3,28,0,0,4,False
2,29,0,1,4,False
1,25,0,0,5,False
2,27,0,1,3,False
2,27,0,1,4,False
3,27,0,0,3,False
1,37,0,0,4,False
1,39,0,1,5,False
2,48,0,0,6,False
2,100,0,0,5,False
2,49,0,0,5,False
2,40,0,0,3,False
2,51,0,1,4,False
2,46,0,0,5,False
1,38,0,1,6,False
1,38,0,0,7,False
2,50,0,0,18,False
1,40,0,1,7,False
2,42,0,0,9,False
2,37,0,0,6,False
2,46,0,0,5,False
2,52,0,0,4,False
2,66,0,0,4,False
1,60,0,0,4,False
2,46,0,0,4,False
2,42,0,0,3,False
2,51,0,0,4,False
1,40,0,0,4,False
2,35,0,0,5,False
6,55,0,0,4,False
2,53,0,0,5,False
2,47,0,0,3,False
1,54,0,0,4,False
1,55,0,0,4,False
1,65,0,0,5,False
1,50,0,0,4,False
1,64,0,0,3,False
1,80,0,1,3,False
1,65,0,0,3,False
1,66,0,0,3,False
1,64,0,0,3,False
1,60,0,0,3,False
2,62,0,0,3,False
2,61,0,0,3,False
1,57,0,0,2,False
1,55,0,0,3,False
1,52,0,0,3,False
1,55,0,0,2,False
1,59,0,0,3,False
2,66,0,0,3,False
2,65,0,0,3,False
1,81,0,0,2,False
1,57,0,0,3,False
2,63,0,0,3,False
1,65,0,0,3,False
2,64,0,0,3,False
1,73,0,0,3,False
1,64,0,0,3,False
2,65,0,0,3,False
1,64,0,0,3,False
1,63,0,0,3,False
1,79,0,0,3,False
1,57,0,0,3,False
1,52,0,0,3,False
1,47,0,0,3,False
1,44,0,0,3,False
2,44,0,0,3,False
1,45,0,0,3,False
1,40,0,0,3,False
1,38,0,0,3,False
1,38,0,0,3,False
1,39,0,0,3,False
1,41,0,1,4,False
2,37,0,0,8,False
1,43,0,0,4,False
1,45,0,0,2,False
2,43,0,0,2,False
17,69,0,0,3,False
7,51,0,0,5,False
2,46,0,0,5,False
2,43,0,0,3,False
1,35,0,0,3,True
