Amy Adele Hasinoff,Lara Setrakian,Salil Dudani,Grady Booch,Iraola,isPartial
0,0,0,35,28,False
0,0,0,32,37,False
0,17,0,34,17,False
0,0,0,18,31,False
0,0,0,29,27,False
0,0,0,38,35,False
0,0,0,48,28,False
0,0,0,15,39,False
0,0,0,20,31,False
0,0,0,35,21,False
0,0,0,28,14,False
0,0,0,42,33,False
0,0,0,11,26,False
0,0,0,21,23,False
0,0,0,20,18,False
0,8,0,17,17,False
0,0,0,15,17,False
0,8,0,15,15,False
0,0,0,15,15,False
0,0,0,18,15,False
0,0,0,30,29,False
0,0,0,19,31,False
0,0,0,33,27,False
0,0,0,18,23,False
0,0,0,19,16,False
0,0,0,14,20,False
0,5,0,13,38,False
0,0,0,15,19,False
0,0,0,20,25,False
0,5,0,13,26,False
0,0,0,23,29,False
0,0,0,11,24,False
0,0,0,20,20,False
0,4,0,13,20,False
0,0,0,10,21,False
0,0,0,13,32,False
0,0,0,20,23,False
0,4,0,17,30,False
0,3,0,17,34,False
0,3,0,13,21,False
3,3,0,8,22,False
0,0,0,12,28,False
0,3,0,13,16,False
0,0,0,17,21,False
0,3,0,7,30,False
0,4,0,12,27,False
0,2,0,6,16,False
0,3,0,11,26,False
0,2,0,8,22,False
0,5,0,7,27,False
0,0,0,11,26,False
0,0,0,12,32,False
0,0,0,12,29,False
0,0,0,9,18,False
0,0,0,8,21,False
0,2,0,8,34,False
0,2,0,13,33,False
0,0,0,5,29,False
0,2,0,10,28,False
0,0,0,4,27,False
0,0,0,8,28,False
0,2,0,9,29,False
0,2,0,8,23,False
0,2,0,5,29,False
0,0,0,7,28,False
0,4,0,8,23,False
0,2,0,6,25,False
0,1,0,8,26,False
0,2,0,8,37,False
0,2,0,8,32,False
0,0,0,8,32,False
0,0,0,9,32,False
0,1,0,5,35,False
0,1,0,10,23,False
0,1,0,10,25,False
0,1,0,8,26,False
0,1,0,7,26,False
0,1,0,7,27,False
0,1,0,6,18,False
0,1,0,6,23,False
0,2,0,8,33,False
0,1,0,5,33,False
0,1,0,8,41,False
0,1,0,6,29,False
0,1,0,7,26,False
0,6,0,4,31,False
1,3,0,5,39,False
0,1,0,9,29,False
0,3,0,6,31,False
0,0,0,5,28,False
0,1,0,5,24,False
0,2,0,5,34,False
0,1,0,6,32,False
0,2,0,4,25,False
0,2,0,6,27,False
0,2,0,6,23,False
0,2,0,5,24,False
0,2,0,4,25,False
0,2,0,3,55,False
0,1,0,4,27,False
0,1,0,4,39,False
0,1,0,5,26,False
0,1,0,6,24,False
0,1,1,4,24,False
1,2,0,4,25,False
0,1,0,4,25,False
0,1,0,4,20,False
0,2,1,4,24,False
0,1,0,4,25,False
0,1,0,6,25,False
0,2,0,4,21,False
0,1,0,4,25,False
0,1,0,6,21,False
0,1,0,3,22,False
0,3,0,3,23,False
0,2,0,5,23,False
0,2,0,8,25,False
0,1,0,5,24,False
1,1,0,3,24,False
0,1,0,4,24,False
0,1,0,3,24,False
0,1,0,4,23,False
0,1,0,3,26,False
0,1,0,4,18,False
0,1,0,2,21,False
0,1,0,4,19,False
0,1,0,5,20,False
0,1,0,6,29,False
0,1,0,4,30,False
0,1,0,3,26,False
0,0,0,3,26,False
0,0,0,3,19,False
0,0,0,4,22,False
0,1,1,4,25,False
0,1,0,4,31,False
0,1,0,4,36,False
0,1,0,3,100,False
0,1,0,3,40,False
0,1,0,3,48,False
0,1,0,4,33,False
0,0,0,4,27,False
0,0,0,3,22,False
0,0,0,2,20,False
0,0,0,3,22,False
0,0,0,3,24,False
0,1,0,2,18,False
0,1,0,4,21,False
0,0,0,4,20,False
0,1,0,3,26,False
0,0,0,2,24,False
0,1,0,4,27,False
0,0,0,3,16,False
0,0,0,2,22,False
0,0,0,5,22,False
0,0,0,3,27,False
0,0,0,2,20,False
0,0,0,3,17,False
0,3,1,3,19,False
2,1,1,5,18,False
0,3,0,2,17,False
0,1,0,3,19,False
0,1,0,3,18,False
0,1,0,2,17,False
0,0,0,3,15,False
0,0,0,3,14,False
0,6,0,2,14,False
1,1,0,2,15,False
0,1,0,1,11,False
0,1,0,2,16,False
0,1,0,2,18,False
0,1,0,1,17,False
0,1,0,3,12,False
0,0,0,3,16,False
0,1,0,1,17,False
0,1,0,2,15,False
0,0,0,2,16,False
0,0,0,2,17,False
0,0,0,2,19,False
0,0,0,2,15,False
0,1,0,2,15,False
0,0,0,2,15,False
0,0,0,2,18,False
0,1,0,1,15,False
0,0,0,2,16,False
0,0,0,1,19,False
0,0,0,1,15,False
0,0,0,2,19,False
0,1,0,2,19,False
0,0,0,2,15,False
0,1,0,2,16,False
0,1,0,2,17,False
0,0,0,2,15,False
0,0,0,2,25,False
0,0,0,3,46,False
0,0,0,1,20,False
0,0,0,2,13,False
0,0,0,2,13,False
0,1,0,2,16,False
0,0,0,1,28,False
0,0,0,2,26,False
0,0,0,2,19,False
0,1,0,2,16,True
