Alaa Murabit,John Green,eL Seed,Yuval Noah Harari,Iraola,isPartial
0,21,1,0,1,False
0,20,1,0,2,False
0,22,1,0,1,False
0,17,1,0,1,False
0,18,1,0,1,False
0,18,1,0,1,False
0,18,1,0,1,False
0,15,0,0,2,False
0,21,1,0,1,False
0,20,1,0,1,False
0,24,0,0,1,False
0,19,1,0,1,False
0,17,1,0,1,False
0,21,1,0,1,False
0,20,1,0,1,False
0,20,1,0,1,False
0,17,1,0,1,False
0,20,1,0,1,False
0,17,1,0,1,False
0,17,1,0,1,False
0,17,1,0,1,False
0,21,1,0,1,False
0,18,1,0,1,False
0,17,1,0,1,False
0,18,1,0,1,False
0,17,0,0,1,False
0,17,1,0,2,False
0,18,0,0,1,False
0,18,0,0,1,False
0,14,0,0,1,False
0,17,1,0,1,False
0,18,1,0,1,False
0,17,0,0,1,False
0,18,0,0,1,False
0,16,0,0,1,False
0,15,0,0,1,False
0,14,0,0,1,False
0,13,0,0,1,False
0,17,1,0,1,False
0,15,0,0,1,False
0,15,0,0,1,False
0,17,0,0,1,False
0,18,0,0,1,False
0,15,0,0,1,False
0,15,1,0,1,False
0,17,0,0,1,False
0,16,0,0,1,False
0,15,0,0,1,False
0,16,0,0,1,False
0,19,0,0,1,False
0,16,0,0,1,False
0,17,1,0,1,False
0,17,0,0,1,False
0,17,1,0,1,False
0,20,0,0,1,False
0,20,0,0,1,False
0,27,0,0,1,False
0,28,0,0,1,False
0,25,0,0,1,False
0,23,0,0,1,False
0,22,0,0,1,False
0,24,1,0,1,False
0,23,1,0,1,False
0,20,1,0,1,False
0,20,0,0,1,False
0,21,0,0,1,False
0,21,1,0,1,False
0,21,1,0,1,False
0,20,1,0,2,False
0,21,0,0,1,False
0,22,0,0,1,False
0,22,1,0,1,False
0,21,0,0,1,False
0,23,0,0,1,False
0,23,1,0,1,False
0,24,0,0,1,False
0,23,1,0,1,False
0,23,1,0,1,False
0,22,0,0,1,False
0,24,0,0,1,False
0,21,1,0,1,False
0,22,1,0,1,False
0,22,0,0,2,False
0,22,1,0,1,False
0,27,1,0,1,False
0,22,1,0,1,False
0,21,1,0,2,False
0,21,1,0,1,False
0,21,0,0,1,False
0,23,1,0,1,False
0,22,0,0,1,False
0,22,1,0,1,False
0,21,0,0,1,False
0,22,1,0,1,False
0,21,1,0,1,False
0,23,1,0,1,False
0,28,0,0,1,False
0,24,1,0,1,False
0,24,1,0,2,False
0,27,1,0,1,False
0,25,1,0,2,False
0,25,1,0,1,False
0,26,1,0,1,False
0,29,1,0,1,False
0,33,1,0,1,False
0,29,1,0,1,False
0,31,1,0,1,False
0,36,1,0,1,False
0,37,1,0,1,False
0,39,1,0,1,False
0,39,1,0,1,False
0,39,1,0,1,False
0,40,1,0,1,False
0,39,1,0,1,False
0,37,1,0,1,False
0,41,1,0,1,False
0,43,1,0,1,False
0,39,1,0,1,False
0,43,1,0,1,False
0,49,1,0,1,False
0,54,1,0,1,False
0,53,1,0,1,False
0,54,1,0,1,False
0,60,1,0,1,False
0,68,1,0,1,False
0,100,1,0,1,False
0,62,1,0,1,False
0,53,1,0,1,False
0,51,1,1,1,False
0,45,1,0,1,False
0,45,1,0,1,False
0,46,1,0,1,False
0,44,1,0,1,False
0,42,1,0,1,False
0,45,1,0,1,False
0,45,1,0,2,False
0,42,1,1,4,False
0,46,1,1,2,False
0,54,1,1,2,False
0,47,1,1,1,False
0,39,1,1,1,False
0,37,1,1,1,False
0,38,1,0,1,False
0,39,1,1,1,False
0,33,1,1,1,False
0,32,1,0,1,False
0,31,1,0,1,False
0,31,1,0,1,False
0,31,1,1,1,False
0,27,1,1,1,False
0,23,1,1,1,False
0,23,1,1,1,False
0,24,1,1,1,False
0,25,1,1,1,False
0,26,0,1,1,False
0,25,1,2,1,False
0,25,1,2,1,False
0,25,1,2,1,False
0,24,1,3,1,False
0,23,1,3,1,False
0,24,1,2,1,False
0,22,1,2,1,False
0,21,0,3,1,False
0,21,1,3,1,False
0,23,1,3,1,False
0,30,1,3,1,False
0,27,1,2,1,False
0,26,1,3,0,False
0,24,1,3,1,False
0,23,1,3,1,False
0,23,1,3,1,False
0,22,1,2,1,False
0,21,1,2,1,False
0,19,1,3,1,False
0,19,0,3,1,False
0,20,0,4,1,False
0,20,1,7,1,False
0,23,1,6,1,False
0,21,1,6,1,False
0,21,0,7,1,False
0,21,0,6,1,False
0,21,0,5,1,False
0,19,1,4,1,False
0,19,1,5,1,False
0,19,1,5,1,False
0,18,1,4,1,False
0,19,1,5,1,False
0,17,1,5,1,False
0,19,1,4,1,False
0,20,1,4,1,False
0,21,0,5,1,False
0,21,1,5,1,False
0,22,0,5,1,False
0,22,1,5,2,False
0,21,1,8,1,False
0,21,1,12,1,False
0,22,1,7,1,False
0,19,1,4,1,False
0,19,1,4,1,False
0,18,1,4,1,False
0,19,1,4,1,False
0,18,1,4,1,True
