R.A. Mashelkar,Joseph Nye,Barton Seaver,Shimon Steinberg,Iraola,isPartial
0,35,0,0,28,False
0,28,0,0,37,False
0,34,0,0,17,False
0,49,0,0,31,False
0,31,0,0,27,False
0,50,0,0,35,False
12,12,0,0,28,False
0,17,0,0,39,False
0,21,0,0,31,False
0,56,0,0,21,False
0,47,0,0,14,False
0,29,0,0,33,False
9,29,0,0,26,False
0,15,0,0,23,False
0,23,0,0,18,False
0,34,0,0,17,False
7,20,0,0,17,False
0,25,0,0,15,False
0,10,0,0,15,False
0,15,0,0,15,False
0,11,0,0,29,False
0,27,0,0,31,False
0,15,0,0,27,False
0,16,0,0,23,False
0,16,0,0,16,False
0,30,0,0,20,False
0,21,0,0,38,False
0,14,0,0,19,False
5,23,0,0,25,False
0,25,0,0,26,False
0,20,0,0,29,False
0,9,0,0,24,False
0,23,0,0,20,False
0,22,0,0,20,False
0,15,0,0,21,False
4,19,0,0,32,False
0,20,0,0,23,False
0,15,4,4,30,False
3,20,10,0,34,False
3,18,3,0,21,False
0,13,6,0,22,False
3,10,6,0,28,False
0,7,3,0,16,False
0,11,3,0,21,False
0,15,3,0,30,False
0,11,2,0,27,False
0,16,7,0,16,False
0,14,3,0,26,False
0,12,2,0,22,False
0,17,2,0,27,False
0,14,2,2,26,False
0,22,3,0,32,False
0,14,3,0,29,False
0,10,2,0,18,False
0,6,5,0,21,False
0,11,4,0,34,False
2,12,3,0,33,False
0,20,2,0,29,False
0,18,0,0,28,False
0,13,2,0,27,False
0,18,3,0,28,False
0,10,3,0,29,False
0,16,2,0,23,False
2,17,2,0,29,False
0,15,2,0,28,False
0,12,2,0,23,False
0,8,2,0,25,False
0,11,3,0,26,False
0,10,1,1,37,False
0,13,3,0,32,False
0,16,1,0,32,False
0,13,3,0,32,False
0,17,1,0,35,False
0,13,2,0,23,False
0,20,1,0,25,False
1,12,1,0,26,False
0,14,1,0,26,False
0,11,2,0,27,False
0,11,1,1,18,False
0,9,1,0,23,False
0,6,2,0,33,False
2,13,1,0,33,False
1,18,2,1,41,False
1,12,1,0,29,False
0,21,1,0,26,False
2,19,2,0,31,False
0,22,2,0,39,False
1,19,2,0,29,False
0,16,3,0,31,False
0,14,2,0,28,False
1,12,2,0,24,False
1,11,1,0,34,False
1,17,1,0,32,False
1,12,1,0,25,False
0,20,2,1,27,False
0,12,1,0,23,False
1,16,0,0,24,False
0,13,1,1,25,False
0,14,1,0,55,False
0,14,1,0,27,False
0,12,1,0,39,False
0,10,1,0,26,False
0,5,1,0,24,False
1,9,1,0,24,False
0,13,1,0,25,False
0,17,2,1,25,False
0,13,1,0,20,False
0,12,1,0,24,False
0,9,1,0,25,False
1,13,1,0,25,False
1,9,1,1,21,False
0,12,1,0,25,False
0,16,1,0,21,False
0,11,1,0,22,False
0,9,1,0,23,False
1,7,1,1,23,False
0,11,1,1,25,False
0,11,3,1,24,False
1,11,1,0,24,False
1,12,1,1,24,False
1,9,0,0,24,False
1,11,1,0,23,False
0,11,1,0,26,False
0,9,1,0,18,False
0,8,0,0,21,False
1,6,1,0,19,False
1,6,2,1,20,False
0,7,1,0,29,False
0,10,1,0,30,False
0,10,1,0,26,False
1,10,1,1,26,False
0,11,1,0,19,False
0,8,1,0,22,False
1,8,1,0,25,False
0,14,1,0,31,False
0,13,0,0,36,False
0,14,1,0,100,False
0,12,0,1,40,False
0,6,0,0,48,False
0,6,0,0,33,False
0,10,1,1,27,False
0,9,0,0,22,False
0,9,1,0,20,False
0,11,0,0,22,False
0,10,0,0,24,False
0,10,0,0,18,False
0,9,0,0,21,False
0,12,1,0,20,False
0,11,1,0,26,False
0,7,1,0,24,False
0,5,0,0,27,False
0,7,1,0,16,False
0,9,1,0,22,False
0,11,0,0,22,False
1,10,1,0,27,False
0,10,1,0,20,False
0,10,1,0,17,False
0,9,0,0,19,False
0,12,1,0,18,False
0,11,0,0,17,False
0,8,1,0,19,False
0,6,0,0,18,False
0,5,0,0,17,False
0,6,0,0,15,False
0,8,1,0,14,False
0,10,1,0,14,False
0,12,0,0,15,False
0,10,2,0,11,False
0,8,2,0,16,False
0,8,0,0,18,False
0,9,1,0,17,False
0,7,1,0,12,False
0,9,1,0,16,False
0,7,1,0,17,False
0,4,1,0,15,False
0,5,1,0,16,False
0,8,1,0,17,False
0,8,0,0,19,False
0,8,0,0,15,False
0,7,0,0,15,False
0,7,0,0,15,False
0,8,0,0,18,False
0,6,0,0,15,False
0,8,1,0,16,False
0,7,1,0,19,False
0,4,0,0,15,False
0,5,1,0,19,False
0,5,1,0,19,False
0,7,0,0,15,False
0,8,1,0,16,False
0,8,1,0,17,False
0,9,0,0,15,False
0,9,1,0,25,False
0,10,1,0,46,False
0,7,0,0,20,False
0,9,0,0,13,False
0,9,0,0,13,False
0,9,1,0,16,False
0,7,0,0,28,False
0,7,0,0,26,False
0,10,1,0,19,False
0,8,0,0,16,True
