Sara Ramirez,Carrie Poppy,Megan Phelps-Roper,Caroline Paul,Iraola,isPartial
4,0,0,12,6,False
3,0,0,16,7,False
3,0,0,9,3,False
3,3,0,7,6,False
3,0,0,9,5,False
3,0,0,11,7,False
2,0,0,10,6,False
3,0,0,7,8,False
4,0,0,5,6,False
3,2,0,7,4,False
2,0,0,10,3,False
3,0,0,14,6,False
5,0,0,5,5,False
7,0,0,8,4,False
8,0,0,6,4,False
3,2,0,11,3,False
6,0,0,11,3,False
20,0,0,9,3,False
5,0,0,11,3,False
6,0,0,11,3,False
2,0,0,5,6,False
4,1,0,9,6,False
5,0,0,6,5,False
5,1,0,6,4,False
3,0,0,8,3,False
8,0,0,7,4,False
6,0,0,7,8,False
9,0,0,6,4,False
20,0,0,7,5,False
8,0,0,8,5,False
6,0,0,9,6,False
5,0,0,6,5,False
19,0,0,7,4,False
26,0,0,6,4,False
20,0,0,6,4,False
19,0,0,3,6,False
27,0,0,5,5,False
32,0,0,6,6,False
20,1,0,8,7,False
25,0,1,5,4,False
24,0,0,7,4,False
25,0,0,7,6,False
20,0,1,5,3,False
21,0,1,6,4,False
19,1,0,4,6,False
17,0,0,5,5,False
18,0,0,6,3,False
12,0,0,5,5,False
13,0,0,7,4,False
14,0,0,6,5,False
13,0,0,6,5,False
7,0,0,6,6,False
23,0,0,7,6,False
14,0,0,5,4,False
9,0,0,4,4,False
11,0,0,6,7,False
15,0,0,7,7,False
19,0,0,6,6,False
28,0,0,5,6,False
13,0,0,5,5,False
13,0,0,6,6,False
12,0,0,4,6,False
13,0,0,5,5,False
13,0,0,6,6,False
19,0,0,5,6,False
11,0,0,7,5,False
11,0,1,7,5,False
14,1,0,7,5,False
13,0,0,6,7,False
17,0,0,5,6,False
17,0,0,6,6,False
16,0,1,4,6,False
17,0,1,6,7,False
17,0,0,7,5,False
13,0,0,5,5,False
13,0,0,4,5,False
20,0,0,6,5,False
17,0,0,5,5,False
13,0,1,6,4,False
14,0,0,6,5,False
15,0,0,5,7,False
17,0,0,5,7,False
22,0,0,5,8,False
15,0,0,5,6,False
20,0,0,5,5,False
25,0,0,4,6,False
48,1,0,4,8,False
100,0,1,5,6,False
33,0,0,5,6,False
39,0,0,4,6,False
33,0,0,5,5,False
27,0,0,5,7,False
24,1,0,5,6,False
24,1,0,4,5,False
23,0,0,5,5,False
20,1,0,5,5,False
25,0,0,6,5,False
34,1,0,4,5,False
21,1,0,4,11,False
22,1,0,4,5,False
22,0,0,5,8,False
20,0,0,5,5,False
34,0,0,5,5,False
25,0,0,4,5,False
23,0,0,5,5,False
26,0,0,4,5,False
29,0,0,5,4,False
22,0,1,5,5,False
23,1,0,5,5,False
20,0,12,4,5,False
17,0,2,4,4,False
19,0,0,6,5,False
24,0,0,5,4,False
18,0,1,4,4,False
20,1,0,5,5,False
24,1,0,5,5,False
19,1,0,5,5,False
21,0,0,6,5,False
25,1,0,5,5,False
20,0,0,8,5,False
25,1,0,6,5,False
17,1,0,6,5,False
20,1,2,5,5,False
21,1,0,5,4,False
23,1,0,6,4,False
16,0,0,5,4,False
17,1,0,5,4,False
17,1,0,5,6,False
17,1,0,5,6,False
17,0,0,5,5,False
16,1,0,5,5,False
13,0,0,5,4,False
17,0,0,5,4,False
15,0,0,5,5,False
18,1,0,5,6,False
20,0,0,4,7,False
20,0,0,5,20,False
17,0,0,5,8,False
15,0,1,4,10,False
18,0,0,5,6,False
17,0,0,5,5,False
16,0,0,5,4,False
17,1,2,4,4,False
15,1,1,4,4,False
15,1,0,5,5,False
14,0,0,5,4,False
15,0,0,7,4,False
26,0,0,8,4,False
55,0,0,4,5,False
23,0,0,5,5,False
21,0,0,6,5,False
20,0,0,4,3,False
29,0,0,4,4,False
45,0,0,5,4,False
15,0,0,4,5,False
16,1,0,4,4,False
19,0,0,5,3,False
19,0,0,4,4,False
20,1,5,7,4,False
15,0,1,5,3,False
16,0,0,5,4,False
19,1,6,5,4,False
14,1,2,5,3,False
14,0,1,4,3,False
14,0,1,5,3,False
21,0,1,4,3,False
40,0,1,5,3,False
22,1,1,4,2,False
32,0,1,5,3,False
17,0,0,4,4,False
42,0,1,4,3,False
23,0,1,4,2,False
23,0,1,4,3,False
20,0,1,4,3,False
17,0,1,4,3,False
17,0,1,4,3,False
15,0,1,4,3,False
16,0,0,3,4,False
14,0,1,3,3,False
14,0,0,4,3,False
15,0,1,4,3,False
13,0,0,3,4,False
13,0,1,3,3,False
12,0,0,4,3,False
10,0,0,3,4,False
11,0,0,4,3,False
12,0,1,3,4,False
12,0,0,4,4,False
10,0,0,4,3,False
11,0,2,4,3,False
9,0,1,3,3,False
9,0,1,4,3,False
10,0,1,4,5,False
10,0,1,7,9,False
12,0,0,4,4,False
16,0,1,4,3,False
17,0,0,3,3,False
17,0,0,4,3,False
15,0,0,5,6,False
26,0,0,4,5,False
18,0,0,3,4,False
14,0,0,4,3,True
