Joshua Smith,Aala El-Khani,Miriam Zoila Pérez, Rodrigo y Gabriela,Iraola,isPartial
20,0,0,4,8,False
17,0,0,0,11,False
10,0,0,5,5,False
19,0,0,4,9,False
14,0,0,0,8,False
10,0,0,0,10,False
17,0,0,5,9,False
12,0,0,3,12,False
12,0,0,3,9,False
12,0,0,5,6,False
7,0,0,6,4,False
6,0,0,10,10,False
16,0,0,9,8,False
12,0,0,3,7,False
11,0,0,3,5,False
16,0,0,4,5,False
17,0,0,5,5,False
15,0,0,7,5,False
13,0,0,4,5,False
10,0,0,5,4,False
17,0,0,7,9,False
14,0,0,4,9,False
11,0,0,7,8,False
10,0,0,2,7,False
10,0,0,8,5,False
9,0,0,18,6,False
10,0,0,13,12,False
9,0,0,25,6,False
11,0,0,33,8,False
11,0,0,21,8,False
8,0,0,22,9,False
11,0,0,17,7,False
11,0,0,24,6,False
9,0,0,50,6,False
3,0,0,48,6,False
7,0,0,58,10,False
6,0,0,50,7,False
12,0,0,47,9,False
8,0,0,41,10,False
7,0,0,54,6,False
12,0,0,65,7,False
13,0,0,62,8,False
6,0,0,59,5,False
9,0,0,85,6,False
7,0,0,71,9,False
8,0,0,56,8,False
9,0,0,45,5,False
7,0,0,58,8,False
8,0,0,39,7,False
11,0,0,49,8,False
10,0,0,48,8,False
8,0,0,39,10,False
8,0,0,40,9,False
7,0,0,48,5,False
9,0,0,40,6,False
7,0,0,45,10,False
9,0,0,34,10,False
8,0,0,36,9,False
6,0,0,44,8,False
10,0,0,38,8,False
8,0,0,39,8,False
8,0,0,34,9,False
7,0,0,28,7,False
9,0,0,30,9,False
9,0,0,31,8,False
6,0,0,37,7,False
8,0,0,46,7,False
8,0,0,55,8,False
8,0,0,95,11,False
7,0,0,100,10,False
7,0,0,83,10,False
7,0,0,64,10,False
8,0,0,78,10,False
6,0,0,63,7,False
8,0,0,76,7,False
8,0,0,81,8,False
9,0,0,62,8,False
5,0,0,58,8,False
7,0,0,80,5,False
6,0,0,85,7,False
7,0,0,57,10,False
7,0,0,54,10,False
8,0,0,66,12,False
8,0,0,45,9,False
7,0,0,41,8,False
8,0,0,41,9,False
10,0,0,38,12,False
7,0,0,42,9,False
8,0,0,51,9,False
7,0,0,47,8,False
7,0,0,58,7,False
6,0,0,59,10,False
5,0,0,48,10,False
6,0,0,45,7,False
8,0,0,58,8,False
6,0,0,54,7,False
6,0,0,75,7,False
8,0,0,77,8,False
8,0,0,56,16,False
7,0,0,68,8,False
7,0,0,39,12,False
7,0,0,41,8,False
8,0,0,43,7,False
7,0,0,34,7,False
7,0,0,32,8,False
8,0,0,34,7,False
9,0,0,41,6,False
8,0,0,30,7,False
7,0,0,36,7,False
7,0,0,25,7,False
8,0,0,24,6,False
7,0,0,25,7,False
7,0,0,27,6,False
7,0,0,27,7,False
6,0,0,47,7,False
7,0,0,26,7,False
7,0,0,21,8,False
7,0,0,20,7,False
10,0,0,22,7,False
8,0,0,27,7,False
8,0,0,26,7,False
8,0,0,24,7,False
7,0,0,24,8,False
7,0,0,42,6,False
8,0,0,57,6,False
7,0,0,40,6,False
7,0,0,47,6,False
7,0,0,39,9,False
7,0,0,27,9,False
7,0,0,36,8,False
8,0,0,29,8,False
9,0,0,28,6,False
8,0,0,21,6,False
6,0,0,17,8,False
12,0,0,20,9,False
8,0,0,20,11,False
11,0,0,18,30,False
8,0,0,22,12,False
10,0,0,25,14,False
6,0,0,18,10,False
9,0,0,19,8,False
10,0,0,13,7,False
8,0,0,12,6,False
9,0,0,14,7,False
8,0,0,11,7,False
8,0,0,11,5,False
7,0,0,14,6,False
9,0,0,18,6,False
8,0,0,17,8,False
8,0,0,14,7,False
8,0,0,13,8,False
7,0,0,14,5,False
7,0,0,10,6,False
8,0,0,10,7,False
11,0,0,7,8,False
8,0,0,7,6,False
7,0,0,7,5,False
8,0,0,8,6,False
9,0,0,11,5,False
11,0,0,11,5,False
9,0,0,12,6,False
11,0,0,17,5,False
8,0,0,14,5,False
7,0,0,10,4,False
7,0,0,8,4,False
8,0,0,11,4,False
7,0,0,10,5,False
7,0,0,8,3,False
7,0,0,7,5,False
8,0,0,7,5,False
9,0,0,8,5,False
7,0,0,8,4,False
7,0,0,7,5,False
9,0,0,7,5,False
9,0,0,8,5,False
8,0,0,14,5,False
9,0,0,9,5,False
7,0,0,6,6,False
8,0,0,4,4,False
8,0,0,5,5,False
8,0,0,5,5,False
8,0,0,11,5,False
7,0,0,10,5,False
8,0,0,18,5,False
8,0,0,20,6,False
15,0,0,14,5,False
7,0,0,14,6,False
10,0,0,8,6,False
8,0,0,11,4,False
8,0,0,13,5,False
9,0,0,13,5,False
12,0,0,8,4,False
8,0,0,8,7,False
10,0,0,7,14,False
8,0,0,6,6,False
9,0,0,8,4,False
7,0,0,8,4,False
8,0,0,6,5,False
6,0,0,5,8,False
7,0,0,4,8,False
7,0,0,4,6,False
8,0,0,4,5,True
