Ami Klin,John Hockenberry,Rebecca Onie,Beeban Kidron,Iraola,isPartial
0,22,0,0,44,False
15,15,0,15,24,False
0,18,0,18,18,False
0,0,0,0,28,False
12,12,0,0,20,False
0,12,0,12,24,False
0,0,0,0,34,False
0,0,12,0,35,False
22,16,0,11,29,False
11,11,0,11,37,False
0,11,0,26,30,False
0,10,10,10,31,False
9,9,0,0,24,False
19,10,0,0,22,False
8,16,0,8,27,False
0,18,0,0,42,False
0,8,0,0,18,False
0,11,0,8,29,False
0,16,0,0,27,False
8,62,0,0,18,False
0,7,0,0,28,False
7,9,0,0,24,False
0,13,0,7,33,False
0,15,0,0,17,False
0,11,0,6,13,False
6,6,0,6,29,False
0,5,5,0,35,False
5,5,0,0,25,False
0,5,0,10,35,False
5,8,0,10,31,False
16,10,0,11,35,False
0,10,0,5,24,False
0,5,0,5,25,False
0,4,0,4,22,False
4,6,0,0,16,False
4,8,0,4,30,False
4,4,0,6,28,False
4,5,0,4,36,False
0,3,0,0,32,False
0,5,0,7,19,False
3,7,3,5,16,False
6,0,0,0,23,False
5,6,0,0,26,False
0,3,0,0,26,False
0,8,0,3,32,False
3,5,0,3,22,False
3,5,0,0,22,False
3,7,0,3,29,False
2,52,0,2,23,False
2,7,0,0,24,False
3,5,0,2,29,False
2,2,0,2,27,False
2,7,0,2,32,False
0,3,0,7,27,False
2,7,2,2,19,False
2,2,0,3,31,False
4,4,2,2,35,False
2,4,0,2,34,False
2,4,0,2,32,False
2,4,0,0,36,False
2,3,0,2,35,False
2,4,0,3,34,False
2,5,0,3,25,False
0,3,0,2,27,False
2,3,2,2,28,False
0,6,2,0,33,False
2,5,0,2,24,False
0,3,0,2,26,False
2,4,6,2,35,False
1,4,2,3,34,False
3,2,3,1,35,False
0,3,1,1,29,False
3,3,1,1,40,False
1,4,1,3,27,False
2,3,1,2,23,False
1,3,1,1,27,False
2,4,0,1,25,False
2,2,0,1,29,False
1,3,1,1,27,False
1,2,0,1,27,False
1,3,2,0,35,False
2,3,2,2,29,False
2,3,1,4,43,False
1,2,0,1,34,False
1,2,1,3,28,False
2,2,1,0,35,False
1,2,1,0,45,False
1,3,1,0,28,False
2,2,0,1,38,False
1,2,0,1,36,False
1,2,1,1,26,False
1,1,1,1,47,False
1,2,1,1,31,False
1,3,1,0,28,False
2,2,0,0,28,False
0,3,1,1,23,False
1,2,1,2,28,False
1,2,0,2,28,False
3,5,0,1,54,False
2,4,1,1,30,False
1,1,1,1,40,False
2,4,1,5,29,False
1,3,1,2,23,False
1,3,1,1,26,False
1,4,1,2,31,False
2,5,2,1,24,False
1,3,1,2,21,False
1,5,1,3,27,False
1,3,2,1,25,False
2,2,1,1,24,False
1,5,1,1,23,False
1,4,2,1,23,False
1,3,1,1,21,False
1,1,1,1,22,False
1,3,1,1,25,False
1,3,1,1,24,False
1,3,1,8,24,False
2,3,1,3,24,False
2,5,1,1,25,False
1,3,1,1,21,False
1,4,1,2,24,False
1,3,1,0,25,False
1,2,1,1,28,False
1,6,1,1,19,False
1,4,2,1,21,False
1,2,1,1,21,False
1,4,1,1,24,False
1,3,1,1,33,False
1,5,1,1,34,False
1,5,1,2,25,False
1,3,1,1,27,False
1,3,1,1,21,False
0,2,1,1,24,False
1,4,1,1,25,False
1,3,1,0,38,False
2,3,1,1,42,False
1,2,1,1,94,False
1,3,1,1,42,False
0,5,1,1,49,False
0,2,1,1,35,False
1,3,0,1,29,False
0,4,1,1,21,False
1,4,1,1,26,False
0,2,1,1,23,False
0,2,1,1,26,False
1,3,1,1,19,False
0,3,1,1,23,False
1,4,1,0,21,False
1,2,1,1,32,False
1,3,0,1,27,False
0,2,0,0,28,False
1,2,1,1,18,False
1,2,1,1,23,False
1,3,0,1,24,False
0,4,0,1,28,False
1,2,0,0,22,False
1,2,1,1,16,False
1,6,0,2,20,False
1,4,1,1,19,False
0,5,1,1,20,False
1,3,0,1,24,False
0,2,1,0,18,False
1,3,0,2,18,False
1,9,0,0,17,False
1,3,1,1,15,False
1,3,1,1,18,False
1,2,1,1,15,False
1,100,0,1,14,False
0,4,0,1,18,False
0,3,0,0,16,False
1,1,0,1,17,False
1,2,0,0,15,False
1,2,1,0,16,False
1,1,0,1,15,False
0,3,1,2,15,False
0,2,0,1,18,False
1,24,1,0,20,False
0,3,1,1,21,False
1,1,0,1,18,False
0,3,1,1,18,False
0,4,1,1,14,False
0,2,1,1,19,False
1,1,0,1,15,False
1,1,1,1,18,False
0,1,0,1,20,False
1,1,0,1,16,False
0,1,0,1,19,False
1,1,0,2,18,False
1,1,1,1,17,False
1,1,0,0,16,False
0,1,1,1,16,False
1,1,2,1,17,False
1,1,1,0,27,False
0,1,0,0,52,False
1,1,0,1,23,False
0,1,0,0,17,False
0,1,0,0,14,False
1,1,0,0,16,False
0,2,0,1,34,False
1,1,0,0,25,False
0,2,1,0,20,False
0,1,0,0,18,True
