Paul Romer,Emmanuel Jal,Dan Pink,Eric Giler,Iraola,isPartial
11,0,16,0,21,False
32,0,11,0,16,False
19,0,0,0,26,False
20,0,0,0,20,False
26,0,9,0,13,False
22,0,9,0,17,False
9,0,18,0,18,False
8,0,0,0,34,False
8,0,8,0,23,False
12,0,24,0,16,False
0,0,8,0,8,False
15,0,29,0,11,False
19,0,39,0,19,False
7,7,14,0,20,False
20,14,20,0,9,False
13,0,32,0,13,False
11,11,20,0,17,False
28,6,20,0,17,False
6,12,14,0,20,False
6,0,17,0,11,False
25,5,12,5,18,False
9,21,19,0,24,False
9,17,9,5,19,False
5,12,7,0,19,False
8,8,12,0,14,False
4,10,10,0,15,False
7,7,16,0,31,False
10,0,15,4,17,False
18,7,28,4,27,False
4,4,7,4,28,False
6,11,22,0,24,False
3,7,24,0,15,False
8,5,7,0,10,False
12,3,16,3,9,False
9,6,17,3,19,False
6,6,15,0,18,False
5,3,13,0,14,False
7,8,10,0,21,False
8,5,12,0,21,False
4,5,14,3,15,False
10,3,11,0,16,False
9,9,10,2,15,False
5,5,16,2,21,False
7,7,10,0,17,False
6,3,18,0,21,False
8,10,23,0,17,False
4,4,12,0,16,False
4,3,17,0,20,False
9,3,11,0,17,False
2,6,20,2,17,False
2,8,11,0,20,False
4,11,11,0,21,False
5,32,17,0,17,False
5,30,12,0,9,False
4,17,9,0,12,False
4,7,10,0,27,False
5,10,15,0,24,False
9,11,11,0,23,False
8,8,14,1,22,False
4,8,16,0,24,False
11,11,16,0,19,False
7,13,17,0,21,False
5,19,18,0,22,False
13,12,13,0,23,False
5,13,10,0,24,False
6,7,14,1,23,False
8,8,19,1,21,False
13,16,21,2,22,False
10,15,32,6,27,False
15,10,30,0,22,False
9,16,27,1,30,False
6,9,24,3,25,False
7,5,27,1,23,False
8,6,37,2,16,False
7,6,33,1,18,False
8,9,21,2,19,False
9,6,38,1,17,False
7,9,46,1,19,False
6,6,37,2,14,False
7,6,36,2,16,False
7,6,34,0,18,False
7,13,38,1,22,False
5,6,38,1,32,False
6,11,29,1,26,False
7,13,35,1,21,False
4,12,34,1,34,False
6,10,29,0,28,False
7,10,29,1,23,False
5,10,30,0,27,False
9,6,26,1,23,False
4,10,24,0,17,False
4,6,31,1,27,False
4,6,32,1,26,False
7,7,32,0,20,False
13,7,32,0,18,False
6,6,33,0,15,False
12,8,37,0,19,False
5,6,40,1,21,False
6,9,33,1,32,False
4,5,33,1,23,False
8,4,31,0,33,False
3,6,36,1,15,False
4,5,32,1,16,False
4,4,31,1,17,False
10,6,35,1,17,False
6,4,36,0,16,False
8,6,33,0,17,False
5,4,37,0,17,False
9,5,42,1,18,False
6,5,42,0,18,False
5,6,51,0,13,False
3,4,52,0,14,False
2,4,68,0,16,False
3,4,78,0,15,False
2,3,71,1,14,False
3,3,59,0,17,False
3,3,55,0,19,False
5,4,62,1,19,False
4,4,61,0,17,False
4,4,63,1,16,False
3,7,59,1,18,False
3,5,64,0,20,False
3,5,59,1,19,False
3,6,69,1,15,False
3,3,63,0,19,False
2,2,67,0,16,False
2,4,66,1,19,False
2,3,63,0,21,False
2,5,66,0,25,False
3,4,64,1,20,False
2,8,68,0,20,False
2,6,68,0,17,False
3,6,65,0,18,False
2,4,70,0,20,False
3,6,69,1,25,False
3,4,66,1,31,False
4,3,63,0,71,False
5,4,68,0,31,False
3,3,58,0,32,False
3,3,59,0,27,False
2,3,61,0,19,False
4,3,59,0,17,False
4,5,62,0,17,False
2,3,57,0,12,False
3,4,69,0,16,False
3,4,71,0,13,False
2,2,70,1,16,False
3,2,72,0,13,False
3,4,69,0,20,False
1,3,68,0,21,False
14,1,67,0,19,False
5,2,79,0,14,False
10,4,77,0,14,False
9,3,89,0,19,False
7,2,86,0,21,False
6,1,78,0,18,False
4,2,81,0,12,False
5,4,75,0,15,False
3,4,76,0,13,False
4,2,73,0,14,False
5,2,71,0,15,False
4,4,75,0,13,False
2,2,64,0,12,False
3,2,63,0,12,False
2,2,71,0,12,False
3,2,69,0,13,False
3,3,68,0,13,False
3,1,72,0,8,False
15,2,71,0,12,False
4,2,69,0,13,False
2,2,69,1,11,False
4,1,75,0,11,False
1,2,72,0,13,False
2,2,66,0,13,False
2,1,68,0,11,False
2,1,65,0,13,False
2,1,64,0,15,False
73,3,68,0,14,False
9,1,92,0,14,False
12,1,100,0,14,False
7,2,87,0,10,False
6,3,95,0,13,False
7,2,88,0,11,False
4,1,80,0,13,False
6,2,94,0,12,False
6,2,78,0,11,False
4,2,73,0,14,False
4,1,67,0,12,False
8,2,67,0,13,False
6,3,68,0,11,False
5,3,68,0,13,False
2,2,69,0,12,False
3,1,67,0,19,False
2,1,68,0,34,False
5,1,66,0,15,False
16,1,75,0,10,False
12,1,78,0,12,False
5,2,78,0,8,False
6,1,78,0,24,False
6,1,86,0,19,False
3,1,95,0,15,False
5,1,95,0,12,True
