Richard Feynman,James Cameron,The LXD,Srikumar Rao,Iraola,isPartial
5,7,0,0,1,False
4,8,0,0,1,False
4,7,0,0,0,False
4,5,0,0,1,False
4,5,0,0,1,False
2,5,0,0,1,False
3,5,0,0,1,False
4,7,0,0,1,False
5,5,0,0,1,False
2,5,0,0,1,False
3,6,0,0,0,False
3,6,0,0,1,False
3,8,0,0,1,False
4,8,0,0,1,False
3,6,0,0,0,False
3,5,0,0,0,False
4,6,0,0,0,False
4,6,0,0,0,False
2,7,0,0,0,False
4,5,0,0,0,False
3,6,0,0,1,False
3,6,0,0,1,False
3,6,0,0,1,False
3,5,0,0,1,False
3,6,0,0,0,False
2,5,0,0,1,False
2,6,0,0,1,False
3,5,0,0,1,False
3,4,0,0,1,False
2,5,0,0,1,False
1,6,0,0,1,False
2,4,0,0,1,False
2,5,0,0,1,False
2,4,0,0,1,False
3,4,0,0,1,False
3,5,0,0,1,False
2,7,0,0,1,False
3,25,0,0,1,False
2,15,0,0,1,False
2,7,0,0,1,False
2,6,0,0,1,False
2,4,0,0,1,False
2,4,0,0,0,False
2,5,0,0,1,False
2,5,0,0,1,False
3,5,0,0,1,False
2,4,0,0,0,False
3,6,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,5,0,0,0,False
2,5,0,0,1,False
2,5,0,0,1,False
2,6,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,5,0,0,1,False
2,6,0,0,1,False
2,6,0,0,1,False
2,6,0,0,1,False
2,7,0,0,1,False
2,8,0,0,1,False
2,13,0,0,1,False
3,14,0,0,1,False
2,30,0,0,1,False
2,11,0,0,1,False
2,9,0,0,1,False
3,20,0,0,1,False
2,98,0,0,1,False
2,100,0,0,1,False
2,47,0,0,1,False
3,50,1,0,1,False
2,25,0,0,1,False
2,22,0,0,1,False
2,18,0,0,1,False
2,14,2,0,0,False
2,15,1,0,1,False
3,15,1,0,1,False
2,13,2,0,1,False
3,14,1,0,1,False
2,14,2,0,1,False
2,22,1,0,1,False
2,26,1,0,1,False
2,14,1,0,1,False
2,14,1,0,1,False
3,11,1,0,1,False
2,11,1,0,1,False
2,11,1,0,1,False
2,11,1,0,1,False
3,11,1,0,1,False
3,10,1,0,1,False
2,9,0,0,1,False
2,11,1,0,1,False
2,11,0,0,1,False
3,11,0,0,1,False
3,36,0,0,2,False
2,38,0,0,1,False
3,16,0,0,1,False
2,12,0,0,1,False
3,12,0,0,1,False
3,11,0,0,1,False
3,11,0,0,1,False
3,16,0,0,1,False
2,10,0,0,1,False
3,12,0,0,1,False
2,17,0,0,1,False
3,11,0,0,1,False
5,10,0,0,1,False
3,9,0,0,1,False
4,9,0,0,1,False
2,10,0,0,1,False
3,10,0,0,1,False
3,10,0,0,1,False
3,10,0,0,1,False
3,9,0,0,1,False
5,11,0,0,1,False
3,9,0,0,1,False
3,12,0,0,1,False
3,9,0,0,1,False
2,10,0,0,1,False
2,12,0,0,1,False
3,10,0,0,1,False
2,8,0,0,1,False
2,10,0,0,1,False
2,14,0,0,1,False
3,9,0,0,1,False
2,9,0,0,1,False
2,10,0,0,1,False
2,10,0,0,1,False
2,11,0,0,1,False
2,10,0,0,1,False
2,9,0,0,1,False
2,10,0,0,1,False
2,9,0,0,3,False
2,12,0,0,1,False
2,12,0,0,1,False
2,9,0,0,1,False
2,9,0,0,1,False
4,9,0,0,1,False
3,8,0,0,1,False
2,10,0,0,1,False
3,11,0,0,1,False
2,10,0,0,0,False
2,14,0,0,1,False
2,10,0,0,1,False
2,9,0,0,1,False
2,9,0,0,1,False
2,10,0,0,1,False
2,7,0,0,0,False
2,7,0,0,1,False
2,7,0,0,1,False
2,7,0,0,1,False
2,9,0,0,1,False
2,9,0,0,0,False
2,11,0,0,1,False
2,10,0,0,0,False
2,9,0,0,0,False
2,9,0,0,1,False
2,7,0,0,0,False
2,9,0,0,0,False
2,10,0,0,0,False
2,8,0,0,0,False
4,7,0,0,0,False
2,8,0,0,0,False
2,11,0,0,0,False
3,9,0,0,0,False
2,7,0,0,0,False
2,8,0,0,0,False
2,10,0,0,0,False
3,9,0,0,0,False
2,7,0,0,0,False
2,8,0,0,0,False
2,8,0,0,0,False
2,8,0,0,0,False
2,7,0,0,1,False
2,8,0,0,0,False
2,8,0,0,0,False
2,9,0,0,0,False
2,13,0,0,1,False
2,9,0,0,0,False
2,8,0,0,0,False
2,13,0,0,1,False
2,8,0,0,0,False
2,12,0,0,1,False
2,9,0,0,1,False
2,12,0,0,0,False
2,11,0,0,0,False
2,10,0,0,0,False
2,8,0,0,0,False
2,10,0,0,1,False
2,8,0,0,1,False
2,7,0,0,1,False
3,10,0,0,0,False
3,10,0,0,0,False
2,9,0,0,0,False
2,9,0,0,1,False
2,8,0,0,1,False
3,7,0,0,1,False
2,7,0,0,0,True
