Eric Lewis,Don Norman,Pattie Maes + Pranav Mistry,Stuart Brown,Iraola,isPartial
15,12,8,7,8,False
12,8,0,20,15,False
16,14,6,22,9,False
18,15,5,16,10,False
11,10,4,22,10,False
15,7,6,15,8,False
12,13,4,12,9,False
5,7,4,13,16,False
12,9,4,7,9,False
10,5,4,10,8,False
10,11,0,8,4,False
9,6,0,6,5,False
16,9,5,9,7,False
12,10,3,8,10,False
15,7,3,7,7,False
17,10,3,15,9,False
19,10,3,19,6,False
17,9,3,9,9,False
13,6,0,11,8,False
15,8,0,15,5,False
17,9,2,14,10,False
14,10,0,11,9,False
9,11,3,19,7,False
8,10,0,15,9,False
17,7,4,12,6,False
14,12,0,13,7,False
11,10,0,13,11,False
7,12,2,9,7,False
10,8,2,10,11,False
13,10,0,6,11,False
14,5,2,11,11,False
10,7,3,5,7,False
9,8,2,11,8,False
14,9,1,11,7,False
14,5,1,7,8,False
12,6,1,12,8,False
13,4,1,9,7,False
12,8,1,10,8,False
11,7,2,13,9,False
9,7,1,8,8,False
8,5,1,12,10,False
9,7,0,5,8,False
8,6,1,13,9,False
8,5,2,8,8,False
10,4,2,14,10,False
10,4,2,15,7,False
9,5,1,14,9,False
6,6,0,9,9,False
10,4,1,12,8,False
16,7,2,10,7,False
11,5,1,8,8,False
9,5,2,8,9,False
8,4,1,12,10,False
9,4,1,9,6,False
8,3,1,9,5,False
13,5,1,11,11,False
9,4,0,10,11,False
10,4,2,10,10,False
11,5,1,10,11,False
14,3,0,11,10,False
10,5,0,8,9,False
11,3,1,9,9,False
15,9,37,11,9,False
13,5,20,13,11,False
15,6,7,10,10,False
17,7,8,11,10,False
11,4,7,10,10,False
13,2,7,10,11,False
12,4,7,12,13,False
10,4,6,10,11,False
12,4,100,12,12,False
10,4,68,11,11,False
10,5,61,9,11,False
11,4,52,9,8,False
9,4,40,7,10,False
11,5,29,10,9,False
12,3,25,10,8,False
11,5,23,11,10,False
12,4,26,8,7,False
12,5,32,9,8,False
10,4,34,9,9,False
10,6,25,7,11,False
10,5,22,10,15,False
9,4,20,7,12,False
10,4,18,9,11,False
8,3,16,8,15,False
8,3,17,9,14,False
10,4,13,8,12,False
10,4,15,8,13,False
12,4,17,9,11,False
11,4,17,8,8,False
8,5,18,8,12,False
9,4,28,9,12,False
8,5,25,7,10,False
9,4,24,8,9,False
9,4,22,8,8,False
10,3,22,7,9,False
9,4,23,7,11,False
8,5,18,6,17,False
9,3,15,8,11,False
10,4,15,7,17,False
8,3,16,7,8,False
10,4,17,6,8,False
8,5,15,7,9,False
15,4,18,8,9,False
10,3,14,8,7,False
10,4,12,8,8,False
9,6,14,8,9,False
10,3,14,8,8,False
11,4,14,7,8,False
8,4,14,8,7,False
11,3,12,7,7,False
8,3,11,8,8,False
8,3,12,6,8,False
8,5,14,6,8,False
8,4,12,7,9,False
9,4,34,7,9,False
9,5,17,8,8,False
8,4,14,8,8,False
9,4,10,7,8,False
10,3,16,6,8,False
8,3,13,7,9,False
8,4,13,6,9,False
9,5,9,7,8,False
8,4,17,7,9,False
7,4,15,7,8,False
10,4,12,8,8,False
10,4,11,7,11,False
8,3,14,7,12,False
10,5,10,6,9,False
9,5,11,7,9,False
9,4,12,7,7,False
9,3,11,11,8,False
9,3,8,7,9,False
8,4,8,6,12,False
8,6,8,6,15,False
8,4,8,6,32,False
8,3,8,7,15,False
8,3,10,7,16,False
11,5,10,7,13,False
23,4,9,6,9,False
20,4,8,7,8,False
13,5,7,8,8,False
13,5,5,7,7,False
12,4,5,8,8,False
8,6,6,7,6,False
8,5,4,6,8,False
9,4,4,6,6,False
8,5,4,7,9,False
8,4,4,7,9,False
7,4,6,6,9,False
8,4,5,5,7,False
8,3,5,6,7,False
9,5,4,7,9,False
8,4,4,6,10,False
7,4,3,6,9,False
8,4,4,6,6,False
7,5,3,7,6,False
8,5,3,6,6,False
7,4,4,6,6,False
8,4,3,5,7,False
7,4,3,5,6,False
6,4,5,5,6,False
9,5,4,5,6,False
7,5,3,5,5,False
6,4,3,7,6,False
8,4,3,6,6,False
7,3,3,6,4,False
7,4,3,7,6,False
7,5,2,6,6,False
7,4,3,5,5,False
8,4,3,5,5,False
5,3,3,5,6,False
8,3,3,6,6,False
6,4,4,4,5,False
7,5,4,4,6,False
5,6,3,5,7,False
7,4,3,5,7,False
5,4,2,6,7,False
7,4,2,5,6,False
7,4,3,5,5,False
6,6,3,5,6,False
6,4,3,5,5,False
5,4,2,5,6,False
6,4,2,5,5,False
6,4,2,5,6,False
6,3,3,4,7,False
5,4,3,6,6,False
5,5,3,5,6,False
6,4,6,5,5,False
5,4,3,5,6,False
5,3,3,6,5,False
7,4,6,5,9,False
6,5,2,5,17,False
5,4,2,4,7,False
7,5,1,5,5,False
6,5,2,5,5,False
5,4,1,4,5,False
7,4,2,5,11,False
6,5,4,5,9,False
5,6,2,5,7,False
5,5,2,6,6,True
