Fabien Cousteau,Marc Abrahams,Kimberley Motley,Sergei Lupashin,Iraola,isPartial
0,14,0,0,28,False
14,0,0,0,37,False
17,17,0,0,17,False
0,0,0,0,31,False
12,0,0,0,27,False
11,0,0,0,35,False
12,0,0,0,28,False
0,0,0,0,39,False
0,10,0,0,31,False
0,11,0,0,21,False
0,0,0,0,14,False
0,0,0,0,33,False
9,0,0,0,26,False
0,0,0,0,23,False
8,8,0,0,18,False
9,0,0,0,17,False
7,0,0,0,17,False
7,8,0,0,15,False
8,0,0,0,15,False
7,0,0,0,15,False
0,0,0,0,29,False
25,0,0,0,31,False
9,0,0,0,27,False
6,0,0,0,23,False
5,5,0,0,16,False
8,0,0,0,20,False
5,5,0,0,38,False
5,5,0,0,19,False
0,0,0,0,25,False
15,0,0,0,26,False
7,0,0,0,29,False
0,9,0,0,24,False
6,4,0,0,20,False
4,0,0,0,20,False
4,0,0,0,21,False
0,0,0,0,32,False
7,3,0,0,23,False
4,4,4,0,30,False
3,3,0,0,34,False
0,3,0,0,21,False
4,3,0,0,22,False
0,3,0,0,28,False
6,0,0,0,16,False
0,6,0,0,21,False
5,5,0,0,30,False
2,5,0,0,27,False
2,2,0,0,16,False
3,0,0,0,26,False
2,0,0,0,22,False
2,2,0,0,27,False
2,4,0,0,26,False
5,0,0,0,32,False
0,2,0,0,29,False
2,2,0,0,18,False
3,0,0,0,21,False
2,0,0,0,34,False
2,3,0,0,33,False
2,0,0,2,29,False
5,2,0,0,28,False
2,2,0,0,27,False
2,3,0,0,28,False
2,0,0,0,29,False
2,3,0,0,23,False
6,2,0,0,29,False
4,0,0,0,28,False
5,0,0,0,23,False
3,2,0,0,25,False
2,0,0,2,26,False
1,1,0,0,37,False
2,3,0,0,32,False
1,2,0,0,32,False
2,0,0,0,32,False
1,0,0,0,35,False
2,1,0,0,23,False
2,1,1,0,25,False
2,1,0,0,26,False
2,1,0,0,26,False
4,0,0,0,27,False
2,1,1,0,18,False
1,1,0,1,23,False
3,1,0,0,33,False
3,1,0,0,33,False
3,1,0,0,41,False
2,1,0,0,29,False
1,2,0,0,26,False
1,1,0,0,31,False
4,1,1,0,39,False
2,1,0,0,29,False
2,1,0,0,31,False
1,0,0,0,28,False
2,1,0,0,24,False
2,1,0,0,34,False
1,1,1,0,32,False
1,2,0,0,25,False
2,2,1,0,27,False
1,1,2,0,23,False
1,1,1,0,24,False
1,1,1,0,25,False
1,1,5,0,55,False
1,1,1,0,27,False
1,0,1,0,39,False
1,1,0,0,26,False
1,1,1,0,24,False
2,1,0,0,24,False
1,1,1,1,25,False
1,2,0,0,25,False
0,1,1,0,20,False
1,1,0,1,24,False
2,1,1,0,25,False
3,1,1,1,25,False
1,1,0,0,21,False
2,1,1,0,25,False
2,1,1,0,21,False
2,1,1,1,22,False
2,1,1,0,23,False
1,1,0,1,23,False
2,2,1,0,25,False
2,0,1,1,24,False
2,1,1,1,24,False
6,1,1,1,24,False
2,0,1,0,24,False
1,1,1,1,23,False
4,0,0,0,26,False
6,1,2,0,18,False
4,0,0,0,21,False
23,1,1,1,19,False
18,0,1,0,20,False
4,1,1,0,29,False
2,2,0,1,30,False
5,2,1,1,26,False
3,1,2,1,26,False
2,1,2,0,19,False
1,1,2,0,22,False
1,1,2,0,25,False
2,1,1,0,31,False
2,1,1,0,36,False
1,1,1,0,100,False
1,1,1,0,40,False
1,0,1,0,48,False
1,1,0,0,33,False
2,1,1,0,27,False
1,1,1,0,22,False
3,0,1,0,20,False
1,1,0,0,22,False
2,0,11,0,24,False
2,1,3,0,18,False
1,0,2,0,21,False
1,0,1,0,20,False
1,0,2,0,26,False
1,0,1,0,24,False
2,0,1,0,27,False
1,0,1,0,16,False
1,0,5,0,22,False
1,1,1,0,22,False
1,0,1,0,27,False
1,1,2,0,20,False
1,0,1,0,17,False
1,1,1,0,19,False
2,1,1,0,18,False
1,1,0,0,17,False
2,0,0,0,19,False
1,0,0,0,18,False
2,0,0,0,17,False
1,0,0,0,15,False
2,1,1,0,14,False
1,1,1,0,14,False
2,0,1,0,15,False
1,1,2,0,11,False
1,0,0,0,16,False
1,1,0,0,18,False
2,1,1,0,17,False
1,1,0,0,12,False
1,0,1,0,16,False
2,0,0,0,17,False
6,1,0,0,15,False
1,0,0,0,16,False
1,1,1,0,17,False
1,1,1,0,19,False
4,1,0,0,15,False
16,0,2,0,15,False
1,0,1,0,15,False
2,0,0,0,18,False
2,1,1,0,15,False
1,1,1,0,16,False
2,1,0,0,19,False
7,0,0,0,15,False
2,0,1,0,19,False
4,0,1,0,19,False
1,1,4,0,15,False
2,1,1,0,16,False
1,0,10,0,17,False
3,1,5,0,15,False
1,1,1,0,25,False
1,1,0,0,46,False
1,0,1,0,20,False
1,1,1,0,13,False
2,0,1,0,13,False
1,0,1,0,16,False
3,0,0,0,28,False
2,1,1,0,26,False
2,1,2,0,19,False
2,1,1,0,16,True
