Natasha Tsakos,Cary Fowler,Joshua Silver,Geoff Mulgan,Iraola,isPartial
0,0,16,16,24,False
0,0,16,0,47,False
0,19,39,0,29,False
0,0,15,20,30,False
0,0,0,26,30,False
0,13,13,13,26,False
0,0,13,14,27,False
0,0,13,25,50,False
0,0,0,12,27,False
0,0,0,18,24,False
0,0,12,0,12,False
11,0,33,0,17,False
0,10,0,10,23,False
0,0,25,10,31,False
0,0,0,11,23,False
0,0,0,13,29,False
0,0,8,17,20,False
0,0,0,17,28,False
0,0,0,9,26,False
8,0,8,0,17,False
0,0,8,8,30,False
0,0,9,7,28,False
0,0,0,7,21,False
0,0,10,7,28,False
6,0,6,12,18,False
6,6,0,19,21,False
0,5,16,11,36,False
0,0,9,0,21,False
5,0,11,16,35,False
0,8,6,8,35,False
0,6,8,6,34,False
0,0,5,5,22,False
0,0,5,5,25,False
0,5,4,9,22,False
9,0,6,4,26,False
0,5,9,5,26,False
0,0,4,8,22,False
0,0,6,4,26,False
0,0,5,4,28,False
4,0,8,9,25,False
0,0,3,5,31,False
0,0,4,7,26,False
0,3,7,0,29,False
0,3,5,3,25,False
0,6,0,3,33,False
3,3,6,4,21,False
0,3,3,3,27,False
0,3,10,0,27,False
0,0,4,3,24,False
3,3,6,3,21,False
0,6,3,4,27,False
0,2,4,5,27,False
0,0,4,4,30,False
0,2,2,5,19,False
0,2,4,4,16,False
0,0,4,2,35,False
2,4,4,2,36,False
0,2,4,4,32,False
2,2,4,3,36,False
2,2,8,3,32,False
0,7,15,3,28,False
2,3,9,3,28,False
2,2,3,5,27,False
2,2,4,3,35,False
0,0,7,3,30,False
2,2,5,2,33,False
0,2,6,3,30,False
3,3,3,2,35,False
6,3,8,5,40,False
3,3,7,3,33,False
4,3,4,3,39,False
2,2,3,4,36,False
1,1,4,7,36,False
1,1,7,2,24,False
1,1,5,4,31,False
0,1,9,3,27,False
1,1,4,3,26,False
0,3,4,1,32,False
0,1,8,1,21,False
1,1,4,2,25,False
0,4,5,2,28,False
1,3,3,3,34,False
2,2,7,1,46,False
3,0,5,1,37,False
0,0,3,2,33,False
1,2,4,2,45,False
1,2,5,4,43,False
2,1,4,3,36,False
0,0,4,2,40,False
2,0,2,3,34,False
0,1,3,2,26,False
0,1,4,2,38,False
1,1,4,3,38,False
2,2,4,3,31,False
1,1,4,3,27,False
0,1,5,3,24,False
1,3,3,2,29,False
0,1,4,3,35,False
1,1,3,1,52,False
1,1,5,3,33,False
1,2,5,1,52,False
1,2,3,2,24,False
2,1,4,2,25,False
1,2,5,1,27,False
1,1,4,1,28,False
1,0,5,2,23,False
2,1,4,2,26,False
1,1,4,1,27,False
1,1,3,1,26,False
1,1,4,2,25,False
1,0,3,2,21,False
1,1,5,3,23,False
1,1,3,1,24,False
2,1,3,2,24,False
1,1,4,1,24,False
1,1,6,1,29,False
1,1,2,1,29,False
1,1,5,2,25,False
1,2,4,1,27,False
1,1,4,1,26,False
1,1,2,1,26,False
1,1,5,2,29,False
0,1,4,3,28,False
1,1,3,1,24,False
1,1,4,1,27,False
1,1,4,1,25,False
1,1,2,2,26,False
0,1,4,1,34,False
0,1,4,2,38,False
1,1,3,1,29,False
0,1,5,1,29,False
1,1,3,3,23,False
1,1,3,1,26,False
1,1,2,2,27,False
0,1,2,2,36,False
1,1,3,1,46,False
1,1,3,2,100,False
0,1,4,1,47,False
1,1,4,2,50,False
2,1,3,1,39,False
0,1,3,2,27,False
1,2,6,2,25,False
1,1,4,1,25,False
0,1,5,1,23,False
1,0,3,1,25,False
1,1,4,1,19,False
0,1,2,1,24,False
1,2,4,1,20,False
0,1,3,1,29,False
0,2,3,1,29,False
1,1,3,1,29,False
1,1,3,1,20,False
0,1,4,1,21,False
1,1,6,1,30,False
1,1,8,1,32,False
0,1,5,1,27,False
1,0,16,1,17,False
1,0,5,1,20,False
0,1,3,0,19,False
0,2,7,1,19,False
0,1,3,3,22,False
0,1,4,1,19,False
0,2,3,1,18,False
0,0,5,0,19,False
0,0,4,1,17,False
1,1,6,1,19,False
1,1,9,1,17,False
0,0,4,2,12,False
0,1,5,1,18,False
0,1,4,2,19,False
0,1,5,1,17,False
0,1,4,1,15,False
0,0,4,1,20,False
0,0,3,1,18,False
0,1,3,0,17,False
0,1,2,1,20,False
0,1,5,1,21,False
0,1,4,1,21,False
0,1,3,1,20,False
0,0,3,1,20,False
0,1,4,0,17,False
0,2,3,1,19,False
0,1,3,2,16,False
0,1,4,0,18,False
1,1,5,1,17,False
0,1,5,1,18,False
0,0,4,2,23,False
0,1,2,1,20,False
0,1,4,1,20,False
0,0,4,1,17,False
0,0,4,1,18,False
0,0,6,1,17,False
0,1,4,1,29,False
0,1,3,1,53,False
0,0,3,1,21,False
0,1,3,1,16,False
0,1,3,1,17,False
0,0,4,1,15,False
0,1,3,1,34,False
0,0,4,1,29,False
0,0,5,1,22,False
0,1,3,1,19,True
