John Kasaona,Stewart Brand + Mark Z. Jacobson,David Byrne,Margaret Gould Stewart,Iraola,isPartial
0,2,54,0,4,False
0,2,42,0,6,False
0,4,90,0,3,False
0,7,100,0,5,False
0,3,97,0,4,False
0,4,72,0,5,False
0,2,64,0,4,False
0,4,61,0,6,False
0,3,69,0,5,False
0,4,75,0,3,False
0,3,42,0,2,False
0,4,48,0,5,False
0,3,42,0,4,False
0,2,62,0,3,False
0,7,49,0,3,False
0,5,41,1,3,False
0,5,49,0,3,False
0,5,53,0,2,False
0,2,47,0,2,False
0,4,37,0,2,False
0,6,28,0,4,False
0,2,40,0,5,False
0,3,33,0,4,False
0,4,30,0,3,False
0,2,32,0,2,False
0,2,26,0,3,False
0,2,28,0,6,False
0,3,26,0,3,False
0,3,29,0,4,False
0,2,31,0,4,False
0,3,29,0,5,False
0,2,32,0,4,False
0,4,23,0,3,False
0,3,32,0,3,False
0,2,27,0,3,False
0,2,29,0,5,False
0,2,34,0,4,False
0,2,32,0,5,False
0,3,23,0,5,False
0,4,25,0,3,False
0,2,21,0,3,False
0,3,23,0,4,False
0,2,26,0,2,False
0,1,20,0,3,False
0,1,23,0,5,False
0,2,27,0,4,False
0,3,24,0,2,False
0,2,22,0,4,False
0,1,23,0,3,False
0,3,25,0,4,False
0,1,24,0,4,False
0,3,23,0,5,False
0,2,28,0,4,False
0,1,37,0,3,False
0,3,33,0,3,False
0,2,70,0,5,False
0,3,65,0,5,False
0,2,68,0,4,False
0,3,52,0,4,False
0,3,53,0,4,False
0,3,46,0,4,False
0,2,57,0,4,False
0,2,60,0,3,False
0,3,50,0,5,False
0,2,38,0,4,False
0,2,68,0,4,False
0,3,44,0,4,False
0,4,38,0,4,False
0,3,28,0,6,False
0,3,28,0,5,False
0,4,24,0,5,False
0,4,24,0,5,False
0,3,26,0,5,False
0,4,25,0,4,False
0,3,26,0,4,False
0,3,40,0,4,False
0,2,29,0,4,False
0,4,25,0,4,False
0,3,21,0,3,False
0,3,23,0,4,False
0,3,23,0,5,False
0,4,27,0,5,False
0,5,23,0,6,False
0,3,21,0,4,False
0,2,25,0,4,False
0,3,21,0,5,False
0,3,19,0,6,False
0,4,22,0,4,False
0,3,22,0,5,False
0,2,21,0,4,False
0,2,26,0,4,False
0,3,22,0,5,False
0,3,21,0,5,False
0,6,26,0,4,False
0,3,24,0,4,False
0,3,21,0,4,False
0,3,19,0,4,False
0,2,18,0,4,False
0,2,22,0,8,False
0,3,21,0,4,False
0,3,22,0,6,False
0,3,32,0,4,False
0,3,25,0,4,False
0,3,29,0,4,False
0,2,71,0,4,False
0,2,41,0,4,False
0,2,37,0,3,False
0,2,25,0,4,False
0,2,25,0,4,False
0,2,22,0,4,False
0,3,24,0,3,False
0,2,22,0,4,False
0,3,24,0,3,False
0,3,30,0,3,False
0,2,29,0,4,False
0,2,26,0,4,False
0,2,22,0,4,False
0,3,21,0,4,False
0,3,17,0,4,False
0,2,17,0,4,False
0,2,17,0,4,False
0,2,19,0,4,False
0,1,17,0,4,False
0,2,18,0,3,False
0,1,24,0,3,False
0,2,16,0,3,False
0,2,16,0,3,False
0,3,17,0,5,False
0,2,15,0,5,False
0,2,15,0,4,False
0,2,14,0,4,False
0,2,15,0,3,False
0,1,15,0,3,False
0,2,14,0,4,False
0,1,13,0,5,False
0,2,14,0,6,False
0,2,16,0,15,False
0,1,15,0,6,False
0,2,13,0,7,False
0,2,16,0,5,False
0,2,13,0,4,False
0,1,12,0,3,False
0,2,12,0,3,False
0,1,12,0,3,False
0,2,15,0,4,False
0,1,32,0,3,False
0,1,13,0,3,False
0,1,14,0,3,False
0,1,15,0,4,False
0,1,13,0,4,False
0,1,11,0,4,False
0,1,11,0,2,False
0,1,11,0,3,False
0,1,12,0,3,False
0,1,13,0,4,False
0,1,11,0,3,False
0,1,15,0,3,False
0,1,13,0,3,False
0,1,12,0,3,False
0,1,13,0,3,False
0,1,14,0,3,False
0,1,11,0,3,False
0,1,11,0,3,False
0,1,11,0,2,False
0,1,13,0,2,False
0,1,11,0,2,False
0,2,12,0,2,False
0,1,18,0,2,False
0,1,49,0,2,False
0,1,31,0,3,False
0,1,67,0,3,False
0,1,38,0,2,False
0,1,38,0,2,False
0,1,47,0,3,False
0,1,43,0,2,False
0,1,42,0,3,False
0,1,33,0,3,False
0,1,33,0,3,False
0,1,27,0,2,False
0,1,15,0,2,False
0,1,14,0,2,False
0,1,13,0,3,False
0,1,13,0,2,False
0,1,13,0,3,False
0,1,14,0,3,False
0,2,14,0,2,False
0,1,12,0,3,False
0,1,16,0,3,False
0,1,18,0,2,False
0,1,21,0,2,False
0,1,24,0,3,False
0,1,24,0,2,False
0,1,28,0,4,False
0,1,24,0,7,False
0,1,90,0,3,False
0,1,22,0,2,False
0,1,19,0,2,False
0,1,13,0,2,False
0,1,16,0,4,False
0,1,13,0,4,False
0,1,16,0,3,False
0,1,35,0,3,True
