Henry Evans and Chad Jenkins,Andreas Raptopoulos,Peter Doolittle,Suzana Herculano-Houzel,Iraola,isPartial
0,0,14,0,28,False
0,0,0,0,37,False
0,0,17,0,17,False
0,0,0,0,31,False
0,0,12,0,27,False
0,12,12,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
0,0,0,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,10,0,33,False
0,0,9,0,26,False
0,0,9,0,23,False
0,0,0,0,18,False
0,0,9,9,17,False
0,0,0,0,17,False
0,0,0,0,15,False
0,0,0,0,15,False
0,0,7,0,15,False
0,0,7,0,29,False
0,0,0,0,31,False
0,0,0,0,27,False
0,0,6,6,23,False
0,0,5,0,16,False
0,0,0,0,20,False
0,0,14,0,38,False
0,0,0,0,19,False
0,0,9,0,25,False
0,0,0,5,26,False
0,0,0,0,29,False
0,0,0,0,24,False
0,0,4,0,20,False
0,0,4,0,20,False
0,0,0,4,21,False
0,0,0,0,32,False
0,0,0,3,23,False
0,0,0,0,30,False
0,0,5,3,34,False
0,0,3,0,21,False
0,0,3,3,22,False
0,0,4,3,28,False
0,0,3,3,16,False
0,0,3,0,21,False
0,0,0,3,30,False
0,0,2,2,27,False
0,0,2,4,16,False
0,0,3,0,26,False
0,0,0,2,22,False
0,0,2,0,27,False
0,0,2,4,26,False
0,0,2,2,32,False
0,0,4,2,29,False
0,0,0,4,18,False
0,0,3,2,21,False
0,0,2,2,34,False
0,0,0,2,33,False
0,0,0,2,29,False
0,2,4,2,28,False
0,0,2,2,27,False
0,0,0,2,28,False
0,0,2,3,29,False
0,2,2,2,23,False
0,0,0,3,29,False
0,0,2,0,28,False
0,0,3,2,23,False
0,0,3,2,25,False
0,0,0,2,26,False
0,1,1,2,37,False
0,1,1,3,32,False
0,1,1,1,32,False
0,0,2,1,32,False
0,0,1,1,35,False
0,0,1,2,23,False
0,0,0,1,25,False
0,0,3,1,26,False
0,0,0,1,26,False
0,0,2,1,27,False
0,0,1,2,18,False
0,0,2,1,23,False
0,0,1,0,33,False
0,0,1,1,33,False
0,0,3,2,41,False
0,0,1,0,29,False
0,1,2,0,26,False
0,0,1,0,31,False
0,0,2,1,39,False
0,0,1,1,29,False
0,0,1,1,31,False
0,0,1,1,28,False
0,0,1,0,24,False
0,0,2,1,34,False
0,0,2,1,32,False
0,0,2,1,25,False
0,0,1,1,27,False
0,0,1,1,23,False
0,0,1,0,24,False
0,1,0,1,25,False
0,1,1,0,55,False
0,0,1,1,27,False
0,0,1,1,39,False
0,0,1,1,26,False
0,0,1,1,24,False
0,0,1,1,24,False
0,1,1,2,25,False
0,0,1,2,25,False
0,0,1,1,20,False
0,0,1,1,24,False
0,1,1,2,25,False
0,1,1,1,25,False
0,1,2,7,21,False
0,1,1,3,25,False
0,0,1,2,21,False
0,1,2,3,22,False
0,0,1,1,23,False
0,1,1,2,23,False
0,1,1,2,25,False
0,0,1,1,24,False
0,2,2,5,24,False
0,2,2,5,24,False
0,1,1,2,24,False
0,1,2,1,23,False
0,1,1,2,26,False
0,1,0,2,18,False
0,0,1,1,21,False
0,1,1,2,19,False
0,1,2,1,20,False
0,1,1,3,29,False
0,1,2,1,30,False
0,0,0,2,26,False
0,2,1,2,26,False
0,0,1,1,19,False
0,0,1,2,22,False
0,1,2,1,25,False
0,0,1,1,31,False
0,0,1,2,36,False
0,0,1,1,100,False
0,0,0,1,40,False
0,0,1,4,48,False
0,0,1,5,33,False
0,0,1,4,27,False
0,0,1,5,22,False
0,0,1,2,20,False
0,0,1,1,22,False
0,0,1,2,24,False
0,0,0,1,18,False
0,0,1,1,21,False
0,0,1,1,20,False
0,0,1,9,26,False
0,0,0,2,24,False
0,0,0,2,27,False
0,0,1,1,16,False
0,0,2,1,22,False
0,0,1,1,22,False
0,0,1,1,27,False
0,0,1,1,20,False
0,0,1,1,17,False
0,0,1,1,19,False
0,0,1,2,18,False
0,0,1,1,17,False
0,0,1,2,19,False
0,0,0,1,18,False
0,0,0,0,17,False
0,1,1,1,15,False
0,0,0,2,14,False
0,0,0,1,14,False
0,0,0,1,15,False
0,0,1,2,11,False
0,0,1,1,16,False
0,0,1,1,18,False
0,0,1,2,17,False
0,0,1,1,12,False
0,0,1,1,16,False
0,0,1,1,17,False
0,0,1,1,15,False
0,0,1,1,16,False
0,0,1,1,17,False
0,0,1,0,19,False
0,0,1,1,15,False
0,0,1,1,15,False
0,0,0,1,15,False
0,0,1,1,18,False
0,0,1,1,15,False
0,0,1,1,16,False
0,0,1,2,19,False
0,0,0,1,15,False
0,0,0,1,19,False
0,0,0,2,19,False
0,0,1,1,15,False
0,0,0,1,16,False
0,0,1,2,17,False
0,0,0,2,15,False
0,0,1,4,25,False
0,0,1,1,46,False
0,0,1,1,20,False
0,1,0,1,13,False
0,0,0,1,13,False
0,0,0,1,16,False
0,0,1,1,28,False
0,0,0,1,26,False
0,1,1,1,19,False
0,0,1,1,16,True
