Melissa Marshall,Maurizio Seracini,Eddie Obeng,John Wilbanks,Iraola,isPartial
16,0,0,0,47,False
16,0,0,0,26,False
39,0,0,0,19,False
30,0,15,0,30,False
13,13,0,0,22,False
33,13,0,0,26,False
18,14,0,14,36,False
13,13,0,0,38,False
23,12,12,12,31,False
24,12,12,0,40,False
20,0,0,12,32,False
11,11,0,11,33,False
10,10,0,0,26,False
17,0,0,0,24,False
11,9,0,9,28,False
24,10,0,32,45,False
8,8,8,59,20,False
8,13,17,8,31,False
17,0,0,0,29,False
8,8,0,0,19,False
30,8,0,0,30,False
14,0,14,7,26,False
14,0,7,0,35,False
7,7,7,7,19,False
6,0,0,0,14,False
17,6,9,6,31,False
11,5,0,13,38,False
6,0,0,12,27,False
16,27,5,5,37,False
6,0,6,6,34,False
6,6,6,0,37,False
5,5,0,5,26,False
8,0,5,0,26,False
4,4,0,4,24,False
4,15,0,0,17,False
11,5,0,9,32,False
6,4,0,0,30,False
8,10,0,0,39,False
5,4,0,4,34,False
6,4,0,4,20,False
10,3,0,6,17,False
6,3,3,3,25,False
8,7,0,3,28,False
8,5,0,3,27,False
0,4,3,4,35,False
10,6,3,3,24,False
5,3,5,0,23,False
7,3,0,3,31,False
9,3,4,4,24,False
7,3,5,5,26,False
7,0,2,6,31,False
11,5,2,2,29,False
2,2,2,5,34,False
6,2,0,4,29,False
8,11,2,3,20,False
9,2,5,7,33,False
5,2,2,0,37,False
7,2,2,3,36,False
4,4,2,2,35,False
8,2,0,3,38,False
4,2,0,3,37,False
8,3,0,4,37,False
7,0,2,2,26,False
4,3,2,2,29,False
3,3,0,2,29,False
7,7,0,3,36,False
4,2,2,3,25,False
7,2,0,0,28,False
8,0,0,2,38,False
6,2,2,2,36,False
5,2,2,2,37,False
6,2,0,0,31,False
5,0,0,1,43,False
4,2,1,3,29,False
5,1,0,3,25,False
3,1,1,3,28,False
6,1,1,2,27,False
3,0,1,5,31,False
5,1,1,3,29,False
7,1,3,1,29,False
5,0,0,2,37,False
3,1,0,1,31,False
8,2,1,2,46,False
6,2,2,0,36,False
7,1,1,1,30,False
7,1,0,1,37,False
2,2,1,2,48,False
4,1,1,1,30,False
6,1,1,1,41,False
7,0,0,2,38,False
3,0,1,2,28,False
5,0,0,1,51,False
6,2,1,1,33,False
7,0,1,2,30,False
5,1,1,1,30,False
5,2,2,1,25,False
5,1,0,2,30,False
5,1,2,2,30,False
6,8,1,1,58,False
8,1,2,1,32,False
6,2,2,2,42,False
3,1,2,2,31,False
7,2,2,1,24,False
6,1,2,1,28,False
6,2,1,2,34,False
10,2,9,5,26,False
6,1,6,2,23,False
5,1,2,7,29,False
2,1,3,1,27,False
5,0,2,2,26,False
6,1,1,1,24,False
4,1,2,2,25,False
5,1,2,2,23,False
4,1,1,1,23,False
6,1,1,1,27,False
5,1,1,2,26,False
7,1,2,1,26,False
4,1,2,1,26,False
6,1,1,1,26,False
5,1,2,1,23,False
5,1,1,2,26,False
7,1,1,1,27,False
4,1,2,1,30,False
8,1,1,1,20,False
4,1,1,2,22,False
5,1,2,2,22,False
4,1,1,0,26,False
7,2,1,1,35,False
5,1,1,1,36,False
7,1,2,1,27,False
6,1,2,1,29,False
6,2,1,1,22,False
8,1,1,1,26,False
5,1,2,1,27,False
7,1,2,1,41,False
5,1,1,1,45,False
4,0,1,1,100,False
6,1,1,1,45,False
5,0,1,1,52,False
5,1,1,1,37,False
6,1,1,1,31,False
4,1,0,0,23,False
5,4,1,0,27,False
5,2,1,1,25,False
4,3,2,1,28,False
6,1,1,1,21,False
5,1,1,1,25,False
5,1,2,1,22,False
6,1,0,0,34,False
6,1,1,1,29,False
6,1,1,2,30,False
7,1,1,1,19,False
5,1,1,1,25,False
5,1,1,1,26,False
4,1,2,1,30,False
5,0,0,2,23,False
5,1,0,1,17,False
5,1,1,0,21,False
4,0,1,1,21,False
4,1,0,1,21,False
5,0,1,0,26,False
4,1,1,0,19,False
5,0,1,1,20,False
5,0,1,0,18,False
4,0,2,1,16,False
6,0,0,1,19,False
6,1,1,1,16,False
4,0,0,1,15,False
4,0,1,0,19,False
4,0,1,2,17,False
6,0,0,1,18,False
3,0,1,1,16,False
5,0,1,1,17,False
4,0,0,1,16,False
3,0,0,1,16,False
5,0,1,1,20,False
4,0,1,1,22,False
4,0,1,1,22,False
5,1,0,1,19,False
5,1,0,1,20,False
3,1,1,1,15,False
4,0,1,0,20,False
4,0,1,0,16,False
3,0,1,0,20,False
3,0,0,1,21,False
2,0,1,2,17,False
5,0,1,1,20,False
4,0,1,1,19,False
4,0,1,0,18,False
4,0,1,1,17,False
5,1,1,0,17,False
3,0,0,1,18,False
3,0,0,1,28,False
4,0,1,0,56,False
3,0,1,1,25,False
4,0,1,1,18,False
3,1,1,1,15,False
4,0,1,1,18,False
4,0,0,1,36,False
4,0,1,0,27,False
3,0,0,1,22,False
2,0,0,1,19,True
