Nancy Etcoff,Jane Poynter,Diane Benscoter,Catherine Mohr,Iraola,isPartial
0,16,0,0,24,False
16,0,0,0,47,False
19,0,0,0,29,False
0,0,0,0,30,False
13,0,0,0,30,False
26,0,0,0,26,False
0,0,0,0,27,False
13,0,0,13,50,False
0,12,0,0,27,False
0,0,0,0,24,False
24,0,0,0,12,False
11,0,0,0,17,False
10,10,0,0,23,False
15,0,0,0,31,False
13,0,0,8,23,False
10,0,0,0,29,False
0,0,0,8,20,False
8,0,0,0,28,False
9,0,0,9,26,False
8,0,0,0,17,False
8,0,0,0,30,False
0,0,0,7,28,False
0,7,0,7,21,False
7,0,0,0,28,False
6,6,0,0,18,False
6,0,0,0,21,False
5,0,0,0,36,False
12,0,0,0,21,False
0,0,0,0,35,False
6,0,0,0,35,False
6,0,0,0,34,False
10,5,0,5,22,False
5,5,0,0,25,False
7,11,0,0,22,False
4,0,0,0,26,False
0,5,0,0,26,False
4,4,0,0,22,False
4,0,0,0,26,False
4,4,0,0,28,False
6,0,0,0,25,False
3,3,0,3,31,False
3,3,0,3,26,False
3,0,0,7,29,False
5,3,0,0,25,False
6,0,0,0,33,False
5,3,0,3,21,False
7,0,0,0,27,False
6,0,0,0,27,False
3,5,0,0,24,False
5,4,0,0,21,False
4,5,0,2,27,False
3,2,0,2,27,False
2,2,0,0,30,False
2,0,0,0,19,False
4,0,0,2,16,False
2,0,0,2,35,False
2,2,0,0,36,False
4,6,0,0,32,False
3,2,0,0,36,False
0,2,0,2,32,False
4,6,0,0,28,False
3,4,0,2,28,False
2,2,0,3,27,False
2,2,0,2,35,False
2,3,0,2,30,False
3,3,2,9,33,False
3,3,3,3,30,False
0,0,0,3,35,False
2,2,2,2,40,False
3,2,0,2,33,False
5,3,2,5,39,False
2,2,0,3,36,False
2,2,1,1,36,False
3,0,0,4,24,False
2,3,0,3,31,False
3,0,1,4,27,False
1,2,0,3,26,False
1,1,0,1,32,False
1,0,0,2,21,False
1,0,0,3,25,False
2,1,0,2,28,False
4,1,1,2,34,False
2,1,1,1,46,False
0,1,1,1,37,False
4,2,0,1,33,False
1,3,0,1,45,False
3,1,0,2,43,False
2,4,0,1,36,False
3,0,0,1,40,False
3,1,0,1,34,False
1,0,0,2,26,False
2,2,0,2,38,False
3,3,0,1,38,False
3,1,0,2,31,False
1,28,0,2,27,False
0,4,1,1,24,False
2,1,0,1,29,False
2,2,0,1,35,False
1,1,0,1,52,False
1,1,0,2,33,False
1,1,0,1,52,False
1,2,0,1,24,False
1,0,1,2,25,False
3,1,0,2,27,False
2,2,0,0,28,False
1,0,1,1,23,False
1,1,0,1,26,False
1,1,0,1,27,False
2,1,1,1,26,False
1,12,1,3,25,False
1,2,1,1,21,False
2,1,1,1,23,False
1,1,0,1,24,False
1,1,1,2,24,False
2,1,0,1,24,False
1,0,1,1,29,False
1,1,1,2,29,False
2,1,1,1,25,False
2,1,1,1,27,False
1,1,0,1,26,False
1,1,1,2,26,False
1,1,0,1,29,False
1,1,1,1,28,False
2,1,0,1,24,False
1,2,1,1,27,False
1,1,0,1,25,False
0,1,1,1,26,False
1,1,1,1,34,False
2,1,0,0,38,False
2,1,1,1,29,False
1,1,0,2,29,False
1,1,0,1,23,False
1,1,1,1,26,False
1,1,0,1,27,False
1,1,0,1,36,False
0,2,1,1,46,False
1,1,1,1,100,False
1,1,0,1,47,False
1,1,1,1,50,False
1,2,0,1,39,False
1,1,1,1,27,False
1,1,0,1,25,False
1,1,0,0,25,False
1,1,0,1,23,False
1,1,0,1,25,False
1,1,1,1,19,False
1,1,0,0,24,False
1,1,0,1,20,False
0,1,1,1,29,False
1,1,1,2,29,False
1,1,0,1,29,False
1,0,0,0,20,False
1,1,1,1,21,False
1,0,1,1,30,False
1,1,0,1,32,False
0,0,0,1,27,False
1,1,0,1,17,False
1,1,0,1,20,False
1,0,0,1,19,False
1,1,0,1,19,False
1,0,0,1,22,False
0,0,0,1,19,False
1,1,0,0,18,False
0,1,0,1,19,False
0,1,0,1,17,False
0,0,0,1,19,False
1,0,0,1,17,False
1,0,0,0,12,False
1,1,0,0,18,False
1,1,0,1,19,False
1,0,0,2,17,False
0,1,0,1,15,False
0,1,0,1,20,False
1,1,1,1,18,False
0,1,0,1,17,False
1,1,0,1,20,False
1,1,0,1,21,False
1,1,0,1,21,False
0,1,0,1,20,False
1,0,0,1,20,False
1,1,0,1,17,False
1,1,0,0,19,False
0,1,0,0,16,False
1,1,0,1,18,False
0,1,0,0,17,False
0,1,0,0,18,False
0,1,0,0,23,False
0,0,0,0,20,False
1,1,0,0,20,False
1,0,0,1,17,False
0,1,0,1,18,False
0,0,0,0,17,False
1,1,0,1,29,False
1,1,0,0,53,False
1,1,0,1,21,False
1,1,0,0,16,False
0,1,0,0,17,False
0,1,0,1,15,False
1,1,0,0,34,False
0,0,0,0,29,False
1,1,0,1,22,False
1,1,0,0,19,True
