Noel Bairey Merz,Taylor Wilson,Billy Collins,Jer Thorp,Iraola,isPartial
5,19,73,0,5,False
0,29,61,0,16,False
0,23,85,0,7,False
0,10,89,0,15,False
0,31,77,0,11,False
0,22,33,0,15,False
0,18,28,0,9,False
4,21,84,0,21,False
0,18,87,0,12,False
0,22,78,0,4,False
0,16,56,0,4,False
0,24,65,0,13,False
0,33,41,0,8,False
0,10,69,0,9,False
0,19,65,0,4,False
0,27,100,0,6,False
0,18,55,0,9,False
0,22,37,0,6,False
0,32,28,0,7,False
0,31,28,0,3,False
0,24,51,0,10,False
0,20,60,0,14,False
0,14,65,0,14,False
0,32,43,0,8,False
0,25,62,0,5,False
2,30,65,0,7,False
2,20,65,0,15,False
0,22,68,0,7,False
0,20,89,0,12,False
0,27,37,0,8,False
2,23,34,0,10,False
0,27,26,0,8,False
0,26,43,0,7,False
0,15,51,0,6,False
0,13,50,0,9,False
0,17,53,2,14,False
0,15,34,0,11,False
0,22,60,0,14,False
1,22,49,0,13,False
0,20,57,0,6,False
0,22,82,0,9,False
0,16,33,0,9,False
0,19,30,0,4,False
0,24,33,0,8,False
0,18,41,0,10,False
0,21,43,0,12,False
0,17,33,0,6,False
0,21,33,1,11,False
0,19,40,0,8,False
0,23,44,0,11,False
1,28,46,0,9,False
0,22,69,0,13,False
0,23,45,1,10,False
0,18,22,0,7,False
0,26,26,0,8,False
0,27,30,0,15,False
0,23,34,0,13,False
0,18,44,0,12,False
0,23,40,0,12,False
1,25,37,0,11,False
1,18,31,0,11,False
0,23,40,1,11,False
0,22,40,0,11,False
0,21,44,1,11,False
0,20,35,1,12,False
0,22,34,0,8,False
0,20,49,0,10,False
0,27,88,0,11,False
0,36,34,0,14,False
0,17,35,1,13,False
1,24,30,0,12,False
0,19,35,0,12,False
0,22,32,0,14,False
0,20,39,0,9,False
0,24,43,0,8,False
0,24,49,0,10,False
0,23,33,0,11,False
0,20,30,0,10,False
0,20,24,0,7,False
0,20,36,0,9,False
0,21,33,1,11,False
0,21,41,0,12,False
0,19,50,1,15,False
0,18,36,0,11,False
0,24,34,0,10,False
1,19,32,1,11,False
1,23,36,0,13,False
0,20,54,1,10,False
0,20,41,1,12,False
0,24,21,1,10,False
0,19,24,0,9,False
0,18,18,0,12,False
0,35,36,1,12,False
0,21,29,0,9,False
0,16,34,0,10,False
0,20,27,0,9,False
0,19,25,0,8,False
0,31,37,1,10,False
1,34,36,3,19,False
0,29,38,1,10,False
0,25,26,1,14,False
0,27,22,1,9,False
0,18,18,0,9,False
0,21,22,0,8,False
0,21,30,1,8,False
0,20,32,0,8,False
0,20,25,0,8,False
0,22,22,1,9,False
0,24,31,1,10,False
0,22,31,0,10,False
0,29,29,1,7,False
0,24,38,0,9,False
0,32,30,1,8,False
0,24,17,1,9,False
0,21,21,1,8,False
0,27,19,1,8,False
0,25,24,0,9,False
0,21,35,1,9,False
0,18,41,0,9,False
0,20,31,0,10,False
0,21,30,1,8,False
0,22,27,0,9,False
0,21,28,0,10,False
0,19,35,0,7,False
0,19,27,1,7,False
0,15,17,0,8,False
0,17,18,1,8,False
0,23,17,1,11,False
0,18,22,1,12,False
0,19,26,1,10,False
0,23,22,1,11,False
0,19,17,1,7,False
0,20,24,0,8,False
0,20,26,0,10,False
0,18,23,1,12,False
0,22,27,0,13,False
0,19,21,1,37,False
0,25,15,0,15,False
0,23,14,0,18,False
0,28,15,0,13,False
0,26,21,0,10,False
0,23,20,1,8,False
0,20,20,0,7,False
0,24,19,0,7,False
0,20,21,0,9,False
0,21,21,0,7,False
0,15,22,0,8,False
0,18,25,0,7,False
0,17,21,0,9,False
0,17,15,0,9,False
0,21,12,0,10,False
0,16,13,0,6,False
0,17,19,0,8,False
0,13,20,0,9,False
0,16,18,0,10,False
0,16,21,0,7,False
0,14,18,0,7,False
0,16,20,1,8,False
0,14,21,0,8,False
0,16,23,0,7,False
0,20,21,0,6,False
0,18,12,0,7,False
0,16,11,0,6,False
0,21,13,0,5,False
0,16,22,0,5,False
0,19,17,0,5,False
0,18,19,0,6,False
0,15,15,0,4,False
0,18,17,0,6,False
0,14,18,0,7,False
0,14,17,0,6,False
0,13,20,1,5,False
0,15,16,0,7,False
0,14,11,0,6,False
0,13,11,0,6,False
0,13,20,0,6,False
0,17,22,0,6,False
0,16,17,0,7,False
0,12,25,0,6,False
0,12,19,0,6,False
0,14,20,0,6,False
0,15,18,0,6,False
0,14,18,0,6,False
0,14,23,0,6,False
0,14,19,0,8,False
0,13,17,0,6,False
0,13,17,0,7,False
0,15,13,0,6,False
0,14,17,0,6,False
0,12,14,0,6,False
0,12,15,0,6,False
0,14,16,0,6,False
0,15,18,0,9,False
0,16,20,0,18,False
0,11,18,0,8,False
0,14,21,0,5,False
0,13,19,0,4,False
0,14,13,0,7,False
0,14,14,0,11,False
0,14,16,0,9,False
0,14,18,0,7,False
0,13,18,0,6,True
