Frank Gehry,Raul Midon,Bill Strickland,Bernie Dunlap,Iraola,isPartial
77,0,3,0,5,False
71,0,5,0,9,False
74,4,0,0,6,False
78,6,3,0,6,False
79,9,3,0,6,False
64,11,0,0,5,False
64,3,4,0,5,False
63,4,5,0,10,False
89,5,2,0,5,False
93,2,2,0,5,False
63,2,2,0,2,False
53,0,2,0,3,False
63,2,2,0,4,False
83,8,2,0,6,False
65,3,2,0,5,False
67,6,2,0,6,False
72,5,3,0,4,False
57,25,2,0,6,False
53,41,3,0,5,False
49,41,2,0,3,False
66,19,4,0,6,False
52,28,2,0,6,False
50,29,2,0,4,False
45,18,1,0,5,False
44,20,1,0,4,False
45,27,2,0,4,False
53,28,4,0,7,False
65,30,2,0,4,False
93,25,1,0,7,False
62,36,2,0,7,False
60,40,1,0,7,False
53,27,3,0,4,False
82,24,3,0,5,False
100,20,2,0,4,False
61,11,5,0,5,False
67,13,1,0,5,False
55,12,2,0,4,False
63,11,2,0,5,False
55,17,1,0,5,False
57,13,3,0,5,False
59,13,2,0,6,False
49,11,2,0,5,False
45,17,3,0,6,False
42,15,1,0,5,False
49,30,1,0,6,False
53,34,2,0,4,False
66,31,3,0,5,False
40,15,1,0,5,False
42,13,3,0,5,False
44,13,2,0,4,False
50,12,3,0,5,False
44,11,3,0,5,False
40,9,5,0,6,False
38,10,5,0,4,False
36,11,2,0,3,False
35,10,2,0,7,False
41,9,1,0,7,False
44,6,1,0,6,False
46,7,1,0,7,False
38,5,2,0,6,False
36,6,1,0,5,False
38,6,2,0,5,False
43,9,2,0,5,False
42,8,1,0,7,False
42,6,1,0,6,False
31,9,2,0,6,False
29,8,2,0,6,False
26,8,1,0,7,False
40,10,2,0,8,False
39,12,2,0,7,False
40,12,1,0,8,False
37,8,1,0,7,False
36,7,1,0,7,False
33,6,2,0,5,False
39,6,1,0,6,False
36,8,2,0,5,False
36,7,1,0,5,False
32,6,3,0,6,False
27,6,2,0,4,False
24,4,2,0,5,False
30,8,2,0,6,False
38,7,3,0,7,False
36,5,2,0,9,False
34,4,1,0,7,False
31,7,1,0,7,False
38,6,2,0,9,False
38,5,1,0,8,False
35,8,2,0,7,False
33,7,1,0,8,False
27,7,1,0,7,False
26,6,1,0,5,False
27,5,1,0,7,False
37,4,1,0,7,False
39,7,1,0,6,False
31,5,1,0,5,False
28,5,1,0,5,False
28,5,1,0,6,False
30,4,1,0,7,False
32,5,1,0,10,False
34,4,1,0,7,False
31,4,2,0,10,False
25,3,1,0,5,False
23,5,1,0,5,False
33,3,2,0,5,False
32,4,1,0,6,False
33,5,1,0,5,False
33,3,1,0,5,False
24,4,1,0,5,False
24,3,1,0,5,False
27,3,1,0,5,False
29,5,1,0,4,False
28,2,1,0,5,False
26,2,1,0,5,False
25,3,1,0,5,False
20,2,1,0,5,False
20,3,1,0,6,False
26,3,1,0,6,False
29,5,1,0,5,False
29,5,1,0,5,False
21,2,1,0,5,False
24,3,1,0,5,False
29,3,1,0,6,False
29,3,1,0,6,False
26,3,1,0,5,False
31,2,1,0,5,False
22,3,1,0,5,False
20,2,1,0,5,False
22,2,0,0,7,False
27,3,1,0,7,False
71,3,1,0,6,False
41,3,0,0,6,False
30,2,1,0,5,False
27,1,1,0,5,False
35,2,1,0,5,False
31,1,1,0,7,False
30,2,1,0,9,False
28,2,0,0,20,False
30,2,0,0,9,False
22,2,1,0,10,False
24,2,1,0,8,False
35,2,1,0,5,False
29,1,1,0,5,False
31,2,0,0,5,False
23,2,1,0,5,False
25,1,2,0,5,False
25,1,1,0,4,False
26,2,0,0,5,False
25,2,0,0,4,False
25,1,1,0,6,False
20,1,0,0,6,False
17,1,0,0,6,False
16,1,0,0,4,False
20,1,1,0,4,False
22,1,1,0,6,False
25,1,1,0,6,False
18,1,0,0,5,False
17,1,0,0,3,False
25,1,1,0,4,False
26,1,0,0,4,False
24,2,0,0,4,False
22,2,0,0,4,False
18,1,0,0,4,False
17,1,0,0,4,False
19,1,0,0,4,False
23,1,0,0,3,False
26,1,0,0,4,False
23,1,0,0,3,False
17,1,0,0,2,False
20,1,1,0,4,False
21,1,1,0,4,False
20,1,1,0,3,False
23,1,1,0,3,False
19,1,0,0,4,False
17,1,0,0,3,False
17,1,0,0,3,False
18,1,1,0,4,False
19,1,1,0,4,False
20,1,0,0,4,False
19,1,0,0,4,False
17,1,0,0,4,False
16,1,0,0,3,False
20,1,0,0,4,False
20,1,0,0,3,False
21,1,0,0,4,False
19,1,0,0,3,False
14,1,1,0,4,False
14,1,0,0,5,False
15,1,0,0,4,False
17,1,0,0,4,False
19,1,0,0,3,False
16,1,0,0,4,False
17,1,0,0,3,False
16,1,0,0,6,False
18,1,0,0,10,False
16,1,0,0,4,False
20,1,0,0,3,False
16,0,0,0,3,False
12,0,0,0,3,False
11,1,0,0,7,False
14,0,1,0,6,False
15,0,0,0,4,False
14,0,0,0,4,True
