Aimee Mullins,Joe DeRisi,Bill Gross,Bill Gates,Iraola,isPartial
0,0,1,41,0,False
0,0,1,39,0,False
0,0,1,40,0,False
0,0,1,39,0,False
0,0,0,34,0,False
0,0,1,26,0,False
0,0,0,25,0,False
0,0,1,26,0,False
0,0,1,34,0,False
0,0,1,34,0,False
0,0,1,31,0,False
0,0,0,30,0,False
0,0,0,42,0,False
0,0,0,37,0,False
0,0,0,35,0,False
0,0,0,35,0,False
0,0,0,36,0,False
0,0,1,27,0,False
0,0,1,23,0,False
0,0,0,23,0,False
0,0,0,36,0,False
0,0,1,37,0,False
0,0,0,34,0,False
0,0,1,31,0,False
0,0,0,34,0,False
0,0,0,32,0,False
0,0,0,32,0,False
0,0,0,33,0,False
0,0,0,33,0,False
0,0,0,45,0,False
0,0,1,28,0,False
0,0,0,28,0,False
0,0,0,29,0,False
0,0,0,27,0,False
0,0,0,28,0,False
0,0,0,23,0,False
0,0,0,30,0,False
0,0,0,33,0,False
0,0,0,31,0,False
0,0,0,26,0,False
0,0,0,25,0,False
0,0,1,26,0,False
0,0,1,21,0,False
0,0,0,19,0,False
0,0,0,26,0,False
0,0,0,24,0,False
0,0,0,23,0,False
0,0,0,20,0,False
0,0,1,37,0,False
0,0,0,26,0,False
0,0,1,24,0,False
0,0,1,21,0,False
0,0,1,21,0,False
0,0,0,31,0,False
0,0,1,21,0,False
0,0,0,17,0,False
0,0,1,26,0,False
0,0,1,21,0,False
0,0,0,18,0,False
0,0,0,17,0,False
0,0,0,18,0,False
0,0,1,19,0,False
1,0,0,20,0,False
0,0,0,17,0,False
0,0,0,17,0,False
0,0,0,16,0,False
0,0,0,16,0,False
0,0,0,15,0,False
0,0,0,19,0,False
0,0,1,20,0,False
1,0,1,20,0,False
0,0,0,16,0,False
0,0,1,21,0,False
1,0,0,20,0,False
1,0,1,20,0,False
1,0,0,19,0,False
0,0,0,18,0,False
0,0,0,18,0,False
0,0,0,16,0,False
1,0,1,19,0,False
0,0,0,22,0,False
0,0,1,27,0,False
0,0,0,23,0,False
0,0,0,20,0,False
0,0,1,21,0,False
1,0,0,20,0,False
0,0,1,21,0,False
1,0,1,19,0,False
0,0,0,17,0,False
0,0,1,17,0,False
0,0,0,16,0,False
1,0,1,19,0,False
0,0,0,18,0,False
0,0,0,40,0,False
0,0,0,21,0,False
0,0,0,18,0,False
1,0,0,21,0,False
0,0,0,19,0,False
1,0,0,19,0,False
0,0,0,16,0,False
0,0,0,17,0,False
0,0,0,19,0,False
0,0,0,17,0,False
0,0,1,16,0,False
0,0,0,19,0,False
0,0,0,18,0,False
0,0,0,17,0,False
0,0,0,16,0,False
0,0,0,17,0,False
0,0,0,21,0,False
0,0,0,19,0,False
0,0,0,20,0,False
0,0,0,22,0,False
0,0,0,18,0,False
0,0,0,17,0,False
0,0,0,18,0,False
0,0,0,22,0,False
0,0,0,20,0,False
0,0,0,21,0,False
0,0,0,19,0,False
0,0,0,23,0,False
0,0,0,22,0,False
0,0,0,22,0,False
0,0,0,19,0,False
0,0,0,21,0,False
0,0,0,16,0,False
0,0,0,17,0,False
0,0,0,28,0,False
0,0,2,21,0,False
0,0,1,23,0,False
0,0,1,23,0,False
1,0,0,18,0,False
0,0,1,24,0,False
0,0,0,21,0,False
0,0,0,22,0,False
0,0,0,20,0,False
0,0,1,21,1,False
0,0,0,20,0,False
0,0,0,19,0,False
0,0,0,20,0,False
0,0,0,22,0,False
0,0,0,22,0,False
0,0,0,20,0,False
0,0,0,22,0,False
0,0,0,21,0,False
0,0,0,21,0,False
0,0,0,19,0,False
0,0,0,18,0,False
0,0,0,18,0,False
1,0,0,16,0,False
0,0,0,16,0,False
0,0,0,17,0,False
0,0,0,18,0,False
0,0,0,18,0,False
0,0,0,20,0,False
0,0,0,19,0,False
0,0,0,20,0,False
0,0,0,22,0,False
0,0,0,20,0,False
0,0,0,18,0,False
0,0,0,20,0,False
0,0,0,16,0,False
0,0,0,19,0,False
0,0,0,19,0,False
0,0,0,19,0,False
0,0,0,18,0,False
0,0,0,20,0,False
0,0,0,17,0,False
0,0,0,19,0,False
0,0,0,22,0,False
0,0,0,19,0,False
0,0,0,18,0,False
0,0,0,18,0,False
0,0,0,14,0,False
0,0,0,13,0,False
0,0,0,14,0,False
0,0,0,15,0,False
0,0,0,18,0,False
0,0,0,16,0,False
0,0,0,15,0,False
0,0,0,18,0,False
0,0,0,18,0,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,14,0,False
0,0,0,15,0,False
0,0,0,15,0,False
0,0,0,31,0,False
0,0,0,27,0,False
0,0,0,26,0,False
0,0,0,21,0,False
0,0,0,23,0,False
0,0,0,35,0,False
0,0,0,67,0,False
0,0,0,100,0,False
0,0,0,79,0,False
0,0,0,37,0,False
0,0,0,34,0,False
0,0,0,37,0,False
0,0,0,32,0,False
0,0,0,25,0,True
