Sisonke Msimang,Jennifer Brea,Ashley Judd,Emily Parsons-Lord,Iraola,isPartial
0,0,67,0,2,False
0,0,64,0,2,False
0,0,64,0,1,False
0,0,46,0,2,False
0,0,67,0,2,False
0,1,63,0,2,False
0,0,74,0,2,False
0,0,60,0,3,False
0,0,58,0,2,False
0,0,57,0,1,False
0,1,50,0,1,False
0,0,42,0,2,False
0,0,58,0,2,False
0,0,47,0,1,False
0,0,50,0,1,False
0,0,45,0,1,False
0,0,45,0,1,False
0,0,35,0,1,False
0,1,37,0,1,False
0,0,39,0,1,False
0,0,39,0,2,False
0,0,37,0,2,False
0,0,29,0,2,False
0,0,33,0,1,False
0,0,33,0,1,False
0,1,28,0,1,False
0,0,34,0,3,False
0,0,30,0,1,False
0,0,28,0,2,False
0,0,26,0,2,False
0,0,40,0,2,False
0,0,30,0,2,False
0,0,24,0,1,False
0,0,25,0,1,False
0,1,33,0,1,False
0,1,25,0,2,False
0,0,26,0,2,False
0,0,22,0,2,False
0,0,26,0,2,False
0,0,24,0,1,False
0,1,67,0,1,False
0,1,32,0,2,False
0,0,29,0,1,False
0,0,29,0,1,False
0,0,27,0,2,False
0,0,28,0,2,False
0,0,29,0,1,False
0,0,29,0,2,False
0,0,25,0,1,False
0,0,37,0,2,False
0,0,23,0,2,False
0,0,21,0,2,False
0,0,20,0,2,False
0,0,19,0,1,False
0,0,18,0,1,False
0,0,19,0,2,False
0,0,18,0,2,False
0,0,17,0,2,False
0,0,18,0,2,False
0,0,20,0,2,False
0,0,29,0,2,False
0,0,35,0,2,False
0,0,21,0,1,False
0,0,24,0,2,False
0,0,20,0,2,False
0,0,18,0,2,False
0,0,22,0,2,False
0,0,21,0,2,False
0,0,17,0,2,False
0,0,21,0,2,False
0,0,18,0,2,False
0,0,18,0,2,False
0,0,32,0,2,False
0,0,22,0,2,False
0,0,29,0,2,False
0,0,20,0,2,False
0,0,29,0,2,False
0,0,23,0,2,False
0,0,30,0,1,False
0,0,24,0,2,False
0,0,20,0,2,False
0,0,18,0,2,False
0,1,15,0,3,False
0,0,20,0,2,False
0,0,21,0,2,False
0,0,17,0,2,False
0,0,22,0,3,False
0,0,84,0,2,False
0,0,27,0,2,False
0,0,21,0,2,False
0,0,19,0,2,False
0,0,17,0,2,False
0,0,19,0,2,False
0,0,27,0,2,False
0,0,20,0,2,False
0,0,21,0,2,False
0,0,21,0,2,False
0,0,28,0,2,False
0,0,81,0,4,False
0,0,78,0,2,False
0,0,50,0,3,False
0,0,29,0,2,False
0,0,24,0,2,False
0,0,20,0,2,False
0,0,21,0,2,False
0,0,18,0,2,False
0,0,22,0,1,False
0,0,22,0,2,False
0,0,38,0,2,False
0,0,34,0,2,False
0,0,60,0,1,False
0,0,38,0,2,False
0,0,23,0,1,False
0,0,18,0,1,False
0,0,17,0,2,False
0,0,18,0,2,False
0,0,13,0,2,False
0,0,27,0,2,False
0,0,21,0,2,False
0,0,20,0,2,False
0,0,17,0,2,False
0,0,15,0,2,False
0,0,22,0,2,False
0,0,18,0,1,False
0,0,17,0,1,False
0,0,17,0,1,False
0,0,15,0,1,False
0,0,21,0,2,False
0,0,21,0,2,False
0,0,16,0,2,False
0,0,14,0,2,False
0,0,15,0,1,False
0,0,19,0,1,False
0,0,16,0,2,False
0,0,71,0,2,False
0,0,24,0,2,False
0,0,17,0,7,False
0,0,15,0,3,False
0,0,13,0,3,False
0,0,14,0,2,False
0,0,11,0,2,False
0,0,19,0,1,False
0,0,14,0,1,False
0,0,16,0,1,False
0,0,15,0,2,False
0,0,12,0,1,False
0,0,13,0,1,False
0,0,12,0,1,False
0,0,12,0,2,False
0,0,13,0,2,False
0,0,15,0,2,False
0,0,14,0,1,False
0,0,11,0,1,False
0,0,12,0,1,False
0,0,12,0,2,False
0,0,15,0,1,False
0,0,100,0,1,False
0,0,23,0,1,False
0,0,18,0,1,False
0,0,12,0,1,False
0,0,12,0,1,False
0,0,13,0,1,False
0,0,15,0,1,False
0,0,23,0,1,False
0,0,11,0,1,False
0,0,82,0,1,False
0,1,17,0,1,False
0,0,42,0,1,False
0,1,25,0,1,False
0,1,16,0,1,False
0,0,32,0,1,False
0,0,13,0,1,False
0,0,30,0,1,False
0,0,12,0,1,False
0,0,14,0,1,False
0,0,12,0,1,False
0,0,13,0,1,False
0,0,10,0,1,False
0,0,9,0,1,False
0,0,11,0,1,False
0,0,20,0,1,False
0,0,12,0,1,False
0,0,11,0,1,False
0,0,15,0,1,False
0,0,13,0,1,False
0,0,9,0,1,False
0,0,9,0,1,False
0,0,10,0,1,False
0,0,10,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,11,0,1,False
0,0,13,0,2,False
0,0,28,0,3,False
0,0,13,0,1,False
0,0,13,0,1,False
0,0,11,0,1,False
0,0,11,0,1,False
0,0,19,0,2,False
0,0,14,0,2,False
0,0,10,0,1,False
0,0,9,0,1,True
