Nonny de la Peña,Anote Tong,Genevieve von Petzinger,Ann Morgan,Iraola,isPartial
0,10,0,38,9,False
0,9,0,19,28,False
0,0,0,12,12,False
0,0,0,41,27,False
0,8,0,39,19,False
0,0,0,27,27,False
0,0,0,25,16,False
0,0,0,23,38,False
0,0,0,31,21,False
0,7,0,25,7,False
0,0,0,32,7,False
0,0,0,53,23,False
0,0,0,23,14,False
0,0,0,39,15,False
0,0,0,15,8,False
0,0,0,20,11,False
0,5,0,20,15,False
0,0,0,18,10,False
0,0,0,36,13,False
0,0,0,27,5,False
0,0,0,9,18,False
0,0,0,30,25,False
0,0,0,30,25,False
0,0,0,27,14,False
0,0,0,25,9,False
0,0,0,26,13,False
0,0,0,21,26,False
0,3,0,19,12,False
0,0,0,19,20,False
0,3,0,22,13,False
0,0,0,21,18,False
0,3,0,22,14,False
0,0,0,21,12,False
0,0,0,19,11,False
0,0,0,18,16,False
0,0,0,16,25,False
0,0,0,18,19,False
0,2,0,21,24,False
0,0,0,23,23,False
0,0,0,21,11,False
0,0,0,18,15,False
0,2,0,30,16,False
0,2,0,21,8,False
0,2,0,15,15,False
0,0,0,25,18,False
0,2,0,27,21,False
0,0,0,20,11,False
0,0,0,30,19,False
0,0,0,22,14,False
0,0,0,22,19,False
0,0,0,22,15,False
0,0,0,21,23,False
0,0,0,17,17,False
0,3,0,24,11,False
0,1,0,22,14,False
0,1,0,23,27,False
0,0,0,21,23,False
0,1,0,22,21,False
0,0,0,23,20,False
0,0,0,21,20,False
0,1,0,20,19,False
0,0,0,18,20,False
0,2,0,19,19,False
0,1,0,18,20,False
0,0,0,25,21,False
0,0,0,24,15,False
0,2,0,23,17,False
0,2,0,23,19,False
0,1,0,28,25,False
0,0,0,19,23,False
1,0,0,23,22,False
0,0,0,23,22,False
1,0,0,23,25,False
0,1,1,23,15,False
0,0,2,22,14,False
0,0,0,34,18,False
0,0,1,23,19,False
0,1,0,23,18,False
1,0,0,27,12,False
0,0,0,30,17,False
0,1,1,22,20,False
0,1,0,30,21,False
1,0,0,25,26,False
0,0,1,22,20,False
0,0,1,23,17,False
0,0,1,20,20,False
1,0,1,27,23,False
0,1,1,25,18,False
0,0,0,20,21,False
0,1,0,30,18,False
0,1,1,24,16,False
0,1,0,20,21,False
1,1,0,24,21,False
0,1,0,22,16,False
0,0,0,23,18,False
0,0,0,21,16,False
0,1,0,20,14,False
0,0,0,21,18,False
0,1,0,21,34,False
0,0,0,19,18,False
0,1,0,22,24,False
0,0,0,21,17,False
0,0,0,26,16,False
0,0,0,20,15,False
0,0,0,21,15,False
0,2,0,27,15,False
0,1,0,22,14,False
0,0,0,20,16,False
0,1,0,24,18,False
0,0,0,24,18,False
0,1,0,21,13,False
0,0,0,17,16,False
0,1,0,23,15,False
0,1,0,25,15,False
0,0,0,22,14,False
0,1,0,23,15,False
0,0,1,19,16,False
0,1,0,16,15,False
0,1,0,18,16,False
0,0,0,18,17,False
0,0,0,21,14,False
0,1,0,20,15,False
0,1,0,20,17,False
0,1,0,21,13,False
0,1,0,19,13,False
0,0,0,29,14,False
0,0,0,23,14,False
0,0,0,22,20,False
0,2,0,20,21,False
0,0,0,21,18,False
0,1,0,18,19,False
0,0,0,20,13,False
0,0,0,19,14,False
0,1,0,20,18,False
0,1,0,19,21,False
0,0,0,22,23,False
1,0,0,22,65,False
0,1,0,24,26,False
0,1,0,21,32,False
0,1,0,17,23,False
0,1,0,16,18,False
0,1,0,20,15,False
0,1,2,19,12,False
1,3,2,22,12,False
0,1,1,24,16,False
0,1,1,21,12,False
1,1,0,20,14,False
0,1,1,21,13,False
0,0,0,17,16,False
0,1,1,100,16,False
0,1,1,19,18,False
1,0,0,13,10,False
0,1,1,17,14,False
0,0,0,14,15,False
0,0,1,17,18,False
0,0,1,15,12,False
0,0,0,15,13,False
0,0,1,15,14,False
1,1,1,17,13,False
0,0,1,18,12,False
0,1,1,17,11,False
0,0,0,14,13,False
0,0,1,16,11,False
0,0,0,18,9,False
1,0,0,15,10,False
1,0,0,13,9,False
0,0,0,12,10,False
0,0,1,13,8,False
0,1,1,16,10,False
0,0,1,13,13,False
0,0,1,15,11,False
0,1,1,16,9,False
0,1,0,14,12,False
0,0,0,14,11,False
0,0,0,11,11,False
0,0,1,12,11,False
0,0,1,12,11,False
0,2,0,13,12,False
0,0,0,13,11,False
0,0,0,12,11,False
0,0,0,12,10,False
0,0,1,15,11,False
0,0,0,15,10,False
1,0,1,11,10,False
0,0,0,13,14,False
0,1,1,13,10,False
1,0,0,13,13,False
0,0,1,10,11,False
0,0,0,11,10,False
0,0,0,11,11,False
0,0,0,10,11,False
0,0,0,10,11,False
0,0,0,15,16,False
0,0,0,14,32,False
0,0,1,13,14,False
0,0,0,15,9,False
0,0,0,15,8,False
0,1,1,11,12,False
0,0,0,16,20,False
0,0,0,14,17,False
0,1,0,12,12,False
0,0,0,13,10,True
