Carina Morillo,Mehdi Ordikhani-Seyedlar,Anne Lamott,Richard Browning,Iraola,isPartial
0,0,65,14,28,False
0,0,42,14,37,False
0,0,74,17,17,False
0,0,76,0,31,False
0,0,65,12,27,False
0,0,42,11,35,False
0,0,30,12,28,False
0,0,30,0,39,False
0,0,72,15,31,False
0,0,35,21,21,False
0,0,21,21,14,False
0,0,39,10,33,False
0,0,46,17,26,False
0,0,42,9,23,False
0,0,98,11,18,False
0,0,48,14,17,False
0,0,76,20,17,False
0,0,57,11,15,False
0,0,31,12,15,False
0,0,44,7,15,False
0,0,49,13,29,False
0,0,58,12,31,False
0,0,48,9,27,False
0,0,39,6,23,False
0,0,47,8,16,False
6,0,39,8,20,False
0,0,51,10,38,False
0,0,85,9,19,False
0,0,51,5,25,False
0,0,33,5,26,False
0,0,50,8,29,False
0,0,49,5,24,False
0,0,42,0,20,False
0,0,42,9,20,False
0,0,41,8,21,False
0,0,39,4,32,False
0,0,35,3,23,False
0,0,44,10,30,False
0,0,54,7,34,False
0,0,66,5,21,False
0,0,37,3,22,False
0,0,39,5,28,False
0,0,31,4,16,False
0,0,37,6,21,False
0,0,47,5,30,False
0,0,36,6,27,False
0,0,28,4,16,False
0,0,38,3,26,False
0,0,37,8,22,False
0,0,32,5,27,False
2,0,31,5,26,False
0,0,34,8,32,False
0,0,26,4,29,False
0,0,29,8,18,False
0,0,28,8,21,False
0,0,27,4,34,False
0,0,34,6,33,False
0,0,27,5,29,False
0,0,35,7,28,False
0,0,22,6,27,False
0,0,24,5,28,False
0,0,22,5,29,False
0,0,20,6,23,False
2,0,31,3,29,False
0,0,16,4,28,False
0,0,27,4,23,False
0,0,27,5,25,False
0,0,30,4,26,False
0,0,27,2,37,False
0,0,31,4,32,False
0,0,33,5,32,False
1,0,22,4,32,False
0,0,30,4,35,False
0,0,34,3,23,False
0,0,32,2,25,False
0,0,53,2,26,False
0,0,33,4,26,False
0,0,21,2,27,False
0,0,31,1,18,False
0,0,25,3,23,False
0,0,25,3,33,False
0,0,23,5,33,False
1,0,22,2,41,False
0,0,17,3,29,False
0,0,26,2,26,False
0,0,24,4,31,False
1,0,19,3,39,False
0,0,30,5,29,False
0,0,23,3,31,False
1,0,22,3,28,False
0,0,25,3,24,False
0,0,31,4,34,False
0,0,21,3,32,False
0,0,21,3,25,False
0,0,15,2,27,False
2,0,16,3,23,False
0,0,22,3,24,False
0,0,28,2,25,False
0,0,50,1,55,False
0,0,41,3,27,False
0,0,30,4,39,False
0,0,32,2,26,False
1,0,30,3,24,False
0,0,33,2,24,False
0,0,37,2,25,False
0,0,28,2,25,False
0,0,60,3,20,False
1,0,45,2,24,False
0,0,35,2,25,False
0,0,31,2,25,False
0,0,33,4,21,False
0,0,42,4,25,False
0,0,31,2,21,False
0,0,23,2,22,False
0,0,28,2,23,False
1,0,28,3,23,False
0,0,27,2,25,False
0,0,52,3,24,False
0,0,50,2,24,False
0,0,31,3,24,False
0,0,33,3,24,False
0,0,29,2,23,False
0,0,24,3,26,False
0,0,32,2,18,False
0,0,30,3,21,False
0,0,26,2,19,False
0,0,30,2,20,False
0,0,42,3,29,False
0,0,31,2,30,False
0,0,27,3,26,False
0,0,47,2,26,False
0,0,39,2,19,False
0,0,40,2,22,False
0,0,41,2,25,False
0,0,32,4,31,False
0,0,49,2,36,False
0,0,34,2,100,False
0,0,41,2,40,False
0,0,36,1,48,False
0,0,26,2,33,False
0,0,25,1,27,False
0,0,22,3,22,False
0,0,24,2,20,False
0,0,22,2,22,False
0,0,22,2,24,False
0,0,23,2,18,False
0,0,18,2,21,False
0,0,22,1,20,False
0,0,18,2,26,False
0,0,26,1,24,False
0,0,23,2,27,False
0,0,22,1,16,False
0,0,22,2,22,False
0,0,20,3,22,False
0,0,21,1,27,False
0,0,18,2,20,False
0,0,25,1,17,False
0,0,21,1,19,False
0,0,28,2,18,False
0,0,42,19,17,False
0,0,25,6,19,False
0,1,40,7,18,False
1,1,30,8,17,False
0,1,25,4,15,False
0,1,27,5,14,False
0,0,20,4,14,False
0,0,20,19,15,False
0,1,17,4,11,False
0,1,23,4,16,False
0,0,21,4,18,False
0,0,19,4,17,False
0,0,28,2,12,False
0,0,23,5,16,False
0,0,22,3,17,False
0,0,22,11,15,False
0,0,22,5,16,False
0,0,26,5,17,False
0,0,37,5,19,False
0,0,37,4,15,False
0,0,27,4,15,False
0,0,27,5,15,False
0,0,23,2,18,False
0,0,22,7,15,False
0,0,37,6,16,False
0,0,21,6,19,False
0,0,21,7,15,False
0,0,21,4,19,False
0,0,19,14,19,False
0,0,21,4,15,False
0,0,18,3,16,False
0,0,19,13,17,False
0,0,17,6,15,False
0,0,23,6,25,False
0,0,18,4,46,False
0,0,19,3,20,False
0,0,60,3,13,False
0,0,49,4,13,False
0,0,26,2,16,False
0,0,25,3,28,False
0,0,23,5,26,False
0,1,26,10,19,False
0,0,19,7,16,True
