Will Marshall,Nancy Frates,Joe Landolina,Rosie King,Iraola,isPartial
22,0,0,15,15,False
36,0,0,14,44,False
18,0,0,0,18,False
28,0,0,14,42,False
24,0,0,0,30,False
24,0,0,0,42,False
38,0,0,13,25,False
41,0,0,12,58,False
11,0,0,11,32,False
16,0,0,11,11,False
16,0,0,16,11,False
25,0,0,10,36,False
13,0,0,18,22,False
19,0,0,9,23,False
16,0,0,20,12,False
22,0,0,0,18,False
8,0,0,8,23,False
8,0,0,8,16,False
16,0,0,20,20,False
15,0,0,8,8,False
21,0,0,14,28,False
13,0,0,7,39,False
20,0,0,16,39,False
26,0,0,6,22,False
20,0,0,6,14,False
12,0,0,9,20,False
15,0,0,5,40,False
13,0,0,0,19,False
5,0,0,10,32,False
8,0,0,10,21,False
5,0,0,5,28,False
24,0,0,7,21,False
9,0,0,7,18,False
16,0,0,6,16,False
14,0,0,14,24,False
6,0,0,25,39,False
18,0,0,18,29,False
23,0,0,13,38,False
18,0,0,10,35,False
21,0,0,10,17,False
9,0,0,15,24,False
14,0,0,8,25,False
14,0,0,5,12,False
16,0,0,7,23,False
14,0,0,10,28,False
13,0,0,8,33,False
11,0,0,5,17,False
9,0,0,8,29,False
28,0,0,6,22,False
20,0,0,6,30,False
18,0,0,11,23,False
27,0,0,4,36,False
21,0,0,7,26,False
14,0,0,8,18,False
20,0,0,7,22,False
22,0,0,9,41,False
16,0,0,10,35,False
16,0,0,6,33,False
18,0,0,6,31,False
19,0,0,8,31,False
20,0,0,5,29,False
23,0,0,6,30,False
23,0,0,6,29,False
25,0,0,12,31,False
21,0,0,8,32,False
28,0,0,6,23,False
15,0,0,4,27,False
26,2,0,6,29,False
19,0,0,9,39,False
18,0,0,8,36,False
17,0,0,6,33,False
24,0,0,10,33,False
26,0,0,10,39,False
23,0,0,8,24,False
23,0,0,9,21,False
24,0,0,6,28,False
27,0,0,8,30,False
12,0,0,6,28,False
23,0,0,8,18,False
16,0,0,6,26,False
21,0,0,9,31,False
20,0,0,4,32,False
19,0,0,10,41,False
24,1,1,3,31,False
20,0,0,8,26,False
19,0,0,4,31,False
20,0,0,4,36,False
15,0,0,6,28,False
20,0,0,6,33,False
17,0,0,8,28,False
20,0,0,9,25,False
26,0,0,9,33,False
23,0,0,7,32,False
21,0,0,9,25,False
13,0,0,9,28,False
22,0,0,4,25,False
23,0,0,9,22,False
18,0,0,9,27,False
42,0,1,7,52,False
21,0,0,9,28,False
20,0,0,15,37,False
21,0,0,8,26,False
15,0,0,7,24,False
20,0,0,8,23,False
22,0,0,8,23,False
18,0,0,5,23,False
23,0,0,8,21,False
22,0,0,7,24,False
20,0,1,7,28,False
21,0,0,4,29,False
22,0,4,6,20,False
20,0,1,8,24,False
19,1,1,7,23,False
23,0,0,9,24,False
17,0,1,8,22,False
19,0,1,6,23,False
22,0,0,4,24,False
25,0,1,6,24,False
27,0,0,7,25,False
27,0,0,9,26,False
26,0,1,7,22,False
20,0,1,6,24,False
18,0,1,11,27,False
24,0,1,9,20,False
23,0,0,6,20,False
15,0,0,8,21,False
14,0,1,7,22,False
20,1,1,7,30,False
27,1,1,9,33,False
22,1,0,8,28,False
33,3,8,14,29,False
24,2,3,9,19,False
22,0,1,11,22,False
23,1,2,10,27,False
19,1,0,10,33,False
21,0,1,8,36,False
18,0,0,8,100,False
15,0,2,6,40,False
16,0,1,5,49,False
15,1,5,8,35,False
22,0,6,6,28,False
16,1,2,8,23,False
20,0,1,8,19,False
21,0,1,9,19,False
19,1,0,9,24,False
21,0,1,10,19,False
21,0,0,8,22,False
18,0,1,8,20,False
19,0,1,8,24,False
20,0,0,8,25,False
22,0,1,8,27,False
21,0,0,6,16,False
27,1,0,8,22,False
18,0,0,10,24,False
20,0,0,6,29,False
15,1,0,7,19,False
20,0,4,7,19,False
21,0,1,8,21,False
27,0,0,9,21,False
22,0,0,7,19,False
19,0,0,8,17,False
16,0,1,7,19,False
16,0,1,6,17,False
20,1,0,6,14,False
18,1,0,6,15,False
16,0,0,10,14,False
20,0,0,6,15,False
17,0,0,7,12,False
14,0,0,9,16,False
17,0,0,9,20,False
19,1,0,10,17,False
18,0,1,6,14,False
17,1,1,8,18,False
14,0,1,5,16,False
19,0,0,11,17,False
15,0,0,8,17,False
22,0,0,6,17,False
18,0,0,6,19,False
21,0,0,5,16,False
24,0,0,6,17,False
15,0,0,6,15,False
20,1,0,6,17,False
17,0,0,6,15,False
17,0,0,7,15,False
15,0,0,6,21,False
12,0,0,8,15,False
12,0,0,5,19,False
12,0,0,5,18,False
16,0,0,5,16,False
16,1,0,6,16,False
21,0,1,7,17,False
16,1,0,7,17,False
13,0,0,7,25,False
21,0,0,6,50,False
65,0,0,8,21,False
30,0,0,5,13,False
29,0,0,7,12,False
25,0,0,4,18,False
21,0,0,8,31,False
16,0,0,5,26,False
21,0,0,10,19,False
22,0,0,4,16,True
