Laura Boushnak,Angelo Vermeulen,James A. White Sr.,Rob Knight,Iraola,isPartial
0,0,0,14,28,False
0,0,0,14,37,False
0,17,0,26,17,False
0,0,0,0,31,False
0,0,0,12,27,False
0,0,0,23,35,False
0,0,0,12,28,False
0,0,0,11,39,False
0,0,0,10,31,False
0,0,0,21,21,False
0,0,0,26,14,False
0,0,0,19,33,False
0,0,0,9,26,False
0,18,0,9,23,False
0,0,0,15,18,False
0,0,0,17,17,False
0,0,0,7,17,False
0,0,0,11,15,False
0,0,0,8,15,False
0,0,0,7,15,False
0,7,0,18,29,False
0,0,0,6,31,False
0,0,0,6,27,False
0,0,0,6,23,False
0,5,0,5,16,False
0,6,0,22,20,False
5,0,0,11,38,False
0,5,0,10,19,False
0,5,0,12,25,False
0,0,0,5,26,False
0,0,0,10,29,False
0,0,0,6,24,False
0,4,0,9,20,False
0,0,0,8,20,False
0,0,0,4,21,False
0,0,0,4,32,False
0,0,0,12,23,False
0,0,0,7,30,False
0,0,0,8,34,False
0,5,0,10,21,False
0,0,0,10,22,False
0,0,0,15,28,False
0,0,0,9,16,False
0,0,0,11,21,False
0,0,0,8,30,False
0,0,0,8,27,False
0,2,0,6,16,False
0,0,0,10,26,False
0,2,0,10,22,False
0,2,0,8,27,False
0,0,0,7,26,False
0,2,0,8,32,False
0,2,0,6,29,False
0,0,0,11,18,False
0,4,0,21,21,False
0,0,0,15,34,False
0,2,0,8,33,False
0,2,0,8,29,False
0,4,0,13,28,False
0,4,0,11,27,False
0,0,0,9,28,False
0,0,0,13,29,False
0,2,0,10,23,False
0,0,0,7,29,False
2,2,0,8,28,False
0,0,0,6,23,False
0,2,0,7,25,False
0,0,0,6,26,False
0,1,0,10,37,False
0,1,0,8,32,False
1,3,0,10,32,False
0,1,0,6,32,False
0,1,0,9,35,False
0,3,0,7,23,False
0,0,0,8,25,False
0,0,0,8,26,False
0,1,0,9,26,False
0,3,0,8,27,False
1,1,0,5,18,False
0,0,0,11,23,False
0,1,0,7,33,False
1,2,0,8,33,False
0,1,0,9,41,False
0,0,0,8,29,False
0,1,0,6,26,False
0,0,0,9,31,False
1,1,0,10,39,False
0,1,0,6,29,False
0,0,0,12,31,False
1,0,0,9,28,False
0,1,0,6,24,False
0,0,0,8,34,False
0,0,0,8,32,False
0,1,0,8,25,False
0,1,0,13,27,False
1,1,0,9,23,False
0,0,0,9,24,False
0,1,0,5,25,False
1,1,0,10,55,False
0,1,0,6,27,False
0,0,0,9,39,False
0,1,0,10,26,False
0,2,0,22,24,False
0,1,0,14,24,False
0,1,0,12,25,False
1,1,0,8,25,False
0,1,0,6,20,False
0,1,0,8,24,False
0,1,0,9,25,False
0,1,0,6,25,False
0,1,0,9,21,False
1,1,0,5,25,False
0,1,0,9,21,False
1,1,0,9,22,False
1,1,0,8,23,False
2,1,0,6,23,False
1,0,0,7,25,False
0,0,0,7,24,False
0,1,0,8,24,False
0,0,0,5,24,False
0,0,0,8,24,False
0,1,0,7,23,False
0,0,0,7,26,False
0,0,0,10,18,False
0,0,0,7,21,False
1,0,0,7,19,False
0,1,0,8,20,False
0,0,0,10,29,False
1,1,0,7,30,False
0,0,0,9,26,False
1,1,0,6,26,False
0,1,0,5,19,False
0,0,0,9,22,False
1,1,0,12,25,False
1,1,0,10,31,False
1,1,0,10,36,False
1,1,0,9,100,False
0,0,0,10,40,False
0,0,0,9,48,False
0,0,0,9,33,False
0,1,0,9,27,False
1,0,0,8,22,False
1,1,0,8,20,False
0,0,0,8,22,False
0,0,0,9,24,False
0,1,0,9,18,False
0,0,0,8,21,False
0,0,0,7,20,False
1,0,0,7,26,False
0,0,0,8,24,False
0,1,0,11,27,False
1,0,0,8,16,False
1,0,0,9,22,False
1,0,0,7,22,False
0,0,0,6,27,False
0,0,0,6,20,False
0,0,0,7,17,False
0,1,0,8,19,False
0,1,0,8,18,False
1,0,0,7,17,False
0,0,0,7,19,False
0,0,0,8,18,False
0,0,0,10,17,False
0,0,0,6,15,False
0,0,0,6,14,False
0,0,0,7,14,False
0,0,0,5,15,False
0,1,0,6,11,False
1,0,0,6,16,False
0,1,0,6,18,False
0,1,0,5,17,False
0,1,0,6,12,False
0,0,0,7,16,False
0,0,0,4,17,False
0,0,0,5,15,False
0,0,0,6,16,False
0,0,0,3,17,False
0,1,0,5,19,False
0,0,0,5,15,False
0,0,0,6,15,False
0,0,0,6,15,False
0,0,0,8,18,False
0,0,0,5,15,False
0,1,0,6,16,False
1,1,0,6,19,False
0,0,0,6,15,False
0,0,0,4,19,False
0,0,0,5,19,False
1,0,0,6,15,False
0,0,0,5,16,False
1,0,0,6,17,False
0,0,0,4,15,False
0,0,0,7,25,False
0,0,0,5,46,False
0,0,0,4,20,False
0,0,0,5,13,False
0,0,0,5,13,False
1,0,0,4,16,False
0,0,0,6,28,False
0,0,0,5,26,False
0,0,0,5,19,False
0,0,0,5,16,True
