Ricardo Semler,Kenneth Shinozuka,Guy Winch,Nadine Burke Harris,Iraola,isPartial
14,0,0,0,28,False
23,0,0,0,37,False
97,0,0,0,17,False
22,0,0,0,31,False
58,0,0,0,27,False
35,0,0,0,35,False
28,0,0,0,28,False
52,0,0,0,39,False
52,0,0,0,31,False
39,0,11,0,21,False
14,0,0,0,14,False
15,0,10,0,33,False
0,0,0,0,26,False
27,0,0,0,23,False
19,0,8,0,18,False
28,0,0,0,17,False
20,0,0,0,17,False
23,0,0,0,15,False
18,0,8,0,15,False
10,0,0,0,15,False
31,0,0,0,29,False
13,0,0,0,31,False
19,0,6,0,27,False
23,0,6,0,23,False
11,0,5,0,16,False
17,0,0,0,20,False
14,0,0,0,38,False
22,0,0,0,19,False
20,0,0,0,25,False
17,0,5,0,26,False
15,0,0,0,29,False
21,0,0,0,24,False
37,0,0,0,20,False
31,0,0,0,20,False
23,0,0,0,21,False
17,0,0,0,32,False
19,0,0,0,23,False
31,0,0,0,30,False
54,0,0,0,34,False
22,0,0,0,21,False
17,0,0,0,22,False
21,0,0,0,28,False
14,0,0,0,16,False
18,0,0,0,21,False
20,0,0,0,30,False
20,0,0,0,27,False
23,0,0,0,16,False
12,0,8,0,26,False
13,0,3,0,22,False
12,0,2,0,27,False
14,0,0,0,26,False
12,0,0,0,32,False
12,0,2,0,29,False
20,0,0,0,18,False
10,0,2,0,21,False
14,0,2,0,34,False
17,0,2,0,33,False
16,0,0,0,29,False
9,0,0,0,28,False
9,0,0,0,27,False
10,0,2,2,28,False
8,0,2,0,29,False
13,0,0,0,23,False
11,0,3,0,29,False
13,0,0,0,28,False
12,0,0,0,23,False
6,0,0,0,25,False
11,0,2,0,26,False
12,0,1,0,37,False
14,0,0,0,32,False
11,0,0,0,32,False
6,0,1,0,32,False
8,0,0,0,35,False
9,0,1,0,23,False
9,0,1,0,25,False
11,0,1,0,26,False
15,0,1,0,26,False
10,0,0,0,27,False
7,0,0,0,18,False
9,0,1,0,23,False
10,0,1,0,33,False
13,0,1,0,33,False
8,0,1,0,41,False
8,0,2,0,29,False
5,0,1,0,26,False
10,0,1,0,31,False
10,0,1,0,39,False
11,0,1,0,29,False
9,0,1,0,31,False
7,0,1,0,28,False
6,0,1,1,24,False
7,0,1,0,34,False
8,0,1,0,32,False
13,0,0,2,25,False
10,0,1,0,27,False
7,0,1,0,23,False
7,0,1,1,24,False
6,0,1,1,25,False
10,0,2,0,55,False
8,0,2,1,27,False
8,0,1,0,39,False
9,0,1,0,26,False
5,0,1,0,24,False
5,0,0,0,24,False
9,0,1,1,25,False
10,0,1,1,25,False
7,0,1,1,20,False
6,0,2,1,24,False
7,0,1,1,25,False
38,0,0,1,25,False
15,0,1,1,21,False
13,0,1,1,25,False
14,0,1,1,21,False
9,0,1,1,22,False
8,0,1,1,23,False
6,0,3,1,23,False
6,0,2,1,25,False
6,0,1,1,24,False
11,0,2,1,24,False
8,0,1,1,24,False
9,0,0,1,24,False
8,0,1,1,23,False
7,0,1,1,26,False
9,0,1,0,18,False
8,0,1,1,21,False
13,0,2,1,19,False
10,0,1,1,20,False
11,1,1,1,29,False
9,2,1,1,30,False
10,1,1,1,26,False
35,1,1,1,26,False
11,1,2,1,19,False
8,0,2,1,22,False
91,5,15,6,25,False
43,1,10,4,31,False
18,1,7,4,36,False
29,1,5,3,100,False
18,2,4,3,40,False
14,0,7,2,48,False
15,0,5,3,33,False
10,1,4,1,27,False
13,1,7,4,22,False
14,1,10,3,20,False
12,4,6,1,22,False
7,1,6,2,24,False
9,1,7,4,18,False
11,1,3,2,21,False
7,1,4,2,20,False
7,0,5,3,26,False
9,0,3,2,24,False
7,0,3,1,27,False
7,0,4,1,16,False
6,0,4,2,22,False
10,0,5,4,22,False
9,1,4,3,27,False
8,0,6,4,20,False
9,0,5,2,17,False
10,1,4,3,19,False
17,0,5,4,18,False
9,1,6,4,17,False
8,0,4,3,19,False
9,0,4,3,18,False
7,0,2,3,17,False
5,0,3,5,15,False
5,1,4,4,14,False
10,0,5,6,14,False
8,0,3,6,15,False
6,1,4,3,11,False
6,0,3,9,16,False
7,0,14,13,18,False
6,1,11,8,17,False
7,0,8,8,12,False
5,0,8,7,16,False
5,0,6,6,17,False
5,0,7,5,15,False
6,1,5,5,16,False
5,0,5,5,17,False
25,0,6,9,19,False
7,1,7,6,15,False
6,1,7,5,15,False
4,0,8,13,15,False
6,1,14,11,18,False
6,1,9,9,15,False
5,1,8,9,16,False
6,0,7,7,19,False
6,0,5,7,15,False
4,0,6,7,19,False
4,0,7,8,19,False
4,0,5,9,15,False
6,1,8,30,16,False
4,1,7,13,17,False
4,0,7,8,15,False
4,1,7,10,25,False
3,1,7,9,46,False
3,0,7,8,20,False
5,0,10,11,13,False
4,0,8,8,13,False
4,0,6,9,16,False
2,0,6,6,28,False
2,1,7,6,26,False
3,0,7,8,19,False
4,0,7,4,16,True
