Gero Miesenboeck,Andrew Bird,Emily Pilloton,Stefan Wolff,Iraola,isPartial
0,9,0,2,4,False
0,9,0,2,6,False
0,7,0,0,3,False
0,14,0,2,5,False
0,9,0,2,4,False
0,12,0,2,5,False
0,5,0,3,4,False
0,5,0,0,6,False
0,11,0,3,5,False
0,7,0,2,3,False
0,8,0,0,2,False
0,6,0,1,5,False
0,10,0,7,4,False
1,23,0,0,3,False
0,29,0,2,3,False
0,35,0,1,3,False
0,34,0,2,3,False
0,24,0,1,2,False
0,24,0,1,2,False
0,26,0,1,2,False
0,30,0,0,4,False
0,34,0,1,5,False
0,45,0,2,4,False
0,38,0,1,3,False
0,36,0,1,2,False
0,42,0,1,3,False
0,30,1,1,6,False
0,27,0,0,3,False
0,19,1,1,4,False
0,22,1,1,4,False
0,29,0,1,4,False
0,27,0,1,4,False
0,33,0,1,3,False
1,24,0,1,3,False
1,25,0,1,3,False
0,22,0,1,5,False
0,30,0,1,3,False
1,41,1,1,5,False
0,52,0,1,5,False
1,62,0,1,3,False
0,53,0,1,3,False
0,39,0,1,4,False
0,39,0,1,2,False
0,32,0,1,3,False
0,47,0,0,5,False
0,39,0,1,4,False
0,40,0,1,2,False
0,37,0,0,4,False
0,35,0,1,3,False
0,27,0,1,4,False
0,29,0,0,4,False
0,26,0,0,5,False
0,27,0,0,4,False
0,28,0,1,3,False
0,26,0,0,3,False
0,30,0,0,5,False
0,34,0,0,5,False
0,29,0,0,4,False
0,33,0,0,4,False
0,43,0,0,4,False
0,100,0,0,4,False
0,93,0,0,4,False
0,61,0,1,3,False
0,64,0,1,4,False
0,51,0,0,4,False
0,42,0,0,3,False
0,48,0,1,4,False
0,42,0,0,4,False
0,42,0,1,6,False
0,51,0,0,5,False
0,41,0,0,5,False
0,41,0,0,5,False
0,35,3,1,5,False
0,33,1,0,3,False
0,26,0,1,4,False
0,25,0,0,4,False
0,24,1,1,4,False
0,22,0,1,4,False
0,24,0,0,3,False
0,25,0,0,3,False
0,25,0,0,5,False
0,26,0,0,5,False
1,27,2,1,6,False
0,31,0,0,4,False
0,27,0,0,4,False
0,24,0,0,5,False
0,22,1,0,6,False
0,20,0,0,4,False
0,21,0,0,5,False
0,26,0,1,4,False
0,20,0,0,4,False
0,22,0,0,5,False
0,20,0,0,5,False
0,28,0,0,4,False
0,21,0,0,4,False
0,29,0,0,3,False
0,27,0,1,4,False
0,31,0,0,4,False
0,65,0,0,8,False
0,40,0,0,4,False
0,31,0,0,6,False
0,23,0,0,4,False
0,26,0,0,4,False
0,22,0,0,4,False
0,20,0,0,4,False
0,26,0,0,4,False
0,28,0,0,3,False
0,25,0,0,4,False
0,21,0,0,4,False
0,21,0,0,4,False
0,18,0,0,3,False
0,13,0,0,4,False
0,13,0,0,3,False
0,11,0,0,3,False
0,12,0,0,3,False
0,12,0,0,3,False
0,12,0,0,4,False
0,13,0,0,4,False
0,18,0,0,4,False
0,16,0,0,4,False
0,12,0,0,4,False
0,13,0,0,4,False
0,10,0,0,4,False
0,11,0,0,3,False
0,12,0,0,3,False
0,19,0,0,3,False
0,17,0,0,3,False
0,12,0,0,4,False
0,11,0,0,5,False
0,8,0,0,4,False
0,9,0,0,4,False
0,9,0,0,3,False
0,9,0,0,3,False
0,9,0,0,4,False
0,9,0,0,5,False
0,8,0,0,5,False
0,8,0,0,15,False
0,8,0,0,6,False
0,8,0,0,7,False
0,7,0,0,5,False
0,7,0,0,4,False
0,7,0,0,3,False
0,7,0,0,3,False
0,11,0,0,3,False
0,8,0,1,4,False
0,16,0,0,3,False
0,20,0,0,3,False
0,26,0,0,3,False
0,17,0,0,4,False
0,11,0,0,4,False
0,9,0,0,4,False
0,10,0,0,2,False
0,13,0,0,3,False
0,13,0,0,3,False
0,10,0,0,4,False
0,11,0,0,3,False
0,12,0,0,3,False
0,10,0,0,3,False
0,8,0,0,3,False
0,8,0,0,3,False
0,7,0,0,3,False
0,8,0,0,3,False
0,10,0,0,2,False
0,7,0,0,2,False
0,6,0,0,2,False
0,8,0,0,2,False
0,6,0,0,2,False
0,7,0,0,2,False
0,6,0,0,2,False
0,8,0,0,3,False
0,6,0,0,3,False
0,6,0,0,2,False
0,6,0,0,2,False
0,5,0,0,3,False
0,4,0,0,2,False
0,6,0,0,2,False
0,6,0,0,3,False
0,6,0,0,3,False
0,6,0,0,2,False
0,6,0,0,2,False
0,6,0,0,2,False
0,9,0,0,3,False
0,14,0,0,2,False
0,11,0,0,2,False
0,8,0,0,3,False
0,9,0,0,2,False
0,9,0,0,3,False
0,8,0,0,3,False
0,10,0,0,2,False
0,8,0,0,2,False
0,7,0,0,3,False
0,8,0,0,2,False
0,6,0,0,4,False
0,7,0,0,7,False
0,6,0,0,3,False
0,9,0,0,2,False
0,6,0,0,2,False
0,5,0,0,2,False
0,5,0,0,4,False
0,5,0,0,4,False
0,5,0,0,3,False
0,7,0,0,2,True
