Emma Teeling,Adam Garone,Faith Jegede Cole,Matt Killingsworth,Iraola,isPartial
0,0,0,0,47,False
0,0,0,0,26,False
0,0,0,0,19,False
0,0,0,0,30,False
0,0,0,0,22,False
0,0,0,0,26,False
0,0,0,0,36,False
0,0,0,0,38,False
0,0,0,0,31,False
0,0,0,0,40,False
0,0,0,0,32,False
0,0,0,0,33,False
19,0,0,0,26,False
0,0,0,0,24,False
0,0,0,0,28,False
0,0,0,0,45,False
0,0,0,0,20,False
0,0,0,0,31,False
0,0,0,0,29,False
0,0,0,0,19,False
7,0,0,0,30,False
0,0,0,0,26,False
0,0,0,0,35,False
0,0,0,0,19,False
0,0,0,6,14,False
6,0,0,0,31,False
5,0,0,5,38,False
0,0,0,0,27,False
0,0,0,0,37,False
0,0,0,0,34,False
0,0,0,0,37,False
0,0,0,0,26,False
0,0,0,0,26,False
0,0,0,0,24,False
0,0,0,0,17,False
5,0,0,5,32,False
4,0,0,0,30,False
0,0,0,0,39,False
4,0,0,0,34,False
4,0,0,0,20,False
0,0,0,3,17,False
3,0,0,0,25,False
0,0,0,0,28,False
0,0,0,0,27,False
3,0,0,0,35,False
0,0,0,0,24,False
0,0,0,0,23,False
0,0,0,0,31,False
0,0,0,2,24,False
0,0,0,3,26,False
0,0,0,0,31,False
0,0,0,2,29,False
0,0,0,0,34,False
2,0,0,0,29,False
0,0,0,5,20,False
2,0,0,0,33,False
0,0,0,0,37,False
0,4,0,0,36,False
2,2,0,0,35,False
0,0,0,0,38,False
2,0,0,0,37,False
0,2,0,0,37,False
2,0,0,0,26,False
0,0,0,0,29,False
2,0,0,2,29,False
2,0,0,0,36,False
0,0,0,2,25,False
2,0,0,0,28,False
0,2,0,2,38,False
0,0,0,0,36,False
2,2,0,2,37,False
0,0,0,0,31,False
0,0,0,1,43,False
0,0,0,3,29,False
0,0,0,0,25,False
0,0,0,0,28,False
0,0,0,0,27,False
0,0,0,0,31,False
0,0,0,0,29,False
0,0,0,0,29,False
1,0,0,0,37,False
0,1,0,1,31,False
0,2,0,2,46,False
0,0,0,0,36,False
1,0,0,0,30,False
0,0,0,1,37,False
1,1,0,0,48,False
1,0,0,0,30,False
0,1,0,1,41,False
1,0,0,0,38,False
0,0,0,0,28,False
1,0,0,0,51,False
0,1,0,0,33,False
0,2,0,0,30,False
0,3,0,0,30,False
0,1,0,1,25,False
1,0,0,0,30,False
0,0,0,0,30,False
0,2,0,1,58,False
1,0,0,1,32,False
0,1,0,0,42,False
0,1,0,1,31,False
1,0,0,0,24,False
0,0,0,0,28,False
1,0,0,0,34,False
0,1,0,1,26,False
1,4,0,3,23,False
0,2,0,1,29,False
1,1,0,2,27,False
1,1,0,1,26,False
1,1,0,1,24,False
1,1,0,1,25,False
1,0,0,1,23,False
1,2,0,1,23,False
1,1,0,1,27,False
2,0,0,1,26,False
2,1,0,1,26,False
1,1,0,1,26,False
1,2,0,1,26,False
1,1,0,1,23,False
1,1,0,1,26,False
1,1,0,2,27,False
1,1,0,1,30,False
0,1,0,1,20,False
1,1,0,2,22,False
1,1,0,1,22,False
1,1,0,1,26,False
0,1,0,2,35,False
0,1,0,1,36,False
1,1,0,1,27,False
0,1,0,1,29,False
1,1,0,1,22,False
1,1,0,1,26,False
1,0,0,1,27,False
1,1,0,1,41,False
1,1,0,1,45,False
1,1,0,1,100,False
0,1,0,1,45,False
1,1,0,1,52,False
0,0,0,1,37,False
0,1,0,1,31,False
0,0,0,2,23,False
0,1,0,1,27,False
0,0,0,0,25,False
1,1,0,1,28,False
0,0,0,1,21,False
1,0,0,1,25,False
1,1,0,1,22,False
1,1,0,1,34,False
1,1,0,1,29,False
0,1,0,1,30,False
0,1,0,0,19,False
0,1,0,1,25,False
0,1,0,1,26,False
1,1,0,1,30,False
0,1,0,1,23,False
0,0,0,1,17,False
0,1,0,2,21,False
0,0,0,1,21,False
0,0,0,1,21,False
0,0,0,1,26,False
0,0,0,0,19,False
0,0,0,1,20,False
0,0,0,1,18,False
0,0,0,1,16,False
1,0,0,0,19,False
0,1,0,1,16,False
0,0,0,1,15,False
0,0,0,1,19,False
1,0,0,0,17,False
1,0,0,1,18,False
0,0,0,1,16,False
1,1,0,1,17,False
0,0,0,0,16,False
0,0,0,0,16,False
1,0,0,0,20,False
1,0,0,0,22,False
0,1,0,0,22,False
1,1,0,0,19,False
0,0,0,1,20,False
0,0,0,1,15,False
0,1,0,0,20,False
0,0,0,1,16,False
0,0,0,1,20,False
0,0,0,0,21,False
1,0,0,0,17,False
0,1,0,1,20,False
0,0,0,1,19,False
0,0,0,0,18,False
0,0,0,1,17,False
0,0,0,0,17,False
0,0,0,1,18,False
1,0,0,1,28,False
1,0,0,1,56,False
0,0,0,1,25,False
1,0,0,1,18,False
0,0,0,0,15,False
1,0,0,0,18,False
0,0,0,0,36,False
0,0,0,1,27,False
1,0,0,1,22,False
0,0,0,0,19,True
