Jason McCue,Thomas P. Campbell,Tim Leberecht,Ruby Wax,Iraola,isPartial
0,0,0,25,28,False
0,0,0,33,15,False
0,0,0,23,11,False
0,0,0,13,18,False
7,0,0,23,13,False
0,8,0,25,15,False
0,0,0,18,21,False
7,7,7,17,22,False
0,0,0,17,18,False
7,0,0,21,23,False
0,0,0,14,19,False
0,6,0,21,19,False
0,0,6,24,15,False
0,0,0,18,14,False
0,0,0,30,17,False
0,0,0,17,26,False
5,5,0,6,11,False
0,0,0,11,18,False
5,0,0,30,17,False
5,5,0,11,11,False
0,0,0,9,18,False
4,0,4,22,15,False
0,0,0,12,20,False
0,0,0,15,11,False
4,0,4,18,8,False
4,0,0,18,18,False
0,3,0,12,22,False
0,0,0,7,16,False
3,0,0,7,22,False
0,0,3,11,19,False
3,0,0,7,21,False
3,0,0,6,15,False
0,0,0,16,15,False
3,0,0,29,14,False
4,0,3,12,10,False
0,0,0,14,18,False
0,0,0,10,17,False
0,2,0,12,22,False
2,0,0,4,20,False
2,0,0,12,12,False
2,0,0,11,10,False
2,0,0,14,14,False
2,2,0,8,16,False
2,0,0,9,16,False
2,0,0,15,20,False
0,2,0,7,14,False
3,2,0,7,13,False
0,0,0,11,18,False
1,0,0,7,14,False
0,2,0,12,15,False
0,0,0,9,18,False
0,0,1,10,17,False
0,0,0,7,20,False
1,0,0,6,17,False
0,0,0,12,12,False
1,1,0,11,19,False
1,3,1,10,21,False
2,1,0,12,21,False
1,1,0,13,20,False
1,1,0,9,22,False
2,0,0,13,22,False
0,0,0,7,21,False
0,1,0,38,15,False
0,0,0,47,17,False
1,1,1,34,17,False
0,2,0,20,21,False
1,1,0,10,15,False
1,0,0,8,16,False
2,0,1,8,22,False
1,0,0,10,21,False
0,1,0,15,22,False
1,0,0,11,18,False
0,0,0,10,25,False
1,0,0,9,17,False
0,1,0,12,14,False
0,0,1,16,16,False
1,0,0,19,15,False
0,0,0,9,18,False
0,2,0,6,17,False
1,1,0,15,17,False
1,0,1,9,21,False
1,1,1,18,18,False
1,0,0,14,27,False
0,1,0,10,21,False
1,1,0,17,17,False
1,0,1,32,22,False
2,1,0,17,28,False
1,1,0,11,17,False
1,1,1,16,24,False
1,1,1,18,22,False
1,1,0,14,16,False
1,0,1,24,29,False
0,0,1,22,19,False
1,0,0,10,17,False
1,0,1,13,17,False
1,0,1,16,14,False
1,0,1,14,17,False
1,0,0,9,17,False
0,1,0,12,34,False
1,0,0,13,19,False
0,0,0,9,25,False
1,0,1,12,18,False
0,0,1,49,14,False
0,0,0,35,16,False
1,0,0,16,20,False
1,1,1,17,15,False
1,0,0,23,13,False
2,0,0,10,17,False
1,1,0,10,16,False
0,0,1,9,15,False
1,0,1,21,14,False
1,0,0,19,14,False
1,0,0,21,13,False
1,0,0,24,13,False
1,0,0,15,16,False
1,0,0,23,15,False
1,0,0,14,15,False
1,0,0,29,15,False
1,0,0,29,15,False
1,0,0,16,13,False
1,1,0,22,15,False
0,0,0,24,15,False
0,1,0,43,18,False
2,1,0,20,12,False
0,0,0,23,13,False
0,0,0,13,13,False
0,0,0,14,15,False
1,0,0,13,20,False
1,0,1,24,21,False
0,0,0,17,16,False
0,0,0,12,17,False
0,0,0,16,13,False
1,0,1,12,15,False
1,0,0,23,16,False
0,0,0,20,24,False
0,0,0,18,26,False
0,0,0,13,58,False
0,0,0,15,26,False
0,0,1,11,30,False
0,0,1,12,22,False
1,0,1,10,18,False
0,0,0,14,13,False
0,0,0,17,16,False
1,0,0,12,15,False
0,1,1,43,16,False
0,0,1,25,12,False
1,0,1,16,14,False
0,0,1,25,13,False
0,1,0,16,20,False
0,0,1,11,17,False
0,0,0,11,17,False
1,0,1,9,11,False
0,0,0,9,14,False
0,0,0,10,15,False
0,0,1,12,18,False
0,0,1,12,14,False
0,0,1,33,10,False
1,0,1,22,12,False
1,1,1,31,12,False
1,1,0,11,12,False
0,0,1,19,15,False
1,0,0,12,11,False
1,0,0,12,11,False
1,0,1,14,11,False
0,0,1,21,9,False
0,1,1,100,11,False
0,0,0,14,9,False
0,0,1,12,9,False
1,0,1,28,11,False
0,0,0,25,10,False
1,0,1,14,11,False
1,0,1,19,9,False
0,0,1,13,10,False
0,0,1,10,9,False
1,0,0,11,9,False
1,0,0,12,11,False
0,0,0,9,13,False
0,0,1,15,13,False
1,0,1,10,11,False
0,0,0,16,11,False
0,0,0,32,9,False
0,0,0,13,12,False
0,0,0,14,9,False
0,1,0,18,11,False
0,0,0,24,12,False
0,0,0,14,10,False
0,0,0,8,12,False
0,0,0,23,11,False
1,0,0,10,11,False
0,0,0,14,10,False
1,0,0,12,10,False
0,0,0,8,10,False
0,0,0,8,17,False
0,0,0,9,32,False
0,0,0,8,14,False
0,0,0,14,10,False
0,0,0,10,9,False
0,0,0,9,10,False
0,0,0,11,21,False
0,0,0,8,16,False
0,0,0,16,12,False
0,0,1,15,11,True
