David Keith,Robert Full,Ron Eglash,Philippe Starck,Iraola,isPartial
48,26,0,89,7,False
58,16,5,85,13,False
55,17,0,85,8,False
79,12,0,81,9,False
45,15,0,88,9,False
57,15,0,81,7,False
62,9,0,93,8,False
56,10,0,78,14,False
56,15,0,96,8,False
63,17,0,82,7,False
53,10,3,81,3,False
59,17,0,84,5,False
61,15,3,82,6,False
68,12,0,89,9,False
52,14,2,62,7,False
53,12,0,91,8,False
53,10,0,75,6,False
42,14,2,69,8,False
47,7,2,53,7,False
59,12,0,55,5,False
55,7,0,67,9,False
61,10,0,67,8,False
51,12,0,51,6,False
51,8,2,55,8,False
68,14,0,72,5,False
52,11,2,60,6,False
41,7,2,57,10,False
42,10,2,51,6,False
56,8,0,57,10,False
48,5,0,48,10,False
61,8,2,43,10,False
42,12,0,49,6,False
51,8,1,55,7,False
43,14,0,60,6,False
47,8,1,54,7,False
39,8,0,47,7,False
40,8,0,55,6,False
43,9,1,51,7,False
40,6,0,48,8,False
46,8,1,53,7,False
47,8,1,49,9,False
47,12,0,35,7,False
52,7,1,40,8,False
40,9,1,46,7,False
61,10,1,43,9,False
49,11,0,43,6,False
43,9,1,47,8,False
47,10,3,50,8,False
48,9,2,47,7,False
40,11,1,44,6,False
39,12,1,43,8,False
44,9,1,44,8,False
40,8,0,47,9,False
38,13,1,39,6,False
42,9,0,42,5,False
42,10,1,46,10,False
51,11,1,42,10,False
44,13,1,40,9,False
44,19,0,38,10,False
40,23,1,41,9,False
42,21,1,42,8,False
44,19,1,39,8,False
45,21,1,39,8,False
42,24,1,36,10,False
39,19,0,39,9,False
93,21,1,33,9,False
40,20,1,34,9,False
41,19,0,32,10,False
42,20,1,50,12,False
47,19,1,53,9,False
50,28,0,48,11,False
59,23,0,45,10,False
49,21,0,48,10,False
45,20,1,49,7,False
47,25,1,44,9,False
44,20,1,46,8,False
44,23,1,48,7,False
39,20,1,47,9,False
37,20,1,43,6,False
39,18,1,39,7,False
39,13,0,41,8,False
37,13,1,50,10,False
40,14,0,47,13,False
37,17,0,41,11,False
50,15,0,45,9,False
39,16,1,40,13,False
37,17,0,39,12,False
35,16,0,35,10,False
37,16,1,36,11,False
35,14,1,34,10,False
37,15,0,32,8,False
40,13,0,32,11,False
37,17,0,36,11,False
37,13,0,38,9,False
38,13,1,43,8,False
29,17,0,40,7,False
34,16,0,46,8,False
38,14,0,42,10,False
35,14,0,39,15,False
44,16,0,63,9,False
34,18,0,42,15,False
30,16,0,36,7,False
36,18,0,37,7,False
35,22,0,38,8,False
34,19,1,44,8,False
32,19,0,45,7,False
32,22,0,46,8,False
31,20,0,57,8,False
37,21,0,40,7,False
34,20,1,43,7,False
44,19,0,39,6,False
31,21,0,38,7,False
32,28,0,39,7,False
44,20,0,38,7,False
35,19,1,28,7,False
72,21,0,31,8,False
54,21,0,39,8,False
36,20,0,37,7,False
32,22,0,36,8,False
34,22,0,34,7,False
39,24,0,33,7,False
36,22,0,41,8,False
34,24,0,31,8,False
34,22,0,31,7,False
32,26,0,32,8,False
34,21,0,25,7,False
35,20,0,26,8,False
37,24,0,27,10,False
34,24,0,30,11,False
41,19,0,32,8,False
36,21,0,29,8,False
34,20,0,27,7,False
42,21,0,25,7,False
38,20,0,26,8,False
38,22,0,28,10,False
35,25,0,27,13,False
34,22,0,28,29,False
35,21,0,26,13,False
33,20,0,21,14,False
39,22,0,22,11,False
36,22,0,29,8,False
33,22,0,26,7,False
32,22,0,26,7,False
29,22,0,22,7,False
41,27,0,24,7,False
31,24,0,24,5,False
31,25,0,23,7,False
33,24,0,23,6,False
30,23,0,24,8,False
32,21,0,23,8,False
33,22,0,21,8,False
30,19,0,18,6,False
31,21,0,25,6,False
30,21,0,29,8,False
32,22,0,23,9,False
28,20,0,24,8,False
30,23,0,20,5,False
35,23,0,23,6,False
41,21,0,22,5,False
33,22,0,22,5,False
31,20,0,23,6,False
28,17,0,22,5,False
29,25,0,23,5,False
29,21,0,23,5,False
32,20,0,26,5,False
38,19,0,23,5,False
30,21,0,22,5,False
29,21,0,19,3,False
29,18,0,19,5,False
29,18,0,18,5,False
29,20,0,20,5,False
28,19,0,19,4,False
26,20,0,18,6,False
31,23,0,20,5,False
25,19,0,18,5,False
29,17,0,19,6,False
28,18,0,19,6,False
31,16,0,19,6,False
28,18,0,17,6,False
27,23,0,16,6,False
39,21,0,17,5,False
29,20,0,16,5,False
31,18,0,18,5,False
24,21,0,19,5,False
24,21,0,17,5,False
38,17,0,17,5,False
31,18,0,17,7,False
27,17,0,16,6,False
25,16,0,100,6,False
26,30,0,16,5,False
26,17,0,15,5,False
26,16,0,15,5,False
27,18,0,15,8,False
28,18,0,14,15,False
39,17,0,13,6,False
37,21,0,15,5,False
37,21,0,16,5,False
45,17,0,14,4,False
35,19,0,15,10,False
49,17,0,14,8,False
32,17,0,15,6,False
33,18,0,13,5,True
