Thomas Piketty,Meaghan Ramsey,Pia Mancini,Dilip Ratha,Iraola,isPartial
4,0,0,0,8,False
4,0,0,0,11,False
5,0,0,0,5,False
4,0,0,0,9,False
7,0,0,0,8,False
4,0,0,0,10,False
0,0,0,4,8,False
0,3,0,3,11,False
6,0,0,0,9,False
5,0,0,3,6,False
3,0,0,3,4,False
3,0,0,0,10,False
3,0,0,0,8,False
5,0,0,0,7,False
2,0,0,2,5,False
5,0,0,2,5,False
3,0,0,0,5,False
3,0,0,0,4,False
2,0,2,0,4,False
3,0,0,2,4,False
2,0,0,0,8,False
0,0,0,0,9,False
2,0,0,2,8,False
4,0,0,2,7,False
3,0,0,2,5,False
2,0,0,2,6,False
4,0,0,0,11,False
1,1,0,0,6,False
4,0,1,0,7,False
2,0,0,1,8,False
6,0,0,0,9,False
3,0,0,0,7,False
2,0,0,1,6,False
1,0,0,0,6,False
0,0,0,1,6,False
2,0,0,1,9,False
1,0,0,0,7,False
4,0,0,1,9,False
4,0,0,0,10,False
6,1,0,1,6,False
6,0,0,1,6,False
2,0,0,1,8,False
2,0,0,0,5,False
1,0,0,2,6,False
2,0,0,0,9,False
1,0,1,0,8,False
1,0,0,0,5,False
1,0,1,1,8,False
0,0,0,1,7,False
2,0,0,1,8,False
1,0,1,3,8,False
1,1,0,1,9,False
1,0,0,1,9,False
1,0,0,0,5,False
1,0,0,1,6,False
1,0,1,1,10,False
1,0,0,1,10,False
1,1,0,0,8,False
1,0,1,0,8,False
1,0,0,1,8,False
1,0,0,0,8,False
1,0,0,0,8,False
15,0,0,0,7,False
2,0,0,0,9,False
1,0,0,1,8,False
1,0,0,0,7,False
0,0,0,0,7,False
1,0,0,0,8,False
1,0,0,0,11,False
1,0,0,1,9,False
1,0,0,0,9,False
1,0,0,0,9,False
1,0,0,0,10,False
1,0,0,0,7,False
1,0,0,0,7,False
1,0,0,0,8,False
1,0,0,0,8,False
0,0,0,1,8,False
1,0,1,0,5,False
0,0,0,0,7,False
1,0,0,0,10,False
1,0,0,0,10,False
1,0,0,0,12,False
1,0,0,0,8,False
7,0,0,0,8,False
5,0,0,0,9,False
2,0,0,0,11,False
2,0,0,0,8,False
2,0,0,0,9,False
1,0,0,0,8,False
1,0,0,0,7,False
1,0,0,0,10,False
2,0,0,0,9,False
2,0,0,0,7,False
2,0,0,0,8,False
2,0,0,0,7,False
3,0,0,0,7,False
1,0,1,0,7,False
1,0,0,0,16,False
2,0,0,0,8,False
3,0,0,0,12,False
4,0,0,0,8,False
1,0,0,0,7,False
1,0,0,0,7,False
2,0,0,0,7,False
2,0,0,0,7,False
2,0,0,0,6,False
1,0,0,0,7,False
2,0,0,0,7,False
1,0,0,0,7,False
1,0,0,0,6,False
1,0,0,0,7,False
1,0,0,0,6,False
1,0,0,0,6,False
0,0,0,0,7,False
0,0,0,0,7,False
9,0,0,0,7,False
3,0,0,0,7,False
4,0,0,0,7,False
2,0,1,0,7,False
3,0,0,0,7,False
3,0,0,0,7,False
8,0,0,0,8,False
74,0,0,0,5,False
100,0,0,0,6,False
50,0,0,0,6,False
26,0,0,0,6,False
19,0,0,0,9,False
21,0,0,0,9,False
32,1,2,1,8,False
37,1,1,0,8,False
31,0,1,0,6,False
68,0,0,0,6,False
36,0,1,0,7,False
27,0,0,0,9,False
22,0,0,0,11,False
18,0,0,0,29,False
17,0,0,0,12,False
30,0,0,0,14,False
13,0,0,0,10,False
14,0,0,0,8,False
14,0,0,0,7,False
12,0,0,0,6,False
15,0,0,0,6,False
14,0,0,0,7,False
15,1,1,0,5,False
11,0,0,0,6,False
10,0,0,0,6,False
8,0,0,0,8,False
9,0,0,0,7,False
7,0,0,0,8,False
7,0,0,0,5,False
9,0,0,0,6,False
10,0,0,0,7,False
10,0,0,0,8,False
8,0,0,0,6,False
10,0,0,0,5,False
13,0,0,0,6,False
10,0,0,0,5,False
9,0,0,0,5,False
7,0,0,0,6,False
5,0,0,0,5,False
5,0,0,0,5,False
5,0,0,0,4,False
8,0,0,0,4,False
7,0,0,0,4,False
5,0,0,0,4,False
9,0,0,0,3,False
6,0,0,0,5,False
6,0,0,0,5,False
5,0,0,0,5,False
8,0,0,0,4,False
7,0,0,0,5,False
13,0,0,0,5,False
4,0,0,0,4,False
5,0,0,0,5,False
5,0,0,0,5,False
7,0,0,0,5,False
5,0,0,0,4,False
15,0,0,0,5,False
10,0,0,0,4,False
6,0,0,0,5,False
7,0,0,0,4,False
6,0,0,0,5,False
7,0,0,0,6,False
4,0,0,0,5,False
5,0,0,0,5,False
4,0,0,0,6,False
24,0,0,0,4,False
13,0,0,0,5,False
13,0,0,0,5,False
24,0,0,0,4,False
11,0,0,0,7,False
13,0,0,0,14,False
14,0,0,0,6,False
15,0,0,0,4,False
14,0,0,0,4,False
12,0,0,0,5,False
8,0,0,0,8,False
7,0,0,0,8,False
10,0,0,0,5,False
11,0,0,0,5,True
