Jane Fonda,Paddy Ashdown,Nate Garvis,Michelle Borkin,Iraola,isPartial
18,1,0,0,1,False
57,1,0,0,2,False
25,1,0,0,1,False
20,1,0,0,1,False
19,1,0,0,1,False
16,1,0,0,2,False
18,1,0,0,1,False
20,1,0,0,2,False
21,1,0,0,1,False
18,1,0,0,1,False
15,1,0,0,1,False
14,1,0,0,1,False
15,1,0,0,1,False
18,1,0,0,1,False
24,1,0,0,1,False
100,1,0,0,1,False
55,1,0,0,1,False
27,0,0,0,1,False
27,1,0,0,1,False
26,0,0,0,1,False
25,1,0,0,1,False
31,1,0,0,1,False
21,1,0,0,1,False
18,1,0,0,1,False
14,1,0,0,1,False
14,0,0,0,1,False
24,0,0,0,2,False
25,0,0,0,1,False
18,0,0,0,1,False
18,0,0,0,1,False
15,0,0,0,1,False
15,0,0,0,1,False
18,0,0,0,1,False
17,0,0,0,1,False
17,0,0,0,1,False
16,0,0,0,1,False
27,0,0,0,1,False
30,0,0,0,1,False
26,0,0,0,1,False
24,1,0,0,1,False
43,1,0,0,1,False
22,1,0,0,1,False
20,0,0,0,1,False
20,0,0,0,1,False
17,0,0,0,1,False
18,0,0,0,1,False
15,1,0,0,1,False
20,0,0,0,1,False
19,1,0,0,1,False
66,0,0,0,1,False
16,0,0,0,1,False
16,0,0,0,1,False
14,0,0,0,1,False
15,0,0,0,1,False
15,0,0,0,1,False
15,0,0,0,1,False
13,0,0,0,1,False
15,0,0,0,1,False
18,0,0,0,1,False
17,0,0,0,1,False
18,0,0,0,1,False
18,0,0,0,1,False
18,0,0,0,1,False
15,1,0,0,1,False
15,0,0,0,1,False
17,0,0,0,1,False
15,0,0,0,1,False
13,0,0,0,1,False
14,0,0,0,2,False
14,0,0,0,1,False
16,0,0,0,1,False
14,0,0,0,1,False
17,0,0,0,2,False
16,0,0,0,1,False
16,0,0,0,1,False
15,1,0,0,1,False
14,2,0,0,1,False
13,0,0,0,1,False
14,0,0,0,1,False
14,0,0,0,1,False
16,0,0,0,1,False
20,0,0,0,1,False
19,0,0,0,2,False
32,0,0,0,1,False
26,0,0,0,1,False
17,0,0,0,1,False
16,0,0,0,2,False
14,0,0,0,1,False
27,1,0,0,1,False
17,0,0,0,1,False
17,0,0,0,1,False
32,0,0,0,1,False
21,0,0,0,1,False
16,0,0,0,1,False
15,1,0,0,1,False
37,0,0,0,1,False
40,1,0,0,1,False
20,0,0,0,1,False
19,0,0,0,2,False
17,0,0,0,1,False
23,0,0,0,2,False
24,0,0,0,1,False
23,0,0,0,1,False
19,0,0,0,1,False
17,0,0,0,1,False
21,0,0,0,1,False
18,0,0,0,1,False
25,0,0,0,1,False
23,0,0,0,1,False
44,0,0,0,1,False
28,0,0,0,1,False
32,0,0,0,1,False
25,0,0,0,1,False
17,0,0,0,1,False
18,0,0,0,1,False
30,0,0,0,1,False
18,0,0,0,1,False
16,0,0,0,1,False
17,0,0,0,1,False
17,0,0,0,1,False
18,0,0,0,1,False
16,0,0,0,1,False
22,0,0,0,1,False
13,0,0,0,1,False
19,1,0,0,1,False
23,1,0,0,1,False
17,0,0,0,1,False
24,0,0,0,1,False
33,0,0,0,1,False
20,0,0,0,1,False
18,0,0,0,1,False
28,0,0,0,1,False
45,0,0,0,1,False
27,0,0,0,1,False
17,1,0,0,1,False
20,1,0,0,2,False
65,4,0,0,4,False
34,1,0,0,2,False
26,0,0,0,2,False
25,0,0,0,1,False
21,0,0,0,1,False
22,0,0,0,1,False
23,0,0,0,1,False
26,1,0,0,1,False
29,0,0,0,1,False
20,0,0,0,1,False
19,0,0,0,1,False
19,0,0,0,1,False
41,0,0,0,1,False
24,1,0,0,1,False
21,1,0,0,1,False
18,0,0,0,1,False
18,0,0,0,1,False
19,0,0,0,1,False
18,0,0,0,1,False
19,0,0,0,1,False
31,0,0,0,1,False
19,0,0,0,1,False
44,0,0,0,1,False
27,0,0,0,1,False
20,0,0,0,1,False
18,0,0,0,1,False
19,0,0,0,1,False
21,0,0,0,1,False
64,0,0,0,1,False
63,0,0,0,1,False
24,0,0,0,1,False
30,0,0,0,0,False
67,0,0,0,1,False
40,0,0,0,1,False
55,0,0,0,1,False
27,0,0,0,1,False
48,0,0,0,1,False
37,0,0,0,1,False
29,0,0,0,1,False
35,0,0,0,1,False
58,0,0,0,1,False
35,0,0,0,1,False
27,1,0,0,1,False
28,11,0,0,1,False
72,1,0,0,1,False
50,0,0,0,1,False
29,0,0,0,1,False
30,0,0,0,1,False
25,0,0,0,1,False
22,0,0,0,1,False
25,0,0,0,1,False
43,0,0,0,1,False
26,2,0,0,1,False
52,0,0,0,1,False
36,0,0,0,1,False
28,0,0,0,1,False
59,0,0,0,1,False
76,0,0,0,2,False
30,0,0,0,1,False
42,0,0,0,1,False
32,0,0,0,1,False
36,0,0,0,1,False
26,0,0,0,1,False
24,0,0,0,1,False
41,0,0,0,1,False
35,0,0,0,1,True
