Steven Johnson,Charles Leadbeater,Pilobolus,Anna Deavere Smith,Iraola,isPartial
33,4,7,12,6,False
45,4,56,10,12,False
52,5,13,5,8,False
50,4,21,7,8,False
51,3,10,10,8,False
43,3,17,5,7,False
34,0,12,5,7,False
46,0,5,5,13,False
28,3,10,5,7,False
44,3,11,5,6,False
44,3,8,5,3,False
35,3,10,5,4,False
43,3,12,5,6,False
46,0,19,9,8,False
48,2,16,4,6,False
58,5,23,7,7,False
61,2,15,2,5,False
52,4,10,2,7,False
45,2,19,7,7,False
52,0,6,3,4,False
42,2,12,3,8,False
59,4,13,9,7,False
35,2,9,3,6,False
38,2,7,2,7,False
44,4,9,4,5,False
39,0,9,4,5,False
40,1,10,6,9,False
39,1,8,4,6,False
39,2,9,4,9,False
36,2,6,3,9,False
34,2,15,3,9,False
38,1,9,6,6,False
39,1,5,2,6,False
36,2,12,4,6,False
38,2,9,2,7,False
37,1,8,2,7,False
32,2,5,2,6,False
36,3,36,4,7,False
35,2,20,2,7,False
34,3,12,4,7,False
36,1,23,4,8,False
32,2,11,2,7,False
36,2,13,1,7,False
43,1,13,2,7,False
35,1,12,2,8,False
41,1,25,2,5,False
34,1,20,3,7,False
36,1,15,3,7,False
37,1,14,3,6,False
33,1,13,3,6,False
36,3,8,3,7,False
33,2,10,2,7,False
35,1,10,3,8,False
33,3,8,2,5,False
32,2,19,1,4,False
35,3,43,1,9,False
41,2,36,5,9,False
35,2,21,3,8,False
33,2,20,3,9,False
38,2,16,2,8,False
38,2,16,2,7,False
35,2,16,1,7,False
40,1,11,3,7,False
40,1,15,3,9,False
34,1,24,3,8,False
37,1,11,3,8,False
40,2,16,5,8,False
42,1,10,4,9,False
45,2,23,4,10,False
41,1,21,7,9,False
45,1,14,11,10,False
41,1,9,6,9,False
43,1,10,4,9,False
43,2,14,4,6,False
47,2,13,3,8,False
44,1,10,3,7,False
46,2,10,4,7,False
56,2,9,2,8,False
48,1,13,1,5,False
45,1,6,2,7,False
54,1,12,2,7,False
55,2,11,2,9,False
59,2,10,2,12,False
53,1,7,3,10,False
51,1,8,4,9,False
53,1,9,7,12,False
46,1,7,5,11,False
50,1,21,5,9,False
48,2,33,4,10,False
48,2,13,6,9,False
52,1,31,5,7,False
47,1,13,3,10,False
53,1,9,3,10,False
56,1,13,2,8,False
79,1,11,2,7,False
50,1,13,2,6,False
53,1,11,7,8,False
54,2,12,3,9,False
51,0,11,2,14,False
54,1,10,2,9,False
62,1,7,3,13,False
53,1,5,3,6,False
54,0,9,2,6,False
63,1,8,2,7,False
60,1,8,2,7,False
60,1,9,2,6,False
53,1,7,2,7,False
47,1,7,2,7,False
51,1,12,2,7,False
58,0,16,3,7,False
52,1,19,2,5,False
56,1,10,5,6,False
48,1,9,4,6,False
47,1,7,3,6,False
53,1,8,3,6,False
55,0,9,2,7,False
60,1,10,1,7,False
57,1,7,2,6,False
59,1,7,2,7,False
50,1,6,2,7,False
51,1,7,2,7,False
52,1,6,3,8,False
53,1,8,3,7,False
58,1,7,3,6,False
52,1,5,5,7,False
52,1,5,3,6,False
51,1,5,2,7,False
55,1,4,1,9,False
56,1,4,3,10,False
60,1,5,5,7,False
57,1,5,2,8,False
65,0,3,2,6,False
51,1,4,2,7,False
56,1,8,2,7,False
54,1,5,3,9,False
49,1,5,3,12,False
43,0,5,3,26,False
48,1,4,2,12,False
54,0,2,3,13,False
49,0,2,2,10,False
67,1,3,2,7,False
63,1,3,2,7,False
53,0,4,2,6,False
50,1,3,2,6,False
44,0,2,5,7,False
36,1,3,4,5,False
57,1,3,3,6,False
55,1,3,3,5,False
48,0,3,2,8,False
45,1,2,2,7,False
36,1,1,2,7,False
39,0,2,2,5,False
44,1,4,3,6,False
43,0,3,3,8,False
56,1,3,4,8,False
43,0,4,3,7,False
37,0,4,2,4,False
41,0,3,2,5,False
45,1,3,2,5,False
47,1,3,3,5,False
51,0,3,2,6,False
37,0,2,2,5,False
34,0,3,3,5,False
43,0,2,2,5,False
44,0,2,1,4,False
48,0,4,2,5,False
50,0,2,1,5,False
37,0,2,2,3,False
39,0,3,2,5,False
100,0,2,20,5,False
48,0,2,7,4,False
50,0,2,4,4,False
43,0,2,2,5,False
40,0,2,2,5,False
40,0,2,1,4,False
42,0,1,1,5,False
47,0,2,2,5,False
55,0,2,2,5,False
43,0,3,3,5,False
39,0,2,2,5,False
42,0,2,2,4,False
47,0,2,2,5,False
47,1,2,3,4,False
54,0,2,2,5,False
47,0,2,3,4,False
48,0,3,1,5,False
42,0,2,1,6,False
43,0,1,1,5,False
46,1,2,2,5,False
44,0,2,2,4,False
46,0,2,2,5,False
49,0,1,1,4,False
54,0,2,1,7,False
41,0,2,2,14,False
40,0,2,1,6,False
41,0,1,1,4,False
38,0,1,2,4,False
37,1,1,7,4,False
38,0,1,2,9,False
40,0,1,2,8,False
41,0,2,2,6,False
39,0,1,2,5,True
