David Brooks,Janna Levin,Mark Bezos,Rogier van der Heide,Iraola,isPartial
38,4,0,0,4,False
61,0,0,0,12,False
41,0,0,0,5,False
44,0,0,0,11,False
61,5,0,0,8,False
76,0,3,0,11,False
62,0,0,0,7,False
53,3,0,0,16,False
53,3,0,0,9,False
60,3,0,0,3,False
55,0,0,0,3,False
40,0,0,0,10,False
50,0,0,2,6,False
46,3,0,0,6,False
41,0,0,0,3,False
35,2,0,0,5,False
26,2,0,2,6,False
34,2,2,0,4,False
26,2,0,2,5,False
31,2,0,0,2,False
78,2,0,0,8,False
77,0,0,0,11,False
65,0,2,0,11,False
60,0,2,0,6,False
50,2,0,0,4,False
39,2,0,2,6,False
43,0,0,1,11,False
36,1,0,0,5,False
35,0,0,0,9,False
32,0,0,0,6,False
34,1,0,0,8,False
39,8,0,0,6,False
35,5,0,0,5,False
35,1,1,0,4,False
27,1,0,0,7,False
27,1,0,1,11,False
24,1,1,0,8,False
31,0,0,0,10,False
20,1,0,0,10,False
24,1,0,0,5,False
31,2,2,0,7,False
21,2,0,0,7,False
37,2,0,0,3,False
29,1,0,0,6,False
32,3,0,0,8,False
40,1,0,0,9,False
33,1,0,0,5,False
24,1,0,0,8,False
38,3,0,0,6,False
34,0,0,0,8,False
38,1,0,0,6,False
37,1,0,0,10,False
30,1,1,0,7,False
43,0,0,0,5,False
32,1,0,0,6,False
53,1,0,0,11,False
71,1,0,0,10,False
100,0,0,1,9,False
60,1,0,0,9,False
27,1,0,1,9,False
34,1,0,0,8,False
42,1,1,0,8,False
40,2,0,0,8,False
36,0,0,0,8,False
33,0,0,0,9,False
26,0,0,0,6,False
35,0,0,0,7,False
28,1,0,0,8,False
36,1,0,0,11,False
38,0,0,0,10,False
40,1,0,0,9,False
31,0,0,0,9,False
50,0,0,0,11,False
45,1,0,0,7,False
44,2,0,0,6,False
34,1,0,0,8,False
31,1,0,0,8,False
24,1,0,0,8,False
29,0,0,0,5,False
38,1,0,1,7,False
34,1,0,0,8,False
31,0,0,0,9,False
24,1,0,0,11,False
30,1,0,1,8,False
47,0,1,0,7,False
31,1,0,0,9,False
77,2,1,0,10,False
54,1,1,1,8,False
45,1,0,0,9,False
47,1,0,0,8,False
70,1,0,0,7,False
35,1,1,0,9,False
41,1,1,0,9,False
33,1,1,0,7,False
42,1,1,0,8,False
43,0,1,0,7,False
35,1,1,0,6,False
45,1,0,0,7,False
30,1,1,0,14,False
30,1,1,0,8,False
33,1,1,0,10,False
29,2,1,0,7,False
36,0,1,0,7,False
48,2,0,0,6,False
81,1,1,0,6,False
45,1,1,0,6,False
57,4,1,0,6,False
33,2,0,0,7,False
31,1,0,0,8,False
28,1,0,1,8,False
24,1,1,0,5,False
26,1,0,0,7,False
21,0,1,0,6,False
26,0,0,0,6,False
25,1,1,0,6,False
23,0,1,0,6,False
21,1,1,0,7,False
26,1,1,0,7,False
22,0,0,0,7,False
24,1,1,0,7,False
43,1,1,0,6,False
27,0,1,0,6,False
23,1,1,0,7,False
30,2,1,0,5,False
25,0,0,0,5,False
22,1,0,0,6,False
21,1,0,0,6,False
22,1,1,0,8,False
24,1,1,0,9,False
21,1,1,0,8,False
22,1,0,0,8,False
22,0,1,0,5,False
30,1,0,0,6,False
26,1,1,0,7,False
23,0,1,0,9,False
62,1,1,0,10,False
41,2,1,0,27,False
32,1,0,0,11,False
33,1,2,0,13,False
30,1,1,0,10,False
31,0,1,0,8,False
34,1,1,0,6,False
26,2,1,0,5,False
29,1,2,0,5,False
36,1,1,0,7,False
47,1,2,0,5,False
48,1,2,0,6,False
30,1,2,0,5,False
33,3,2,0,7,False
30,1,2,0,7,False
39,1,1,0,8,False
34,1,1,0,4,False
33,1,2,0,6,False
39,1,2,0,7,False
59,2,1,0,8,False
25,1,2,0,5,False
35,0,5,0,5,False
42,0,2,0,6,False
33,1,3,0,6,False
28,1,3,0,5,False
41,1,2,0,5,False
36,1,4,0,5,False
54,0,7,0,5,False
35,1,4,0,4,False
30,1,4,0,4,False
33,1,5,0,4,False
37,0,12,0,4,False
31,1,7,0,3,False
32,9,11,0,4,False
33,2,9,0,6,False
26,2,11,0,5,False
23,1,13,0,4,False
23,1,7,0,5,False
28,1,6,0,4,False
24,1,11,0,5,False
25,1,8,0,5,False
25,1,10,0,5,False
33,1,9,0,5,False
27,1,9,0,4,False
32,1,9,0,5,False
34,1,13,0,4,False
35,1,10,0,5,False
37,1,10,0,4,False
47,1,9,0,4,False
43,1,9,0,6,False
36,1,9,0,4,False
32,10,10,0,5,False
29,3,10,0,5,False
32,2,9,0,4,False
26,2,10,0,4,False
21,1,9,0,5,False
20,1,9,0,5,False
26,2,12,0,7,False
32,1,13,0,14,False
22,3,12,0,6,False
29,2,16,0,4,False
22,2,20,0,3,False
28,2,15,0,5,False
37,2,23,0,9,False
49,1,26,0,7,False
29,1,18,0,5,False
28,1,15,0,4,True
