Peter Reinhart,Joseph Pine,Paula Scher,David Carson,Iraola,isPartial
5,5,13,63,8,False
9,5,5,84,16,False
7,7,15,94,10,False
5,5,10,96,10,False
4,7,9,76,10,False
7,4,4,59,9,False
5,14,9,48,9,False
4,4,6,43,17,False
6,4,4,92,9,False
5,4,12,78,8,False
6,4,9,84,4,False
4,5,5,57,6,False
0,9,5,100,8,False
9,7,9,99,10,False
3,5,7,83,8,False
3,5,5,82,10,False
3,4,4,72,7,False
3,3,9,46,10,False
6,0,8,54,9,False
7,4,5,44,6,False
3,4,6,66,10,False
5,5,7,62,10,False
5,5,10,78,7,False
0,2,4,56,9,False
3,2,6,56,6,False
3,4,10,77,7,False
2,2,4,49,12,False
3,5,5,47,7,False
2,2,6,62,12,False
2,4,2,48,12,False
3,4,5,33,11,False
2,3,3,38,8,False
3,6,11,57,8,False
3,4,8,47,8,False
3,3,3,55,9,False
2,3,8,41,9,False
3,3,7,41,8,False
5,3,4,44,9,False
2,2,6,49,9,False
2,3,7,49,9,False
3,3,7,39,11,False
2,3,3,31,9,False
1,3,3,25,10,False
3,3,6,27,9,False
3,3,3,40,11,False
3,3,8,48,7,False
4,4,8,51,9,False
4,6,7,27,9,False
5,3,4,35,8,False
4,1,8,33,7,False
3,1,7,38,9,False
3,2,11,29,9,False
2,2,4,33,10,False
3,2,3,23,7,False
2,4,3,24,6,False
3,2,4,29,12,False
2,4,6,34,12,False
3,2,5,34,11,False
3,1,6,42,12,False
3,1,4,29,11,False
3,3,7,31,9,False
6,3,9,40,9,False
3,2,7,36,9,False
4,3,6,32,12,False
3,2,5,34,10,False
2,2,5,28,11,False
3,3,2,22,10,False
5,3,4,30,12,False
4,3,6,41,14,False
4,3,8,41,11,False
4,3,8,33,13,False
5,2,4,29,12,False
5,2,6,32,12,False
3,3,8,35,8,False
6,3,6,38,10,False
5,2,7,30,9,False
4,2,6,29,9,False
3,2,4,24,11,False
4,2,3,21,7,False
4,2,3,22,9,False
4,2,6,28,10,False
3,2,5,28,11,False
5,3,7,28,16,False
6,2,5,22,13,False
7,2,4,21,11,False
5,3,6,28,15,False
4,3,6,26,15,False
5,2,6,27,12,False
3,3,4,26,13,False
3,2,2,19,12,False
3,2,2,15,9,False
3,2,3,16,13,False
3,2,5,29,13,False
4,3,6,32,11,False
3,2,5,28,9,False
4,2,5,19,8,False
4,2,5,19,10,False
4,3,8,23,12,False
5,3,4,26,18,False
4,2,5,20,11,False
3,2,6,23,18,False
3,2,3,16,8,False
3,3,2,14,8,False
4,3,3,16,9,False
3,3,5,22,10,False
3,2,7,24,8,False
3,2,5,20,9,False
4,3,4,15,9,False
5,3,4,17,9,False
3,3,5,19,9,False
3,3,6,21,7,False
3,3,5,22,8,False
4,3,4,19,8,False
2,4,3,13,8,False
2,3,2,13,8,False
3,2,3,14,10,False
2,4,5,21,10,False
2,2,6,21,8,False
3,3,5,18,9,False
4,3,4,14,9,False
3,3,4,18,9,False
3,2,5,20,10,False
3,3,5,22,10,False
3,3,4,21,8,False
3,2,5,20,9,False
2,3,3,13,8,False
3,2,2,11,9,False
2,2,3,14,12,False
2,2,5,16,13,False
2,3,5,19,10,False
3,2,5,17,10,False
3,2,3,13,8,False
3,3,4,15,9,False
3,2,5,17,9,False
2,3,6,17,12,False
3,2,4,16,16,False
1,2,4,29,34,False
2,3,3,15,16,False
2,2,2,12,17,False
2,2,2,14,13,False
1,2,4,19,9,False
2,2,4,21,9,False
2,2,4,21,8,False
3,2,3,15,8,False
3,2,3,18,9,False
2,3,6,18,6,False
2,2,5,19,8,False
2,2,4,17,7,False
2,2,3,17,10,False
1,3,3,16,10,False
1,2,2,11,10,False
1,3,2,12,7,False
1,2,4,15,7,False
2,3,4,13,10,False
2,2,4,18,11,False
2,3,3,13,9,False
2,2,4,14,6,False
2,3,22,15,7,False
1,2,18,15,6,False
2,2,14,15,6,False
1,1,9,17,7,False
1,2,6,12,6,False
1,3,5,9,6,False
2,3,7,11,7,False
1,2,8,14,6,False
1,2,9,16,6,False
2,2,9,15,6,False
1,2,5,12,4,False
2,2,7,12,6,False
2,1,9,12,6,False
2,2,9,13,6,False
2,2,9,12,5,False
1,2,7,12,7,False
1,2,5,9,6,False
2,2,4,9,6,False
1,2,6,11,7,False
1,1,8,15,7,False
1,2,7,13,7,False
1,2,7,12,7,False
1,2,4,10,7,False
2,2,6,12,6,False
1,2,6,11,6,False
2,2,6,11,5,False
2,2,5,12,6,False
2,2,4,12,6,False
2,1,4,12,6,False
1,2,3,10,8,False
1,2,3,13,7,False
2,2,7,14,7,False
1,3,8,14,6,False
1,2,7,13,6,False
1,2,4,12,6,False
2,2,4,12,10,False
1,1,4,10,18,False
4,2,5,11,7,False
5,2,6,11,6,False
4,2,5,10,6,False
2,2,6,10,5,False
2,2,4,9,12,False
1,2,4,12,10,False
1,2,6,15,8,False
1,2,5,12,7,True
