Rajiv Maheswaran,Memory Banda,Johann Hari,Noy Thrupkaew,Iraola,isPartial
0,0,12,0,23,False
0,11,11,0,31,False
0,0,21,0,14,False
0,0,11,0,26,False
0,10,19,0,22,False
0,0,19,0,29,False
0,0,15,10,23,False
0,0,19,9,32,False
0,0,11,9,26,False
0,0,23,0,17,False
9,0,20,9,12,False
0,0,22,0,27,False
0,0,17,0,21,False
0,0,18,0,19,False
0,0,10,0,15,False
0,0,26,0,14,False
6,0,16,6,14,False
0,0,8,0,12,False
0,6,17,0,13,False
0,0,10,0,12,False
0,0,19,0,24,False
0,5,18,0,26,False
5,5,10,8,22,False
0,5,7,0,19,False
0,4,7,0,13,False
0,0,20,5,17,False
0,0,12,4,32,False
0,0,15,0,16,False
4,4,15,0,21,False
0,0,18,4,22,False
0,4,8,0,24,False
4,0,10,0,20,False
0,0,13,0,17,False
0,3,8,3,16,False
0,0,11,0,17,False
0,0,13,0,26,False
0,3,11,0,19,False
0,3,13,0,25,False
0,4,11,0,28,False
0,5,9,0,17,False
0,5,13,0,18,False
2,0,21,0,23,False
0,2,19,0,13,False
0,2,12,0,18,False
0,2,5,0,25,False
2,0,12,0,22,False
0,2,7,0,13,False
0,2,7,0,22,False
0,3,10,2,18,False
0,2,8,0,22,False
2,3,8,0,22,False
0,2,13,2,26,False
2,3,19,0,24,False
2,2,11,0,15,False
0,2,9,0,17,False
0,2,9,2,28,False
2,2,11,0,28,False
0,1,8,0,24,False
0,0,9,0,23,False
0,2,8,0,22,False
0,1,14,0,23,False
0,1,20,0,24,False
0,2,14,0,19,False
0,1,32,1,24,False
1,3,14,0,23,False
0,3,12,1,19,False
0,3,11,1,21,False
1,2,17,1,22,False
1,1,11,1,31,False
1,2,17,1,26,False
0,2,14,0,26,False
0,3,11,0,26,False
0,1,12,1,29,False
0,1,10,1,19,False
0,3,13,0,20,False
0,1,17,0,21,False
0,1,22,0,21,False
0,1,10,1,22,False
1,2,14,2,15,False
0,2,13,0,19,False
1,1,17,0,27,False
0,2,13,1,28,False
0,2,21,0,34,False
0,3,22,1,24,False
0,2,20,1,22,False
0,1,27,1,26,False
1,1,28,0,32,False
0,2,31,1,24,False
0,1,33,0,26,False
0,1,79,0,23,False
0,1,100,0,19,False
0,2,33,0,28,False
1,1,81,0,27,False
0,2,19,0,20,False
0,1,15,0,22,False
0,1,17,1,19,False
1,1,22,0,20,False
0,2,8,0,21,False
0,1,7,1,45,False
0,1,6,1,23,False
0,1,6,0,33,False
1,1,8,0,21,False
0,1,6,0,20,False
0,1,7,1,20,False
0,1,5,1,21,False
0,2,3,1,20,False
0,1,5,1,17,False
1,1,2,0,20,False
0,1,5,0,20,False
0,1,2,0,20,False
0,1,5,0,18,False
0,1,3,0,20,False
0,1,2,0,18,False
1,0,2,0,18,False
0,1,3,0,19,False
0,1,2,0,19,False
0,1,2,0,21,False
0,1,3,0,20,False
0,2,3,0,20,False
0,1,3,0,20,False
0,1,2,0,20,False
0,1,3,0,19,False
0,1,2,0,21,False
0,1,2,0,15,False
0,2,3,0,17,False
0,2,4,0,16,False
0,1,3,0,17,False
0,1,3,0,24,False
0,1,6,0,25,False
0,1,4,0,22,False
0,1,4,0,21,False
0,1,3,0,16,False
0,1,23,0,18,False
0,1,19,0,21,False
1,1,9,0,26,False
0,1,8,0,30,False
0,1,7,0,83,False
0,1,7,0,33,False
2,3,19,1,40,False
1,2,9,1,27,False
1,1,8,1,23,False
1,1,15,0,19,False
0,1,10,0,17,False
1,1,8,0,18,False
0,1,6,0,20,False
0,1,8,0,15,False
1,1,6,1,18,False
0,1,8,0,17,False
1,1,5,0,21,False
0,2,4,0,20,False
1,1,3,0,22,False
0,0,6,0,13,False
0,1,5,0,18,False
0,1,11,0,18,False
0,0,4,0,22,False
0,1,3,0,17,False
0,1,5,0,14,False
1,1,6,0,16,False
0,1,6,0,15,False
0,1,7,0,14,False
0,1,3,1,16,False
1,1,3,0,15,False
0,1,4,1,14,False
0,1,3,0,12,False
0,1,4,0,11,False
0,1,4,0,12,False
0,1,5,0,13,False
0,1,4,0,9,False
0,0,32,0,13,False
0,1,85,1,15,False
0,1,19,0,14,False
0,1,16,1,10,False
0,1,16,1,13,False
0,1,13,0,14,False
0,0,13,0,12,False
0,1,11,0,14,False
0,1,14,0,14,False
0,1,8,0,15,False
0,0,24,0,12,False
0,0,16,0,13,False
0,1,17,0,13,False
1,1,71,0,15,False
0,1,34,1,13,False
0,1,23,0,14,False
0,1,23,1,16,False
0,1,15,0,13,False
0,0,20,0,15,False
0,1,15,0,16,False
0,1,19,0,12,False
0,1,27,0,13,False
0,1,23,0,14,False
0,1,17,0,12,False
0,1,17,0,21,False
0,1,14,0,38,False
0,1,13,0,16,False
0,1,14,0,11,False
0,1,14,0,10,False
0,1,14,0,13,False
0,1,10,0,23,False
0,0,12,0,22,False
1,1,12,0,15,False
0,1,10,0,14,True
