Nathaniel Kahn,Bruce Bueno de Mesquita,Bonnie Bassler,Emily Levine,Iraola,isPartial
16,0,31,16,24,False
24,0,31,0,47,False
26,0,39,0,29,False
15,0,15,15,30,False
13,0,13,0,30,False
13,0,26,13,26,False
34,0,14,27,27,False
19,0,13,12,50,False
12,12,0,12,27,False
18,0,12,12,24,False
18,0,12,12,12,False
11,16,0,0,17,False
10,0,10,10,23,False
15,10,0,0,31,False
11,0,9,9,23,False
13,0,0,19,29,False
13,0,0,0,20,False
8,0,8,13,28,False
9,0,0,9,26,False
8,8,0,0,17,False
0,0,8,23,30,False
14,0,0,7,28,False
7,7,0,14,21,False
0,10,7,10,28,False
12,6,6,6,18,False
6,13,0,6,21,False
11,0,11,0,36,False
12,6,9,9,21,False
5,5,11,11,35,False
0,6,11,6,35,False
6,6,0,6,34,False
0,0,5,5,22,False
5,5,26,10,25,False
4,18,0,4,22,False
4,0,6,4,26,False
9,0,5,9,26,False
4,0,23,0,22,False
6,6,4,4,26,False
4,0,7,4,28,False
4,0,4,4,25,False
3,3,3,3,31,False
5,0,5,16,26,False
5,3,12,3,29,False
3,3,3,6,25,False
5,3,3,3,33,False
5,9,3,8,21,False
3,4,5,4,27,False
3,3,5,9,27,False
6,8,4,0,24,False
3,3,3,3,21,False
2,0,4,2,27,False
0,4,2,5,27,False
0,2,4,3,30,False
2,3,2,4,19,False
0,0,2,2,16,False
2,2,6,7,35,False
0,2,5,2,36,False
2,3,7,4,32,False
2,11,3,2,36,False
4,57,3,3,32,False
0,22,4,4,28,False
2,6,4,2,28,False
2,3,5,2,27,False
5,38,23,13,35,False
2,5,9,3,30,False
2,19,6,3,33,False
2,10,5,6,30,False
0,9,3,3,35,False
2,37,3,6,40,False
2,25,6,4,33,False
2,12,3,4,39,False
2,7,2,3,36,False
1,18,3,5,36,False
3,6,6,3,24,False
2,20,3,3,31,False
0,12,3,3,27,False
5,12,3,1,26,False
0,5,2,1,32,False
0,7,2,3,21,False
4,7,3,2,25,False
1,8,5,2,28,False
1,6,2,3,34,False
2,9,4,3,46,False
1,5,4,3,37,False
1,16,3,2,33,False
1,15,2,4,45,False
1,8,3,4,43,False
2,4,4,3,36,False
1,10,1,2,40,False
1,9,2,4,34,False
1,6,1,5,26,False
1,8,4,3,38,False
1,10,4,2,38,False
1,10,4,2,31,False
1,7,5,5,27,False
1,6,3,3,24,False
2,25,2,3,29,False
1,9,4,3,35,False
1,5,5,2,52,False
1,4,4,3,33,False
1,3,4,5,52,False
1,2,3,5,24,False
2,4,2,5,25,False
2,5,3,3,27,False
1,3,3,3,28,False
1,3,5,3,23,False
1,6,3,4,26,False
1,8,3,3,27,False
1,1,2,3,26,False
0,3,5,3,25,False
1,5,4,5,21,False
1,5,5,5,23,False
1,3,3,5,24,False
1,3,2,5,24,False
1,3,1,8,24,False
1,2,2,6,29,False
0,2,3,4,29,False
1,1,3,5,25,False
1,3,2,4,27,False
0,4,2,4,26,False
1,3,2,4,26,False
1,3,4,4,29,False
1,2,3,6,28,False
1,2,2,4,24,False
1,1,2,3,27,False
1,1,2,3,25,False
1,2,2,4,26,False
1,2,3,10,34,False
1,2,3,3,38,False
1,1,3,6,29,False
1,3,3,5,29,False
1,4,3,5,23,False
1,1,2,5,26,False
1,4,2,4,27,False
1,3,2,4,36,False
1,2,3,4,46,False
1,1,3,4,100,False
1,2,3,6,47,False
1,3,1,5,50,False
1,1,2,5,39,False
1,2,2,3,27,False
0,2,3,6,25,False
0,2,2,5,25,False
0,1,1,8,23,False
1,2,2,3,25,False
1,2,2,5,19,False
1,2,2,6,24,False
1,2,3,5,20,False
0,1,2,3,29,False
1,1,1,3,29,False
1,1,1,3,29,False
0,3,1,3,20,False
1,2,4,5,21,False
1,4,2,4,30,False
1,3,2,3,32,False
1,2,2,3,27,False
0,3,2,3,17,False
1,1,3,3,20,False
1,3,3,4,19,False
0,2,2,3,19,False
0,2,1,2,22,False
1,1,1,2,19,False
0,1,1,3,18,False
1,1,1,3,19,False
0,1,1,1,17,False
1,1,4,3,19,False
0,1,2,3,17,False
0,1,1,2,12,False
0,1,2,3,18,False
0,1,2,3,19,False
0,2,3,2,17,False
1,2,1,3,15,False
1,1,1,9,20,False
0,1,1,10,18,False
0,2,1,5,17,False
0,1,1,6,20,False
1,1,2,6,21,False
1,1,3,3,21,False
2,2,2,3,20,False
1,1,2,2,20,False
1,1,2,3,17,False
1,1,1,7,19,False
1,1,2,36,16,False
1,1,1,13,18,False
0,1,1,8,17,False
1,1,2,8,18,False
1,1,1,15,23,False
1,2,1,4,20,False
0,1,1,4,20,False
1,1,2,3,17,False
1,0,2,3,18,False
1,0,1,2,17,False
1,1,1,4,29,False
0,1,1,8,53,False
1,1,1,3,21,False
0,1,1,6,16,False
1,1,1,4,17,False
0,1,1,5,15,False
0,1,1,4,34,False
1,1,1,4,29,False
0,1,1,4,22,False
1,1,1,3,19,True
