Benjamin Grant,OluTimehin Adegbeye,Caitlin Quattromani and Lauran Arledge,Emily Esfahani Smith,Iraola,isPartial
14,0,0,0,28,False
23,0,0,0,37,False
17,0,0,0,17,False
13,0,0,0,31,False
12,0,0,0,27,False
12,0,0,0,35,False
0,0,0,0,28,False
0,0,0,0,39,False
10,0,0,0,31,False
16,0,0,0,21,False
32,0,0,0,14,False
10,0,0,0,33,False
21,0,0,0,26,False
15,0,0,0,23,False
11,0,0,0,18,False
8,0,0,0,17,False
17,0,0,0,17,False
10,0,0,0,15,False
15,0,0,0,15,False
17,0,0,0,15,False
7,0,0,0,29,False
8,0,0,0,31,False
15,0,0,0,27,False
6,0,0,0,23,False
11,0,0,0,16,False
17,0,0,0,20,False
13,0,0,0,38,False
10,0,0,0,19,False
5,0,0,0,25,False
8,0,0,0,26,False
10,0,0,0,29,False
8,0,0,0,24,False
12,0,0,0,20,False
7,0,0,0,20,False
13,0,0,0,21,False
7,0,0,0,32,False
15,0,0,0,23,False
9,0,0,0,30,False
8,0,0,0,34,False
11,0,0,0,21,False
13,0,0,0,22,False
9,0,0,0,28,False
7,0,0,0,16,False
11,0,0,0,21,False
5,0,0,0,30,False
11,0,0,0,27,False
6,0,0,0,16,False
6,0,0,0,26,False
16,0,0,0,22,False
7,0,0,0,27,False
11,0,0,0,26,False
12,0,0,0,32,False
11,0,0,0,29,False
7,0,0,0,18,False
8,0,0,0,21,False
5,0,0,0,34,False
10,0,0,0,33,False
5,0,0,0,29,False
6,0,0,0,28,False
8,0,0,0,27,False
10,0,0,0,28,False
8,0,0,0,29,False
8,0,0,0,23,False
7,0,0,0,29,False
11,0,0,0,28,False
6,0,0,0,23,False
7,0,0,2,25,False
6,0,0,0,26,False
5,0,0,0,37,False
4,0,0,1,32,False
9,0,0,0,32,False
8,0,0,0,32,False
11,0,0,0,35,False
7,0,0,0,23,False
4,0,0,0,25,False
11,0,0,0,26,False
11,0,0,0,26,False
7,0,0,0,27,False
4,0,0,0,18,False
6,0,0,0,23,False
8,0,0,1,33,False
8,0,0,0,33,False
7,0,0,0,41,False
6,0,0,0,29,False
9,0,0,0,26,False
9,0,0,1,31,False
9,0,0,0,39,False
6,0,0,0,29,False
8,0,0,0,31,False
6,0,0,0,28,False
7,0,0,0,24,False
7,0,0,1,34,False
7,0,0,1,32,False
8,0,0,0,25,False
9,0,0,1,27,False
6,0,0,1,23,False
6,0,0,0,24,False
11,0,0,1,25,False
10,0,0,1,55,False
6,0,0,1,27,False
8,0,0,1,39,False
4,0,0,0,26,False
4,0,0,1,24,False
6,0,0,1,24,False
7,0,0,1,25,False
6,0,0,1,25,False
6,0,0,0,20,False
5,0,0,0,24,False
8,0,0,1,25,False
7,0,0,1,25,False
8,0,0,1,21,False
8,0,0,2,25,False
7,1,0,1,21,False
6,0,0,0,22,False
6,0,0,0,23,False
8,0,0,0,23,False
5,0,0,1,25,False
7,0,0,1,24,False
6,0,0,0,24,False
7,0,0,1,24,False
9,0,0,0,24,False
9,0,0,1,23,False
8,0,0,1,26,False
7,0,0,1,18,False
9,0,0,0,21,False
6,0,0,1,19,False
7,0,0,1,20,False
6,0,0,1,29,False
8,0,0,1,30,False
6,0,0,0,26,False
6,0,0,1,26,False
6,0,0,1,19,False
9,0,0,0,22,False
8,0,0,1,25,False
9,0,0,0,31,False
8,0,0,0,36,False
8,0,0,0,100,False
8,0,0,0,40,False
5,0,0,1,48,False
7,0,0,0,33,False
8,0,0,0,27,False
6,0,0,0,22,False
6,0,0,0,20,False
7,0,0,1,22,False
8,0,0,0,24,False
7,0,0,0,18,False
11,0,0,0,21,False
9,0,0,0,20,False
9,0,0,0,26,False
6,0,0,0,24,False
6,0,0,0,27,False
7,0,0,0,16,False
7,0,0,0,22,False
10,0,0,1,22,False
9,0,0,1,27,False
8,0,0,0,20,False
9,0,0,1,17,False
6,0,0,1,19,False
7,0,0,1,18,False
6,0,0,2,17,False
7,0,0,3,19,False
6,0,0,1,18,False
5,0,0,2,17,False
9,0,0,1,15,False
7,1,0,9,14,False
6,0,0,7,14,False
7,0,0,6,15,False
7,0,0,2,11,False
7,0,0,3,16,False
7,0,0,2,18,False
7,1,0,3,17,False
7,1,0,2,12,False
7,0,0,2,16,False
6,0,0,3,17,False
7,0,0,2,15,False
7,1,0,3,16,False
8,1,0,3,17,False
5,0,0,2,19,False
5,0,0,1,15,False
5,0,0,3,15,False
5,1,0,2,15,False
9,0,0,3,18,False
5,0,0,3,15,False
6,0,0,2,16,False
5,0,0,1,19,False
4,1,0,2,15,False
5,1,0,1,19,False
5,0,0,2,19,False
7,0,0,3,15,False
6,0,0,1,16,False
8,0,0,1,17,False
6,0,0,1,15,False
5,0,0,1,25,False
8,0,0,1,46,False
6,0,0,1,20,False
7,0,0,2,13,False
7,0,0,1,13,False
9,0,0,1,16,False
10,0,0,2,28,False
5,0,0,2,26,False
6,1,0,2,19,False
8,0,0,2,16,True
