Beverly + Dereck Joubert,Sheryl Sandberg,Brené Brown,Arianna Huffington,Iraola,isPartial
87,0,0,1,0,False
89,0,0,1,0,False
86,0,0,0,0,False
83,0,0,1,0,False
86,0,0,1,0,False
82,0,0,0,0,False
94,0,0,1,0,False
87,0,0,1,1,False
78,0,0,1,0,False
81,0,0,1,0,False
76,0,0,1,0,False
77,0,0,0,0,False
86,0,0,0,0,False
80,0,0,0,0,False
91,0,0,0,0,False
90,0,0,2,0,False
96,0,0,2,0,False
97,0,0,1,0,False
97,0,0,1,0,False
97,0,0,1,0,False
84,0,0,1,0,False
85,0,0,2,0,False
78,0,0,1,0,False
81,0,0,1,0,False
83,0,0,1,0,False
79,0,0,1,0,False
80,0,0,2,0,False
81,0,0,1,0,False
83,0,0,1,0,False
82,0,0,1,0,False
86,0,0,0,0,False
82,0,0,1,0,False
75,0,0,1,0,False
72,0,0,1,0,False
75,0,0,1,0,False
71,0,0,1,0,False
75,0,0,1,0,False
73,0,0,1,0,False
72,0,0,1,0,False
74,0,0,1,0,False
78,0,0,1,0,False
76,0,0,1,0,False
83,0,0,0,0,False
79,0,0,0,0,False
70,0,0,0,0,False
67,0,0,0,0,False
65,0,0,0,0,False
67,0,0,0,0,False
69,0,0,0,0,False
70,0,0,1,0,False
69,1,0,1,0,False
67,0,0,1,0,False
73,0,0,2,0,False
70,0,0,1,0,False
76,0,0,1,0,False
77,0,0,1,0,False
79,0,0,1,0,False
87,0,0,1,0,False
67,0,0,2,0,False
68,0,0,1,0,False
72,0,0,1,0,False
77,0,0,1,0,False
73,0,0,0,0,False
73,0,0,1,0,False
73,0,0,0,0,False
73,0,0,0,0,False
72,0,0,1,0,False
72,0,0,1,0,False
69,0,0,1,0,False
66,0,0,1,0,False
62,0,0,0,0,False
73,0,0,1,0,False
71,0,0,1,0,False
65,0,0,1,0,False
63,0,0,1,0,False
66,0,0,0,0,False
67,0,0,0,0,False
65,0,0,1,0,False
71,0,0,0,0,False
68,0,0,0,0,False
63,0,0,2,0,False
66,1,0,2,0,False
72,0,0,1,0,False
79,0,0,1,0,False
100,1,0,1,0,False
86,0,0,3,0,False
70,0,0,1,0,False
69,0,0,1,0,False
68,1,0,1,0,False
72,0,0,1,0,False
70,1,0,1,0,False
78,1,0,1,0,False
77,1,0,1,0,False
73,0,0,1,0,False
74,1,0,1,0,False
75,1,0,1,0,False
88,1,0,1,0,False
85,3,0,1,0,False
64,1,0,1,1,False
64,1,0,1,0,False
62,2,0,1,0,False
61,1,0,1,0,False
68,1,0,0,0,False
67,1,0,1,0,False
65,1,0,1,0,False
61,0,0,1,0,False
64,1,0,1,0,False
68,0,0,0,0,False
73,0,0,1,0,False
73,1,0,1,0,False
69,7,0,1,0,False
64,4,0,1,0,False
58,2,0,1,0,False
59,2,0,1,0,False
65,2,0,0,0,False
70,2,0,1,0,False
61,1,0,0,0,False
59,1,0,1,0,False
61,1,0,0,0,False
62,1,0,0,0,False
76,2,0,1,0,False
71,1,0,0,0,False
71,2,0,2,0,False
63,2,0,1,0,False
62,1,0,1,0,False
59,1,0,1,0,False
63,2,0,1,0,False
67,1,0,1,0,False
64,1,0,1,0,False
61,1,0,0,0,False
59,1,0,1,0,False
68,1,0,1,0,False
71,1,0,0,0,False
65,1,0,0,0,False
66,1,0,1,0,False
66,1,0,1,0,False
64,10,0,1,1,False
67,5,0,1,0,False
66,1,0,1,1,False
65,1,0,1,0,False
64,1,0,1,0,False
59,1,0,0,0,False
60,1,0,0,0,False
70,1,0,1,0,False
73,1,0,0,0,False
68,1,0,1,0,False
68,1,0,0,0,False
72,1,0,2,0,False
70,4,0,1,0,False
68,1,0,1,0,False
67,1,0,0,0,False
64,1,0,1,0,False
62,1,0,1,0,False
58,1,0,1,0,False
61,1,0,1,0,False
69,1,0,0,0,False
65,1,0,0,0,False
63,1,0,1,0,False
63,1,0,1,0,False
65,4,0,0,0,False
58,2,0,0,0,False
59,2,0,1,0,False
64,1,0,0,0,False
61,1,0,0,0,False
60,1,0,0,0,False
58,1,0,0,0,False
57,1,0,1,0,False
64,1,0,0,0,False
63,1,0,0,0,False
61,1,0,0,0,False
62,2,0,0,0,False
61,2,0,0,0,False
57,1,0,0,0,False
57,1,0,0,0,False
59,1,0,0,0,False
59,1,0,0,0,False
53,1,0,0,0,False
52,1,0,0,0,False
54,2,0,0,0,False
59,1,0,0,0,False
57,1,0,0,0,False
60,1,0,0,0,False
84,1,0,0,0,False
60,1,0,0,0,False
58,1,0,0,0,False
59,1,0,0,0,False
61,1,0,0,0,False
67,1,0,0,0,False
57,1,0,0,0,False
53,1,0,0,0,False
56,1,0,0,0,False
56,1,0,0,0,False
54,1,0,0,0,False
55,1,0,0,1,False
45,1,0,0,0,False
51,1,0,0,0,False
53,1,0,0,0,False
65,1,0,0,0,False
58,1,0,0,0,False
53,1,0,0,0,False
48,0,0,0,0,False
44,0,0,0,0,True
