Rodrigo Bijou,Jason deCaires Taylor,Robert Waldinger,Harry Cliff,Iraola,isPartial
0,0,0,28,28,False
0,0,0,19,37,False
0,0,0,34,17,False
0,0,0,27,31,False
0,0,0,29,27,False
0,0,11,11,35,False
0,0,0,24,28,False
0,0,0,17,39,False
0,0,0,20,31,False
0,0,0,21,21,False
0,0,0,14,14,False
0,0,0,29,33,False
0,0,0,14,26,False
0,0,0,0,23,False
0,0,0,13,18,False
0,0,9,8,17,False
0,0,0,19,17,False
0,0,0,8,15,False
0,0,0,54,15,False
0,0,0,27,15,False
0,0,0,17,29,False
0,0,0,19,31,False
0,0,0,15,27,False
6,0,0,27,23,False
0,0,0,13,16,False
0,0,0,6,20,False
0,0,0,36,38,False
0,0,0,12,19,False
0,0,0,14,25,False
0,0,0,7,26,False
0,0,0,5,29,False
0,0,5,8,24,False
0,0,0,12,20,False
0,0,0,8,20,False
0,0,0,13,21,False
0,0,4,16,32,False
0,0,0,10,23,False
0,0,0,7,30,False
0,0,0,7,34,False
0,0,0,10,21,False
0,0,0,11,22,False
0,0,0,12,28,False
0,0,3,70,16,False
0,0,3,26,21,False
0,0,3,10,30,False
0,0,0,6,27,False
0,0,2,9,16,False
0,0,0,9,26,False
0,0,0,4,22,False
2,0,0,8,27,False
0,0,0,6,26,False
0,0,2,5,32,False
0,0,0,7,29,False
0,0,0,5,18,False
0,0,0,6,21,False
0,0,0,10,34,False
0,0,0,4,33,False
0,0,0,5,29,False
0,0,0,5,28,False
0,0,0,9,27,False
2,0,2,7,28,False
0,0,0,8,29,False
0,2,0,5,23,False
0,0,0,7,29,False
0,2,2,8,28,False
0,0,2,9,23,False
0,0,0,27,25,False
0,0,2,11,26,False
0,0,0,5,37,False
0,1,0,4,32,False
0,3,0,7,32,False
0,1,0,7,32,False
0,0,1,6,35,False
0,1,0,3,23,False
0,0,0,7,25,False
0,1,1,6,26,False
0,1,0,4,26,False
0,0,0,5,27,False
0,1,0,8,18,False
0,0,0,5,23,False
0,1,0,5,33,False
1,6,1,8,33,False
0,5,0,15,41,False
0,3,1,11,29,False
0,2,0,4,26,False
0,2,1,3,31,False
0,3,0,3,39,False
0,1,0,7,29,False
0,3,0,5,31,False
0,14,0,7,28,False
0,4,1,20,24,False
0,4,1,8,34,False
0,1,0,7,32,False
0,7,0,4,25,False
0,3,0,4,27,False
0,2,0,6,23,False
1,3,1,5,24,False
0,5,0,6,25,False
0,6,1,4,55,False
0,4,0,5,27,False
0,2,0,5,39,False
0,6,0,9,26,False
0,8,1,4,24,False
0,10,0,5,24,False
0,5,0,5,25,False
1,5,1,5,25,False
0,4,1,6,20,False
0,4,0,13,24,False
0,4,0,10,25,False
0,5,0,7,25,False
1,3,1,2,21,False
1,2,0,5,25,False
0,3,0,5,21,False
0,3,0,5,22,False
0,2,1,5,23,False
0,3,0,5,23,False
0,2,0,5,25,False
0,6,0,5,24,False
1,3,1,5,24,False
0,5,1,10,24,False
0,3,0,6,24,False
0,3,1,10,23,False
0,5,0,6,26,False
0,4,1,7,18,False
0,3,0,7,21,False
0,2,1,3,19,False
0,3,0,5,20,False
0,3,1,8,29,False
1,3,0,5,30,False
0,7,0,6,26,False
1,4,1,5,26,False
1,4,0,5,19,False
0,3,0,5,22,False
0,4,0,4,25,False
0,2,0,5,31,False
0,5,0,5,36,False
0,4,1,4,100,False
1,3,0,5,40,False
0,3,0,5,48,False
0,3,0,5,33,False
0,6,0,5,27,False
0,5,0,5,22,False
0,3,0,6,20,False
1,5,6,6,22,False
1,5,25,11,24,False
1,9,13,6,18,False
0,5,11,5,21,False
0,7,6,6,20,False
0,5,6,6,26,False
0,3,5,5,24,False
0,3,4,5,27,False
0,2,5,4,16,False
0,4,7,4,22,False
0,3,5,5,22,False
0,3,8,6,27,False
0,4,6,7,20,False
0,5,8,5,17,False
0,3,5,4,19,False
0,4,6,5,18,False
0,3,4,4,17,False
0,4,3,5,19,False
0,3,4,5,18,False
0,1,3,5,17,False
0,2,4,5,15,False
0,3,5,6,14,False
0,2,4,4,14,False
0,3,4,5,15,False
0,2,4,5,11,False
0,3,6,5,16,False
0,3,4,4,18,False
0,3,4,5,17,False
0,3,4,5,12,False
0,2,3,7,16,False
0,4,5,3,17,False
0,2,2,6,15,False
0,2,3,6,16,False
0,4,5,4,17,False
0,2,5,5,19,False
0,3,5,7,15,False
1,3,4,6,15,False
0,2,3,5,15,False
0,2,3,5,18,False
0,1,3,4,15,False
0,3,2,4,16,False
0,2,2,4,19,False
0,2,2,3,15,False
0,2,3,5,19,False
0,1,3,5,19,False
0,2,3,4,15,False
0,3,4,3,16,False
0,4,3,3,17,False
0,1,3,4,15,False
0,2,4,5,25,False
0,2,3,4,46,False
0,3,2,5,20,False
0,2,4,7,13,False
0,2,4,7,13,False
0,2,4,4,16,False
0,1,2,5,28,False
0,1,2,4,26,False
0,2,3,4,19,False
0,2,3,4,16,True
