Sarah Parcak,LZ Granderson,Rodney Mullen,Megan Kamerick,Iraola,isPartial
2,0,97,0,5,False
0,0,87,0,3,False
0,0,90,0,2,False
0,0,81,0,3,False
0,0,100,0,2,False
0,1,82,0,3,False
0,0,71,0,4,False
0,0,71,0,4,False
0,0,78,0,3,False
0,0,95,0,4,False
0,0,81,0,3,False
0,1,76,0,3,False
1,0,70,0,3,False
0,0,68,0,2,False
0,0,69,0,3,False
1,1,62,0,5,False
0,0,68,0,2,False
0,0,63,0,3,False
1,1,47,0,3,False
0,0,52,0,2,False
0,0,55,0,3,False
0,1,57,0,3,False
0,0,65,0,4,False
0,0,61,0,2,False
0,1,48,0,1,False
0,0,57,0,3,False
0,0,47,0,4,False
0,0,61,0,3,False
0,0,50,0,4,False
0,0,43,0,3,False
0,0,40,0,4,False
0,0,31,0,3,False
0,0,40,0,3,False
0,0,39,0,2,False
0,0,39,0,2,False
0,2,39,0,3,False
0,0,34,0,3,False
0,3,31,0,4,False
0,1,34,0,3,False
0,0,36,0,2,False
0,0,36,0,2,False
0,0,28,0,2,False
0,0,26,0,3,False
0,0,28,0,3,False
0,0,33,0,3,False
0,0,31,0,2,False
0,0,31,0,2,False
0,0,27,0,3,False
0,1,28,0,2,False
0,1,26,0,3,False
0,0,25,0,3,False
0,0,26,0,3,False
0,0,25,0,3,False
0,0,20,0,3,False
0,0,16,0,2,False
0,0,17,0,3,False
0,0,19,0,4,False
0,0,19,0,4,False
0,0,18,0,3,False
0,0,19,0,4,False
0,0,16,0,4,False
0,0,17,0,4,False
0,0,18,0,3,False
0,0,18,0,3,False
0,0,20,0,3,False
0,0,15,0,4,False
0,1,16,0,3,False
0,0,17,0,3,False
0,0,15,0,4,False
0,1,16,0,4,False
0,0,14,0,4,False
0,0,17,0,3,False
0,0,12,0,4,False
0,0,13,0,3,False
0,0,16,0,2,False
0,1,16,0,3,False
0,0,17,0,3,False
0,0,14,0,3,False
0,0,14,0,3,False
0,0,13,0,3,False
0,0,12,0,4,False
0,1,13,0,3,False
0,0,13,0,5,False
0,0,11,0,4,False
0,4,12,0,3,False
0,1,11,0,4,False
0,0,13,0,5,False
0,4,11,0,3,False
4,2,10,0,4,False
1,3,10,0,4,False
0,2,13,0,3,False
0,2,11,0,5,False
0,2,10,0,3,False
1,2,9,0,3,False
0,2,8,0,3,False
1,1,8,0,2,False
0,2,8,0,3,False
0,2,7,0,3,False
0,1,9,0,6,False
0,2,9,0,3,False
0,1,8,0,4,False
0,2,11,0,3,False
0,1,9,0,2,False
0,2,8,0,3,False
0,3,8,0,3,False
0,2,8,0,3,False
0,1,9,0,2,False
1,1,11,0,3,False
0,1,13,0,3,False
0,1,10,0,3,False
0,1,9,0,2,False
0,5,10,0,3,False
0,1,11,0,2,False
0,1,10,0,2,False
0,2,9,0,3,False
0,1,8,0,3,False
0,1,6,0,3,False
0,0,6,0,3,False
0,1,7,0,3,False
0,1,6,0,2,False
0,1,7,0,3,False
0,2,5,0,3,False
0,0,8,0,3,False
0,0,7,0,2,False
0,1,9,0,2,False
0,0,6,0,2,False
0,1,11,0,3,False
0,2,8,0,4,False
0,1,9,0,4,False
0,0,6,0,3,False
0,1,6,0,3,False
0,0,6,0,2,False
0,0,6,0,3,False
0,0,6,0,3,False
0,0,6,0,4,False
0,0,6,0,5,False
0,0,6,0,10,False
0,0,5,0,5,False
0,1,7,0,5,False
0,0,11,0,4,False
0,1,5,0,3,False
0,0,7,0,2,False
1,0,4,0,3,False
0,0,4,0,3,False
2,1,4,0,3,False
1,1,5,0,2,False
1,1,3,0,2,False
2,0,3,0,2,False
0,1,5,0,3,False
1,1,4,0,3,False
0,1,13,0,3,False
0,0,4,0,2,False
0,3,3,0,2,False
0,1,5,0,3,False
0,1,3,0,3,False
0,1,4,0,2,False
0,1,3,0,2,False
1,1,3,0,2,False
0,1,4,0,2,False
0,1,4,0,2,False
0,1,3,0,3,False
0,1,3,0,2,False
0,0,3,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,1,3,0,2,False
0,1,4,0,2,False
0,1,3,0,2,False
0,1,5,0,2,False
0,1,4,0,2,False
0,0,3,0,2,False
0,1,4,0,2,False
0,1,4,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,2,0,2,False
0,0,2,0,2,False
0,1,3,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,5,0,2,False
0,0,3,0,2,False
1,0,3,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,4,0,2,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,3,0,3,False
0,0,3,0,6,False
0,0,3,0,2,False
1,0,5,0,2,False
0,2,8,0,2,False
2,1,5,0,2,False
0,0,5,0,4,False
0,0,5,0,3,False
1,0,7,0,2,False
0,0,3,0,2,True
