Cynthia Breazeal,Hawa Abdi + Deqo Mohamed,Michael Pawlyn,Geert Chatrou,Iraola,isPartial
0,0,0,0,15,False
0,0,0,0,44,False
18,0,0,0,18,False
0,0,0,14,42,False
0,0,0,12,30,False
0,0,0,0,42,False
25,0,0,0,25,False
0,0,0,0,58,False
11,0,0,0,32,False
11,0,0,0,11,False
11,0,0,0,11,False
10,0,0,0,36,False
0,0,0,0,22,False
0,0,0,0,23,False
0,0,0,0,12,False
0,0,0,0,18,False
0,0,0,8,23,False
16,0,0,0,16,False
0,0,0,0,20,False
0,0,0,0,8,False
7,7,0,0,28,False
7,0,0,6,39,False
7,0,0,0,39,False
6,0,6,0,22,False
8,0,0,6,14,False
9,0,0,9,20,False
5,0,0,5,40,False
0,0,0,0,19,False
5,0,0,0,32,False
5,0,0,0,21,False
0,0,0,0,28,False
0,0,0,0,21,False
0,0,0,0,18,False
8,0,0,4,16,False
16,0,0,0,24,False
4,0,0,4,39,False
14,0,0,4,29,False
6,4,0,4,38,False
3,0,0,0,35,False
5,0,0,0,17,False
3,0,0,0,24,False
3,0,0,0,25,False
5,0,0,6,12,False
6,0,0,3,23,False
3,0,0,0,28,False
0,3,0,0,33,False
2,0,0,0,17,False
3,3,0,4,29,False
3,0,2,2,22,False
4,2,0,0,30,False
2,0,0,2,23,False
9,0,0,0,36,False
2,0,2,2,26,False
0,0,0,2,18,False
2,0,0,2,22,False
9,0,0,2,41,False
2,0,2,2,35,False
4,0,0,0,33,False
3,0,0,6,31,False
0,0,0,2,31,False
5,0,3,2,29,False
2,0,0,0,30,False
6,0,2,0,29,False
2,0,0,0,31,False
3,0,2,5,32,False
3,0,0,0,23,False
3,0,3,2,27,False
2,0,0,2,29,False
1,0,1,1,39,False
3,1,0,0,36,False
0,1,1,6,33,False
1,1,1,3,33,False
3,0,1,4,39,False
1,0,1,1,24,False
4,0,0,0,21,False
0,0,0,0,28,False
1,2,0,3,30,False
1,0,1,0,28,False
1,1,0,4,18,False
2,0,0,1,26,False
2,0,0,2,31,False
2,0,0,0,32,False
2,4,1,1,41,False
3,3,0,1,31,False
0,4,1,1,26,False
13,3,9,5,31,False
5,2,4,1,36,False
4,5,2,1,28,False
2,1,3,1,33,False
3,2,2,0,28,False
4,1,3,1,25,False
2,2,1,0,33,False
1,2,1,1,32,False
2,2,2,2,25,False
2,1,2,2,28,False
2,2,2,1,25,False
1,1,1,1,22,False
1,1,2,1,27,False
1,3,2,1,52,False
1,3,1,0,28,False
0,1,1,1,37,False
3,1,0,1,26,False
2,1,1,1,24,False
1,2,1,1,23,False
2,1,1,0,23,False
3,3,1,1,23,False
1,4,2,0,21,False
1,1,2,1,24,False
3,1,2,0,28,False
2,2,1,1,29,False
1,3,2,1,20,False
3,7,3,1,24,False
1,3,1,1,23,False
3,1,1,1,24,False
1,2,0,1,22,False
1,2,1,1,23,False
2,1,1,1,24,False
1,2,2,1,24,False
1,1,1,1,25,False
1,2,1,1,26,False
1,1,1,0,22,False
1,3,1,1,24,False
1,0,2,1,27,False
1,3,1,1,20,False
1,2,1,1,20,False
1,1,1,1,21,False
8,0,1,1,22,False
3,1,1,0,30,False
2,1,1,0,33,False
3,1,2,0,28,False
3,0,2,0,29,False
2,1,1,1,19,False
1,0,0,0,22,False
1,0,1,0,27,False
5,2,1,0,33,False
1,1,1,0,36,False
2,1,1,0,100,False
2,1,0,1,40,False
1,0,1,1,49,False
1,1,1,0,35,False
1,2,1,1,28,False
2,1,0,1,23,False
2,0,1,0,19,False
1,1,1,0,19,False
2,1,1,1,24,False
2,1,1,0,19,False
1,2,3,1,22,False
2,1,1,0,20,False
2,0,0,0,24,False
1,0,1,0,25,False
0,0,0,1,27,False
1,0,0,1,16,False
4,1,1,0,22,False
2,1,0,0,24,False
1,1,1,0,29,False
0,1,0,0,19,False
1,1,1,1,19,False
1,1,1,0,21,False
1,1,2,1,21,False
1,1,1,1,19,False
1,1,1,0,17,False
1,0,0,0,19,False
1,0,0,0,17,False
2,0,0,1,14,False
1,1,1,0,15,False
2,0,1,0,14,False
2,0,0,1,15,False
0,1,2,0,12,False
1,0,0,0,16,False
2,0,1,0,20,False
1,1,1,0,17,False
1,1,1,0,14,False
1,0,0,1,18,False
2,0,1,0,16,False
1,1,0,0,17,False
0,1,1,0,17,False
2,0,1,0,17,False
1,1,1,0,19,False
1,0,1,1,16,False
0,0,0,1,17,False
1,1,0,1,15,False
1,1,1,1,17,False
3,0,0,0,15,False
1,1,0,0,15,False
1,0,1,0,21,False
1,0,1,0,15,False
2,0,0,1,19,False
1,1,0,2,18,False
1,0,1,1,16,False
1,0,2,1,16,False
1,1,1,1,17,False
0,1,0,0,17,False
1,1,1,0,25,False
1,0,1,1,50,False
1,1,1,0,21,False
0,0,0,1,13,False
1,0,0,0,12,False
1,1,0,0,18,False
1,0,1,0,31,False
1,6,0,0,26,False
2,2,1,1,19,False
0,1,0,0,16,True
