Colin Stokes,Janine di Giovanni,Colin Powell,Steven Schwaitzberg,Iraola,isPartial
1,1,32,0,2,False
1,1,71,0,1,False
1,1,26,0,1,False
0,1,33,0,1,False
1,1,44,0,1,False
0,0,20,0,1,False
1,0,27,0,1,False
0,0,22,0,1,False
0,0,22,0,1,False
0,0,29,0,2,False
0,0,67,0,1,False
0,0,24,0,1,False
0,0,31,0,1,False
0,0,42,0,1,False
0,0,18,0,1,False
0,0,14,0,2,False
0,1,13,0,1,False
0,1,10,0,1,False
0,0,10,0,1,False
0,0,9,0,1,False
0,0,17,0,1,False
0,0,15,0,1,False
0,0,14,0,1,False
0,0,12,0,1,False
0,0,13,0,1,False
0,0,26,0,1,False
0,0,16,0,1,False
0,0,13,0,1,False
0,0,11,0,1,False
0,0,9,0,1,False
0,0,9,0,1,False
0,0,7,0,1,False
0,0,13,0,1,False
0,0,11,0,1,False
0,0,10,0,1,False
0,0,10,0,1,False
0,0,12,0,1,False
0,0,21,0,2,False
0,0,10,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,9,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,8,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,5,0,1,False
0,0,11,0,1,False
0,0,17,0,1,False
0,0,11,0,1,False
0,0,9,0,1,False
0,0,7,0,1,False
0,0,10,0,1,False
0,0,7,0,1,False
0,0,12,0,1,False
0,0,10,0,1,False
0,0,100,0,1,False
0,0,29,0,1,False
0,0,10,0,2,False
0,0,11,0,1,False
0,0,14,0,1,False
0,0,7,0,1,False
0,0,6,0,1,False
0,0,11,0,1,False
0,0,5,0,1,False
0,0,7,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,4,0,1,False
0,0,6,0,2,False
0,0,11,0,1,False
0,0,6,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,6,0,1,False
0,0,5,0,1,False
0,0,6,0,2,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,9,0,1,False
0,0,6,0,2,False
0,0,5,0,1,False
0,0,6,0,2,False
0,0,4,0,2,False
0,0,4,0,1,False
0,0,5,0,2,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,5,0,1,False
0,0,8,0,1,False
0,0,4,0,2,False
0,0,5,0,1,False
0,0,9,0,2,False
0,0,7,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,18,0,1,False
0,0,13,0,1,False
0,0,5,0,1,False
0,0,9,0,1,False
0,0,8,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,8,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,1,4,0,1,False
0,0,7,0,1,False
0,0,8,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,6,0,1,False
0,0,5,0,2,False
0,0,4,0,2,False
0,0,4,0,4,False
0,0,3,0,2,False
0,0,3,0,2,False
0,0,4,0,1,False
0,0,6,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,7,0,1,False
0,0,5,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,8,0,1,False
0,0,8,0,1,False
0,0,24,0,1,False
0,0,9,0,1,False
0,0,6,0,1,False
0,0,4,0,1,False
0,0,5,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,2,0,1,False
0,0,2,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,6,0,1,False
0,0,3,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,6,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,4,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,5,0,1,False
0,0,3,0,1,False
0,0,2,0,1,False
0,0,4,0,1,False
0,0,5,0,2,False
0,0,3,0,1,False
0,0,3,0,1,False
0,0,4,0,1,False
0,0,24,0,1,False
0,0,4,0,1,False
0,0,11,0,1,False
0,0,3,0,1,False
0,0,3,0,1,True
