Bruno Maisonnier,Jennifer Granholm,Amanda Palmer,Allan Savory,Iraola,isPartial
0,5,2,0,4,False
0,10,2,2,5,False
0,8,2,0,2,False
0,9,2,0,5,False
0,4,2,0,4,False
0,7,3,0,5,False
0,21,2,0,4,False
0,4,3,0,6,False
0,7,1,1,4,False
0,11,3,0,3,False
0,8,3,0,2,False
0,4,1,0,5,False
0,6,5,0,4,False
0,6,5,1,3,False
0,5,3,0,3,False
0,3,3,1,2,False
0,4,3,1,2,False
0,5,3,0,2,False
0,7,2,0,2,False
0,3,2,0,2,False
0,3,3,0,4,False
0,5,5,1,5,False
0,7,3,1,4,False
0,4,2,0,3,False
0,5,3,0,2,False
0,8,3,1,3,False
0,4,3,1,6,False
0,7,6,0,3,False
0,4,4,0,4,False
0,5,4,0,4,False
0,7,4,0,4,False
0,8,4,0,4,False
0,8,5,1,3,False
0,22,6,0,3,False
0,19,7,1,3,False
0,2,6,1,5,False
0,4,6,0,3,False
0,4,5,1,4,False
0,4,6,0,5,False
0,3,4,0,3,False
0,3,6,0,3,False
0,2,6,0,4,False
0,1,9,0,2,False
0,1,7,0,3,False
0,4,6,0,4,False
0,6,8,0,4,False
0,2,7,1,2,False
0,3,8,1,4,False
0,3,7,0,3,False
0,5,6,0,4,False
0,6,6,0,4,False
0,3,8,0,5,False
0,4,8,0,4,False
0,3,9,0,3,False
0,3,16,0,3,False
0,5,25,1,5,False
0,10,38,0,5,False
0,8,37,0,4,False
0,19,33,0,4,False
0,7,42,0,4,False
0,4,27,0,4,False
0,5,36,0,4,False
0,7,32,0,3,False
0,3,33,0,4,False
0,13,26,0,4,False
0,2,35,0,3,False
0,2,31,0,4,False
0,2,30,0,4,False
0,2,29,0,5,False
0,7,25,0,5,False
0,3,25,0,5,False
0,2,26,0,5,False
0,2,49,0,5,False
0,5,31,0,3,False
0,3,31,0,4,False
0,8,32,0,4,False
0,3,24,0,4,False
0,1,20,0,4,False
0,3,29,0,3,False
0,3,26,0,3,False
0,2,21,0,5,False
0,3,19,0,5,False
0,2,22,0,6,False
0,2,26,0,4,False
0,2,46,0,4,False
0,1,31,0,4,False
0,1,25,0,6,False
0,1,23,0,4,False
0,2,23,0,5,False
0,2,23,0,4,False
0,1,21,0,3,False
0,1,21,0,5,False
0,6,24,0,5,False
0,4,20,0,4,False
0,2,27,0,4,False
0,1,18,0,3,False
0,7,20,0,3,False
0,5,16,0,4,False
0,3,13,0,8,False
0,2,16,0,4,False
0,2,31,0,6,False
0,1,28,0,4,False
0,2,30,0,3,False
0,3,30,0,3,False
0,48,69,0,4,False
0,8,34,0,4,False
0,4,36,0,3,False
0,3,24,0,4,False
0,3,23,0,4,False
0,2,22,0,4,False
0,2,61,6,3,False
0,1,47,5,4,False
0,1,26,2,3,False
0,1,30,2,3,False
0,1,100,1,3,False
0,1,44,1,3,False
0,1,25,1,4,False
0,1,44,1,3,False
0,1,38,1,4,False
0,1,37,1,4,False
0,3,24,1,3,False
0,1,18,1,3,False
0,0,21,1,4,False
0,1,15,1,3,False
0,1,21,1,3,False
0,1,18,0,3,False
0,1,24,1,3,False
0,0,24,1,4,False
0,1,19,0,4,False
0,1,18,1,4,False
0,1,28,1,4,False
0,0,17,1,3,False
0,1,19,1,3,False
0,0,18,1,4,False
0,1,27,1,4,False
0,0,19,1,5,False
0,0,15,0,14,False
0,1,21,0,6,False
0,1,15,1,7,False
0,2,22,1,5,False
0,1,14,1,4,False
0,1,11,1,3,False
0,0,12,1,3,False
0,1,11,1,3,False
0,1,11,1,3,False
0,1,14,1,3,False
0,2,11,1,3,False
0,1,10,1,3,False
0,1,10,1,4,False
0,1,9,0,4,False
0,9,13,0,4,False
0,3,12,0,2,False
0,2,10,1,3,False
0,2,11,1,3,False
0,5,11,1,4,False
0,1,11,1,3,False
0,2,10,1,3,False
0,1,11,1,3,False
0,1,9,1,3,False
0,1,8,0,3,False
0,1,10,0,3,False
0,1,9,0,3,False
0,1,7,1,2,False
0,1,7,0,2,False
0,1,7,0,2,False
0,1,7,0,2,False
0,1,9,1,2,False
0,1,7,0,2,False
0,2,8,0,2,False
0,1,9,1,3,False
0,1,7,0,3,False
0,1,8,0,2,False
0,1,8,0,2,False
0,1,7,0,2,False
0,1,6,1,2,False
0,5,6,1,2,False
0,1,5,1,2,False
0,1,6,1,3,False
0,3,5,1,2,False
0,1,8,1,2,False
0,1,7,1,2,False
0,1,9,1,3,False
0,1,14,1,2,False
0,1,12,1,2,False
0,0,9,1,3,False
0,1,9,1,2,False
0,1,7,1,3,False
0,2,12,1,3,False
0,1,14,1,2,False
0,0,9,1,2,False
0,1,16,1,2,False
0,0,7,0,2,False
0,1,7,1,4,False
0,1,8,1,7,False
0,2,6,0,3,False
0,1,5,0,2,False
0,1,36,0,2,False
0,0,6,1,2,False
0,0,6,0,4,False
0,3,5,1,4,False
0,1,6,1,3,False
0,1,4,1,2,True
