Adam de la Zerda,Isaac Lidsky,Rainn Wilson,Ione Wells,Iraola,isPartial
0,0,9,0,12,False
0,0,0,0,16,False
0,0,7,0,7,False
0,0,6,0,14,False
0,5,0,0,12,False
0,0,7,0,15,False
0,5,7,0,12,False
0,0,5,0,17,False
0,0,0,0,13,False
0,0,9,0,9,False
0,0,0,0,6,False
0,0,4,0,14,False
0,0,4,0,11,False
0,0,6,0,10,False
0,0,7,0,8,False
0,0,5,0,7,False
0,3,3,0,8,False
0,0,6,0,7,False
0,3,0,0,7,False
0,0,10,0,6,False
0,0,3,0,13,False
0,3,11,0,14,False
0,0,15,3,12,False
0,0,4,0,10,False
0,0,12,0,7,False
0,0,16,0,9,False
0,0,10,0,17,False
0,2,13,0,8,False
0,0,9,0,11,False
0,0,17,0,11,False
0,2,37,0,13,False
0,0,13,0,11,False
0,2,16,0,9,False
0,0,15,0,9,False
0,0,28,0,9,False
0,0,23,0,14,False
0,0,42,2,10,False
0,0,80,0,13,False
0,0,46,0,15,False
0,0,40,0,9,False
0,0,27,0,10,False
1,1,17,0,12,False
0,0,36,0,7,False
0,0,30,1,9,False
0,2,51,0,13,False
0,1,25,0,12,False
0,0,31,0,7,False
0,1,30,1,11,False
0,0,24,0,10,False
0,2,32,0,12,False
0,0,25,0,11,False
0,1,26,0,14,False
0,3,45,0,13,False
0,1,65,0,8,False
1,6,54,0,9,False
1,2,55,0,15,False
0,1,34,0,15,False
0,1,25,0,12,False
0,0,32,0,12,False
0,1,30,0,12,False
0,1,47,0,12,False
0,0,48,0,12,False
0,0,45,0,10,False
1,1,40,0,13,False
1,1,33,0,12,False
0,1,37,0,10,False
0,0,42,0,11,False
1,1,31,0,11,False
0,1,37,0,16,False
0,1,55,0,14,False
0,1,52,0,14,False
0,0,42,0,14,False
0,0,53,0,15,False
1,1,39,0,10,False
0,1,41,0,11,False
0,1,27,0,11,False
0,1,28,0,11,False
0,1,29,0,12,False
0,1,50,0,8,False
0,0,42,0,10,False
0,0,37,0,14,False
1,0,42,0,14,False
0,0,49,0,18,False
0,0,47,0,12,False
0,0,45,0,11,False
0,0,44,0,14,False
0,0,65,0,17,False
0,1,60,0,13,False
0,0,45,0,14,False
0,1,37,0,12,False
0,1,51,0,10,False
0,0,50,0,15,False
0,0,44,0,14,False
0,0,49,0,11,False
0,0,50,0,12,False
0,0,37,0,10,False
0,0,51,0,10,False
0,0,39,0,11,False
0,0,43,0,24,False
0,0,36,0,12,False
1,0,30,0,17,False
0,0,32,0,11,False
0,0,40,0,10,False
0,0,44,0,10,False
0,0,37,0,11,False
0,0,39,0,11,False
0,0,36,0,9,False
0,1,35,0,11,False
0,0,36,0,11,False
0,0,40,0,11,False
0,0,38,0,9,False
1,0,32,0,11,False
0,0,60,0,9,False
0,0,45,0,9,False
0,0,40,0,10,False
0,0,33,0,10,False
0,0,39,0,11,False
0,0,32,0,10,False
0,0,28,0,11,False
0,0,30,0,11,False
0,0,42,0,10,False
0,0,37,0,10,False
0,0,29,0,11,False
0,0,25,0,8,False
0,0,29,0,9,False
0,0,26,0,8,False
0,0,27,0,9,False
0,0,29,0,13,False
0,0,26,0,13,False
0,0,32,0,11,False
0,0,26,0,11,False
0,0,42,0,8,False
0,0,99,0,9,False
0,0,67,0,11,False
0,0,43,0,13,False
0,0,42,4,16,False
0,0,37,6,43,False
0,0,32,1,17,False
0,0,35,0,21,False
0,0,36,0,14,False
0,0,32,0,12,False
0,0,33,0,10,False
0,0,57,0,9,False
0,1,41,0,9,False
0,0,44,0,10,False
0,0,36,0,8,False
0,0,35,0,9,False
0,0,29,0,9,False
0,0,30,0,11,False
0,0,30,0,11,False
0,0,29,0,12,False
0,0,30,0,7,False
0,0,28,0,9,False
1,4,25,1,10,False
0,2,26,0,12,False
0,1,31,0,9,False
0,4,36,0,8,False
0,2,34,0,8,False
0,4,33,0,8,False
0,2,41,0,8,False
0,4,32,0,8,False
0,1,39,0,8,False
0,1,43,0,7,False
0,1,38,0,6,False
0,1,33,0,6,False
1,1,41,0,6,False
0,1,41,0,7,False
0,0,45,0,5,False
0,1,56,0,7,False
0,1,51,0,8,False
0,1,54,1,8,False
0,2,75,0,5,False
0,0,64,0,7,False
0,1,56,0,7,False
0,2,64,0,7,False
0,1,87,0,7,False
0,1,54,0,7,False
0,1,42,0,8,False
0,1,58,0,6,False
0,1,56,0,7,False
0,1,67,0,7,False
0,1,47,0,8,False
0,1,51,0,7,False
0,1,45,0,7,False
0,0,55,0,8,False
0,0,48,0,7,False
0,1,53,0,8,False
0,1,57,0,8,False
0,0,51,0,6,False
0,0,50,0,7,False
0,0,56,0,7,False
0,0,43,0,6,False
0,0,68,0,11,False
0,0,66,0,20,False
0,0,54,0,9,False
0,0,87,0,6,False
0,0,100,0,6,False
0,0,58,0,7,False
0,0,74,0,12,False
0,1,58,0,11,False
0,1,67,0,8,False
0,0,72,0,7,True
