Ted Halstead,Wendy Troxel,T. Morgan Dixon and Vanessa Garrison,Rutger Bregman,Iraola,isPartial
9,0,0,0,9,False
0,0,0,0,25,False
0,0,0,0,10,False
8,0,0,0,24,False
0,0,0,0,17,False
0,0,0,0,24,False
0,0,0,0,15,False
0,0,0,0,34,False
6,0,0,0,19,False
0,0,0,0,6,False
6,0,0,0,6,False
0,0,0,0,21,False
10,0,0,0,13,False
0,0,0,0,14,False
5,0,0,0,7,False
0,0,0,0,10,False
5,0,0,0,14,False
0,5,0,0,9,False
5,0,0,0,12,False
4,0,0,0,4,False
4,0,0,0,16,False
0,0,0,0,23,False
0,0,0,0,23,False
0,0,0,0,13,False
3,0,0,0,8,False
3,0,0,0,12,False
0,0,0,0,23,False
0,0,0,0,11,False
0,0,0,0,18,False
0,0,0,0,12,False
0,0,0,0,16,False
0,0,0,0,12,False
3,0,0,0,11,False
0,0,0,0,10,False
0,0,0,0,14,False
0,0,0,0,23,False
2,0,0,0,17,False
0,0,0,0,22,False
0,0,0,0,20,False
2,0,0,0,10,False
2,0,0,0,14,False
0,0,0,0,14,False
5,0,0,0,7,False
0,0,0,0,14,False
0,0,0,0,16,False
1,0,0,0,19,False
0,1,0,0,10,False
0,0,0,0,17,False
1,0,0,0,13,False
0,0,0,0,17,False
1,0,0,0,14,False
1,0,0,0,21,False
1,0,0,0,15,False
1,0,0,0,10,False
0,0,0,0,13,False
1,0,0,0,24,False
1,0,0,0,21,False
0,0,0,0,19,False
0,0,0,0,18,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,18,False
0,0,0,0,17,False
0,0,0,0,18,False
0,0,0,0,19,False
0,0,0,0,13,False
0,0,0,0,16,False
1,0,0,0,17,False
2,0,0,0,23,False
0,0,0,0,21,False
0,1,0,0,20,False
0,0,0,0,19,False
1,1,0,0,23,False
2,0,0,0,14,False
1,0,0,0,12,False
0,0,0,0,16,False
1,0,0,0,17,False
0,0,0,0,16,False
0,0,0,0,11,False
1,1,0,0,15,False
1,0,0,0,18,False
1,0,0,0,19,False
0,0,0,1,24,False
1,1,0,0,18,False
1,0,0,0,15,False
0,1,0,1,18,False
1,0,0,0,21,False
1,0,0,0,16,False
1,0,0,0,19,False
1,0,0,0,16,False
0,1,0,1,14,False
1,1,0,0,19,False
0,0,0,0,19,False
1,0,0,0,14,False
0,0,0,0,16,False
0,0,0,1,15,False
0,0,0,1,13,False
1,0,0,1,16,False
0,0,0,1,30,False
0,0,0,1,16,False
0,0,0,0,22,False
0,0,0,0,15,False
0,0,0,0,14,False
0,0,0,0,13,False
1,0,0,0,13,False
0,0,0,1,14,False
0,0,0,0,12,False
0,0,0,1,14,False
0,0,0,1,16,False
0,0,0,1,17,False
0,0,0,2,11,False
0,0,0,1,14,False
0,0,0,1,13,False
0,0,0,1,14,False
0,0,0,2,13,False
0,0,0,1,13,False
0,0,0,0,14,False
0,0,0,1,14,False
0,0,0,1,15,False
0,0,0,1,15,False
0,0,0,3,13,False
0,1,0,6,14,False
0,0,0,2,16,False
0,0,0,1,11,False
0,0,0,1,12,False
0,0,0,1,12,False
0,0,0,1,13,False
0,0,0,0,18,False
0,0,0,4,19,False
1,0,0,4,17,False
0,0,0,2,17,False
1,0,0,2,11,False
1,0,0,2,13,False
0,0,0,3,16,False
0,0,0,3,19,False
0,0,0,1,21,False
0,0,0,2,58,False
0,0,0,2,23,False
0,0,0,1,29,False
1,0,0,2,20,False
0,0,0,2,17,False
0,0,0,1,13,False
0,0,0,1,11,False
0,0,0,1,11,False
0,0,0,1,14,False
0,0,0,1,11,False
0,0,0,1,13,False
0,0,0,1,12,False
0,0,0,1,14,False
0,0,0,1,15,False
0,0,0,1,16,False
1,0,0,1,9,False
0,0,0,2,13,False
0,0,0,1,14,False
0,0,0,2,17,False
0,0,0,2,11,False
0,0,0,2,11,False
1,0,0,2,12,False
1,0,0,10,12,False
1,0,0,5,11,False
1,1,0,4,10,False
1,1,0,3,11,False
1,1,0,3,10,False
0,0,0,2,8,False
1,1,0,11,9,False
0,0,0,5,8,False
0,1,0,3,9,False
0,0,0,3,7,False
0,0,0,4,9,False
1,0,0,3,12,False
1,0,0,3,10,False
0,1,0,3,8,False
0,0,0,3,11,False
0,0,0,2,9,False
0,1,0,1,10,False
0,0,0,4,10,False
0,0,0,2,10,False
0,0,0,3,11,False
0,0,0,6,9,False
0,0,0,4,10,False
0,0,0,19,9,False
0,0,0,100,10,False
0,0,0,34,9,False
0,0,0,14,9,False
0,0,0,7,13,False
0,0,0,10,9,False
0,0,0,8,11,False
0,0,0,8,10,False
1,0,0,20,9,False
0,1,0,12,10,False
0,0,0,11,10,False
0,0,0,12,10,False
0,0,0,24,15,False
0,0,0,18,29,False
0,0,0,21,12,False
0,1,0,20,8,False
0,0,0,42,7,False
0,0,0,29,10,False
0,0,0,26,18,False
0,0,0,18,15,False
4,0,0,18,11,False
1,0,0,15,9,True
