Antony Gormley,Jonathan Trent,Kent Larson,Scott Fraser,Iraola,isPartial
52,0,14,19,42,False
56,0,0,35,23,False
52,0,17,41,17,False
77,0,0,23,27,False
62,23,12,31,19,False
35,12,23,17,23,False
29,12,25,30,33,False
40,0,23,34,34,False
42,10,31,52,28,False
57,11,37,18,35,False
54,21,21,25,29,False
50,10,26,36,30,False
46,9,23,23,23,False
64,9,31,18,21,False
33,8,23,25,25,False
46,9,22,26,40,False
43,8,15,25,18,False
25,8,20,18,28,False
62,12,10,15,26,False
25,0,20,33,17,False
45,0,18,14,27,False
48,6,23,25,23,False
40,6,19,27,31,False
27,6,19,48,17,False
40,6,7,29,13,False
39,6,15,36,28,False
23,12,19,29,34,False
28,5,19,19,24,False
27,5,14,25,33,False
43,8,18,40,30,False
22,5,15,27,33,False
18,9,21,41,23,False
35,5,19,21,24,False
63,4,14,29,21,False
53,8,10,26,16,False
39,4,10,24,28,False
31,4,7,33,27,False
42,5,7,32,35,False
33,5,9,33,30,False
32,6,7,38,18,False
100,5,9,31,15,False
74,6,9,27,22,False
46,12,9,37,25,False
61,5,11,30,24,False
40,3,7,22,31,False
49,5,6,30,21,False
40,5,6,27,21,False
27,4,6,25,27,False
35,5,5,29,22,False
35,2,9,20,23,False
43,7,8,35,27,False
24,3,4,27,26,False
27,2,6,25,31,False
30,4,9,31,26,False
24,4,8,36,18,False
20,3,6,25,30,False
34,4,5,30,33,False
30,3,5,28,32,False
32,2,5,27,31,False
20,4,4,34,34,False
31,5,8,32,33,False
35,3,7,26,33,False
37,3,6,28,23,False
33,3,4,38,26,False
30,3,2,28,26,False
24,2,6,36,32,False
58,5,8,33,23,False
40,3,5,28,25,False
53,8,2,32,34,False
65,3,6,24,32,False
62,4,6,38,33,False
35,3,4,37,28,False
52,5,2,31,39,False
48,4,2,28,26,False
65,3,4,27,22,False
70,5,5,26,25,False
52,4,4,30,24,False
52,6,5,22,28,False
36,2,4,27,26,False
40,2,3,33,26,False
46,2,3,25,33,False
39,3,4,28,28,False
35,3,5,25,41,False
25,4,4,28,32,False
34,4,4,23,27,False
37,3,4,25,33,False
42,4,6,25,43,False
32,4,3,19,27,False
35,4,5,25,36,False
32,5,2,22,34,False
18,5,4,26,25,False
31,6,4,24,45,False
41,3,4,22,30,False
39,2,3,23,27,False
43,3,3,18,27,False
29,4,3,23,22,False
32,5,4,23,27,False
35,3,3,22,27,False
30,2,4,23,52,False
24,2,2,21,29,False
48,3,4,21,38,False
33,2,3,18,28,False
28,5,4,21,22,False
31,4,4,18,25,False
41,12,5,22,30,False
35,4,4,19,23,False
37,3,2,25,20,False
27,4,4,23,26,False
31,3,3,23,24,False
28,2,4,22,23,False
31,3,4,20,22,False
27,4,2,22,22,False
29,2,5,20,20,False
22,3,2,24,21,False
17,3,3,22,24,False
17,3,3,21,23,False
30,3,4,22,23,False
28,3,4,20,23,False
31,3,4,19,23,False
23,2,3,22,20,False
27,3,3,21,23,False
34,3,3,20,24,False
34,3,3,17,27,False
30,3,3,18,18,False
25,3,4,18,20,False
26,3,3,18,20,False
17,3,3,15,23,False
22,3,3,21,31,False
28,4,4,19,33,False
28,3,3,17,24,False
30,3,2,18,26,False
20,3,3,18,20,False
23,3,2,14,23,False
25,2,2,19,24,False
29,2,2,15,36,False
30,2,2,18,40,False
31,3,2,16,89,False
28,3,2,18,40,False
24,2,3,19,46,False
21,4,2,17,33,False
26,2,2,15,28,False
31,2,1,16,20,False
55,2,3,16,25,False
21,3,2,19,22,False
24,3,3,17,25,False
23,3,2,18,18,False
27,2,1,16,22,False
22,3,2,20,20,False
28,2,2,19,30,False
20,2,3,15,26,False
16,2,3,19,27,False
16,2,3,16,17,False
24,2,2,13,22,False
29,3,1,14,23,False
25,3,2,16,27,False
14,2,2,16,21,False
17,1,2,16,15,False
20,2,2,16,19,False
25,2,2,14,18,False
22,2,1,13,19,False
20,3,2,16,23,False
18,2,1,13,17,False
18,3,1,16,18,False
17,2,1,13,16,False
23,3,2,12,14,False
28,3,2,13,17,False
21,2,2,16,15,False
15,6,1,14,14,False
19,2,2,16,17,False
24,2,1,15,15,False
24,2,2,11,16,False
23,2,2,14,15,False
21,2,1,17,15,False
22,2,2,13,14,False
17,2,2,15,14,False
19,2,2,16,17,False
22,2,3,11,19,False
20,2,1,12,20,False
20,2,1,14,17,False
14,2,2,11,17,False
33,3,2,14,14,False
21,2,1,13,18,False
20,2,2,16,14,False
23,1,1,12,18,False
22,2,2,15,19,False
24,3,2,14,15,False
17,2,2,13,18,False
18,2,1,16,17,False
55,3,1,13,16,False
69,2,1,11,15,False
83,2,1,12,15,False
28,2,1,12,16,False
30,2,1,13,25,False
21,2,1,13,50,False
19,2,1,10,22,False
19,2,1,12,16,False
24,2,2,12,13,False
18,1,1,16,16,False
20,2,1,16,32,False
15,2,1,16,24,False
18,2,1,17,19,False
15,2,1,14,17,True
