Romulus Whitaker,Herbie Hancock,Randy Pausch,Robert Sapolsky,Iraola,isPartial
0,5,0,0,1,False
0,6,0,0,1,False
0,4,0,0,0,False
0,5,0,0,1,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,1,False
0,3,0,0,1,False
0,5,0,1,1,False
0,5,0,0,0,False
0,4,1,0,0,False
0,4,0,0,1,False
0,5,0,0,0,False
0,7,0,0,0,False
0,5,0,0,0,False
0,6,0,0,0,False
0,6,0,0,0,False
0,5,0,0,0,False
0,4,0,0,0,False
0,6,0,0,0,False
0,9,0,0,1,False
0,8,0,0,1,False
0,6,0,0,1,False
0,6,0,0,0,False
0,5,0,0,0,False
0,5,0,0,0,False
0,4,0,0,1,False
0,5,0,0,0,False
0,5,0,0,0,False
0,5,0,0,1,False
0,4,0,0,1,False
0,4,0,0,0,False
0,3,0,0,0,False
0,5,0,0,0,False
0,6,0,0,0,False
0,3,0,0,1,False
0,4,0,0,0,False
0,4,0,0,1,False
0,4,0,0,1,False
0,4,0,0,0,False
0,4,0,0,0,False
0,4,0,0,1,False
0,3,0,0,0,False
0,3,0,0,0,False
0,4,10,0,1,False
0,5,16,0,1,False
0,4,7,0,0,False
0,4,6,0,1,False
0,4,7,0,0,False
0,15,19,0,1,False
0,5,28,0,1,False
0,4,55,0,1,False
0,5,42,0,1,False
0,6,37,0,0,False
0,5,100,0,0,False
0,4,30,0,1,False
0,4,15,0,1,False
0,5,10,0,1,False
0,5,7,0,1,False
0,4,7,0,1,False
0,4,7,0,1,False
0,4,6,0,1,False
0,3,4,0,0,False
0,3,5,0,1,False
0,3,6,0,1,False
0,3,5,0,0,False
0,4,4,0,0,False
0,3,4,0,1,False
0,3,4,0,1,False
0,3,3,0,1,False
0,3,3,0,1,False
0,4,3,0,1,False
0,3,4,0,1,False
0,3,3,0,0,False
0,3,3,0,0,False
0,3,3,0,1,False
0,4,2,0,1,False
0,6,2,0,1,False
0,6,3,0,0,False
0,5,3,0,0,False
0,4,3,0,1,False
0,5,3,0,1,False
0,5,2,0,1,False
0,4,3,0,1,False
0,4,2,0,1,False
0,4,2,0,1,False
0,4,2,0,1,False
0,4,2,0,1,False
0,3,2,0,1,False
0,3,2,0,1,False
0,3,2,0,0,False
0,3,2,0,1,False
0,3,2,0,1,False
0,3,3,0,0,False
0,3,2,0,1,False
0,4,2,0,0,False
0,3,2,0,0,False
0,3,2,0,0,False
0,3,1,0,1,False
0,3,1,0,1,False
0,3,2,0,1,False
0,3,1,0,0,False
0,3,2,0,0,False
0,3,1,0,0,False
0,2,2,0,0,False
0,3,1,0,0,False
0,3,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,3,1,0,0,False
0,3,1,0,0,False
0,2,1,0,0,False
0,3,1,0,0,False
0,3,1,0,0,False
0,3,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,4,1,0,0,False
0,3,1,0,0,False
0,2,1,0,0,False
0,2,1,0,1,False
0,3,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,1,False
0,2,1,0,1,False
0,3,1,0,1,False
0,3,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,3,1,0,0,False
0,3,1,0,1,False
0,3,1,0,1,False
0,2,1,0,2,False
0,2,1,0,1,False
0,2,0,0,1,False
0,2,1,0,1,False
0,2,1,0,1,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,1,0,1,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,1,1,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,0,1,0,False
0,2,0,0,0,False
0,3,0,0,0,False
0,2,0,1,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,1,0,0,False
0,2,1,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,1,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,2,0,0,0,False
0,1,0,0,1,False
0,1,0,0,1,False
0,1,0,0,0,False
0,1,0,0,0,True
