Robb Willer,Paul Knoepfler,Jeanne Gang,Caleb Barlow,Iraola,isPartial
0,0,14,14,28,False
0,0,0,0,37,False
0,17,0,0,17,False
0,0,13,0,31,False
0,0,0,0,27,False
11,0,12,0,35,False
0,0,12,0,28,False
0,0,22,0,39,False
0,0,14,0,31,False
0,0,0,0,21,False
0,0,0,0,14,False
0,0,20,0,33,False
0,0,0,0,26,False
0,0,0,0,23,False
0,0,0,8,18,False
0,9,17,0,17,False
0,0,0,0,17,False
0,0,0,0,15,False
0,0,15,0,15,False
11,0,0,0,15,False
0,0,7,0,29,False
9,0,6,0,31,False
6,0,6,0,27,False
6,0,0,0,23,False
0,5,0,0,16,False
6,0,6,0,20,False
0,0,14,0,38,False
0,5,5,0,19,False
0,0,7,0,25,False
0,0,0,5,26,False
0,0,7,0,29,False
0,5,5,0,24,False
4,4,4,0,20,False
0,0,7,0,20,False
4,0,0,0,21,False
0,0,6,0,32,False
7,0,3,0,23,False
4,0,4,0,30,False
0,3,6,0,34,False
0,0,3,3,21,False
0,0,3,0,22,False
3,3,3,0,28,False
3,3,6,0,16,False
3,0,3,3,21,False
0,0,3,0,30,False
0,0,2,0,27,False
5,2,2,2,16,False
0,0,3,0,26,False
2,0,2,0,22,False
2,0,2,0,27,False
2,0,2,0,26,False
0,0,2,0,32,False
2,0,2,2,29,False
2,0,3,0,18,False
2,0,3,2,21,False
2,0,3,0,34,False
0,0,3,0,33,False
2,2,5,0,29,False
0,0,3,0,28,False
0,0,2,0,27,False
2,0,3,0,28,False
3,0,2,0,29,False
2,2,3,0,23,False
3,2,4,0,29,False
2,0,2,2,28,False
2,0,2,2,23,False
2,0,3,0,25,False
0,0,2,2,26,False
1,0,2,0,37,False
0,0,2,0,32,False
1,0,3,0,32,False
4,0,4,1,32,False
0,0,5,0,35,False
1,0,9,0,23,False
2,0,3,0,25,False
2,1,3,0,26,False
2,0,4,1,26,False
1,0,2,0,27,False
1,0,3,0,18,False
1,0,3,0,23,False
1,0,3,0,33,False
0,1,3,0,33,False
2,0,3,0,41,False
2,0,1,1,29,False
1,0,1,0,26,False
0,2,1,1,31,False
2,0,2,1,39,False
1,0,4,0,29,False
1,0,4,1,31,False
1,0,2,0,28,False
1,1,2,0,24,False
1,1,1,1,34,False
1,1,19,0,32,False
2,1,7,2,25,False
1,1,7,1,27,False
1,2,5,0,23,False
1,1,2,1,24,False
1,1,3,0,25,False
1,1,3,1,55,False
1,1,2,0,27,False
2,1,3,0,39,False
1,1,3,1,26,False
2,0,2,0,24,False
1,1,3,0,24,False
1,0,6,0,25,False
1,0,6,1,25,False
1,1,4,0,20,False
1,1,2,0,24,False
1,1,5,1,25,False
1,0,4,1,25,False
1,1,4,1,21,False
1,1,2,1,25,False
1,1,3,0,21,False
1,1,2,0,22,False
1,1,3,1,23,False
1,1,2,1,23,False
1,1,3,1,25,False
1,1,3,1,24,False
1,2,2,0,24,False
1,1,1,1,24,False
1,1,3,0,24,False
1,2,4,0,23,False
1,2,2,0,26,False
1,1,2,0,18,False
0,1,5,0,21,False
1,1,4,1,19,False
1,1,6,0,20,False
1,1,4,0,29,False
0,1,2,0,30,False
1,1,1,0,26,False
1,1,2,1,26,False
1,1,5,0,19,False
0,1,2,0,22,False
1,1,3,0,25,False
1,1,2,0,31,False
1,1,5,0,36,False
1,0,3,0,100,False
0,0,3,0,40,False
0,1,2,0,48,False
1,1,2,0,33,False
1,0,4,0,27,False
1,0,4,1,22,False
1,1,6,0,20,False
0,1,2,1,22,False
1,0,3,0,24,False
1,0,3,0,18,False
1,1,4,0,21,False
0,0,3,0,20,False
1,0,3,0,26,False
1,0,3,0,24,False
0,1,2,0,27,False
0,0,2,0,16,False
0,2,4,0,22,False
1,0,2,0,22,False
1,1,3,0,27,False
1,0,3,0,20,False
1,1,3,1,17,False
2,1,6,1,19,False
1,1,5,1,18,False
1,1,4,0,17,False
1,1,5,0,19,False
0,1,3,0,18,False
1,0,5,0,17,False
0,1,4,0,15,False
1,1,5,1,14,False
1,1,4,1,14,False
1,1,2,0,15,False
1,1,2,0,11,False
1,1,3,0,16,False
0,1,4,0,18,False
1,0,3,0,17,False
1,0,3,1,12,False
0,1,5,0,16,False
0,1,2,0,17,False
1,0,4,0,15,False
1,1,2,0,16,False
1,1,4,0,17,False
1,1,3,0,19,False
1,1,3,0,15,False
0,1,2,1,15,False
1,1,4,0,15,False
1,1,3,0,18,False
0,0,6,0,15,False
1,1,7,0,16,False
1,0,4,1,19,False
0,1,4,1,15,False
1,0,3,0,19,False
1,0,4,0,19,False
1,0,6,0,15,False
1,1,4,0,16,False
0,0,3,0,17,False
1,1,3,0,15,False
0,0,3,0,25,False
1,1,3,0,46,False
0,1,2,0,20,False
1,0,2,0,13,False
1,0,2,0,13,False
1,1,2,0,16,False
0,1,3,0,28,False
0,0,3,0,26,False
1,1,4,0,19,False
1,0,3,0,16,True
