Joel Levine,Robert Gupta,Patsy Rodenburg,Kevin Bales,Iraola,isPartial
0,0,0,14,28,False
0,0,21,14,37,False
34,17,0,0,17,False
13,27,0,13,31,False
12,11,0,12,27,False
23,0,11,12,35,False
12,0,0,12,28,False
17,0,11,17,39,False
0,21,0,10,31,False
16,10,0,21,21,False
11,11,11,32,14,False
20,10,0,10,33,False
13,17,9,17,26,False
0,0,0,12,23,False
11,8,8,15,18,False
17,13,0,17,17,False
11,7,7,7,17,False
7,15,7,11,15,False
8,15,0,8,15,False
11,7,0,7,15,False
7,7,0,0,29,False
6,19,6,12,31,False
6,9,6,13,27,False
10,0,0,6,23,False
7,5,0,0,16,False
6,6,6,6,20,False
7,5,9,7,38,False
5,5,0,10,19,False
5,5,5,19,25,False
7,5,10,5,26,False
10,5,5,7,29,False
9,7,5,5,24,False
4,4,0,4,20,False
7,4,4,12,20,False
0,4,0,6,21,False
4,4,4,10,32,False
5,7,7,0,23,False
7,4,4,5,30,False
6,7,4,3,34,False
7,0,0,6,21,False
3,7,3,8,22,False
3,3,9,7,28,False
5,3,4,3,16,False
6,6,0,3,21,False
3,5,5,5,30,False
4,5,2,4,27,False
0,2,2,7,16,False
4,5,4,5,26,False
4,3,2,4,22,False
2,3,3,3,27,False
5,2,2,5,26,False
2,2,2,8,32,False
5,5,5,6,29,False
4,3,4,4,18,False
6,6,2,6,21,False
5,4,2,3,34,False
8,3,2,6,33,False
2,3,3,5,29,False
5,4,5,3,28,False
6,2,0,2,27,False
2,9,3,3,28,False
3,5,3,3,29,False
2,6,5,6,23,False
2,3,2,5,29,False
4,2,2,4,28,False
3,2,2,7,23,False
5,2,3,0,25,False
2,3,4,4,26,False
2,3,5,6,37,False
3,3,2,4,32,False
3,4,3,6,32,False
2,2,3,4,32,False
3,3,2,4,35,False
3,3,5,7,23,False
1,6,4,6,25,False
2,6,5,7,26,False
2,8,3,5,26,False
2,4,4,2,27,False
4,3,2,3,18,False
3,4,2,4,23,False
2,5,3,4,33,False
3,2,2,4,33,False
3,1,2,5,41,False
1,3,3,5,29,False
3,2,3,4,26,False
2,2,3,5,31,False
2,2,5,3,39,False
2,2,2,5,29,False
2,5,3,3,31,False
3,4,3,4,28,False
1,3,3,2,24,False
3,5,1,3,34,False
4,3,4,3,32,False
3,3,2,6,25,False
2,2,2,3,27,False
3,2,3,1,23,False
3,3,4,1,24,False
2,1,2,2,25,False
4,3,35,4,55,False
5,5,4,5,27,False
3,3,3,2,39,False
3,4,2,2,26,False
2,2,3,2,24,False
2,3,4,2,24,False
3,4,3,2,25,False
2,6,4,4,25,False
1,4,2,4,20,False
3,3,2,2,24,False
3,4,2,2,25,False
2,4,3,4,25,False
3,2,2,3,21,False
5,2,2,5,25,False
2,4,3,2,21,False
2,3,2,2,22,False
1,3,3,1,23,False
1,2,2,1,23,False
2,3,1,2,25,False
2,3,2,2,24,False
3,4,2,4,24,False
2,3,1,3,24,False
3,1,1,1,24,False
2,1,2,3,23,False
2,2,2,2,26,False
2,3,1,2,18,False
5,2,3,2,21,False
2,3,2,2,19,False
3,2,2,2,20,False
2,2,2,1,29,False
2,3,2,1,30,False
3,3,2,2,26,False
1,2,1,3,26,False
2,2,1,2,19,False
2,2,3,1,22,False
2,2,3,2,25,False
3,4,2,1,31,False
2,1,2,3,36,False
2,1,1,1,100,False
2,2,2,1,40,False
2,2,1,1,48,False
3,2,2,1,33,False
3,2,2,2,27,False
1,3,2,2,22,False
2,2,2,3,20,False
2,2,1,2,22,False
2,2,3,4,24,False
1,2,3,3,18,False
2,2,2,2,21,False
2,3,1,1,20,False
2,3,1,2,26,False
1,2,2,1,24,False
2,3,2,1,27,False
2,1,2,1,16,False
2,2,2,2,22,False
2,1,2,2,22,False
2,3,2,2,27,False
2,1,2,2,20,False
2,2,3,1,17,False
2,2,1,1,19,False
2,1,2,1,18,False
2,2,1,1,17,False
2,2,2,1,19,False
2,2,2,2,18,False
1,1,1,1,17,False
1,2,2,2,15,False
1,1,1,2,14,False
1,2,1,3,14,False
2,3,2,2,15,False
2,2,2,2,11,False
2,2,2,2,16,False
2,3,2,2,18,False
1,2,2,2,17,False
1,3,2,1,12,False
1,2,2,2,16,False
2,2,1,1,17,False
1,3,2,1,15,False
1,2,1,1,16,False
1,1,1,3,17,False
2,2,2,1,19,False
1,2,1,1,15,False
1,1,1,1,15,False
1,1,2,1,15,False
2,2,1,1,18,False
1,1,1,1,15,False
1,2,1,1,16,False
1,2,1,1,19,False
1,3,2,0,15,False
1,1,2,1,19,False
1,2,2,1,19,False
1,1,2,1,15,False
1,2,1,1,16,False
1,2,1,2,17,False
1,2,1,1,15,False
1,1,1,1,25,False
2,2,1,2,46,False
1,3,1,1,20,False
1,3,1,1,13,False
1,1,0,1,13,False
1,2,0,1,16,False
0,3,1,1,28,False
1,2,1,1,26,False
1,3,1,1,19,False
1,2,1,1,16,True
