Alex Wissner-Gross,David Puttnam,Leyla Acaroglu,Chris McKnett,Iraola,isPartial
0,14,0,0,28,False
0,14,0,0,37,False
0,26,0,0,17,False
0,27,0,0,31,False
0,23,0,11,27,False
0,11,0,0,35,False
12,12,0,0,28,False
11,11,0,0,39,False
0,10,0,0,31,False
0,21,0,11,21,False
0,11,0,0,14,False
0,0,0,0,33,False
9,9,0,0,26,False
0,9,0,0,23,False
0,8,0,0,18,False
0,17,0,8,17,False
0,7,0,0,17,False
7,7,0,0,15,False
0,8,0,0,15,False
0,7,0,0,15,False
0,13,0,0,29,False
0,12,0,0,31,False
0,6,0,0,27,False
0,0,0,0,23,False
0,8,0,0,16,False
0,15,0,0,20,False
0,5,0,0,38,False
0,10,0,0,19,False
0,9,0,0,25,False
0,10,0,0,26,False
0,5,0,0,29,False
0,5,0,0,24,False
0,4,0,0,20,False
0,12,0,0,20,False
0,10,0,0,21,False
0,10,0,0,32,False
3,7,0,0,23,False
0,7,0,0,30,False
0,3,0,0,34,False
0,5,0,0,21,False
0,3,0,0,22,False
0,4,0,0,28,False
0,0,0,0,16,False
0,8,0,0,21,False
0,3,0,0,30,False
0,2,0,0,27,False
0,2,0,0,16,False
0,8,0,0,26,False
0,3,0,0,22,False
0,3,0,0,27,False
0,3,0,0,26,False
0,5,0,0,32,False
0,2,0,2,29,False
2,5,0,0,18,False
0,0,0,0,21,False
0,4,0,0,34,False
0,4,0,0,33,False
0,2,0,0,29,False
0,2,0,0,28,False
0,2,0,0,27,False
15,2,0,0,28,False
3,6,0,0,29,False
2,5,0,0,23,False
3,3,0,0,29,False
2,6,0,0,28,False
2,3,0,0,23,False
2,3,0,0,25,False
0,4,0,0,26,False
0,4,0,1,37,False
1,2,0,0,32,False
0,5,0,0,32,False
1,3,0,0,32,False
2,3,0,0,35,False
0,3,0,0,23,False
0,3,0,0,25,False
1,2,0,0,26,False
1,2,0,0,26,False
1,3,0,0,27,False
0,6,0,1,18,False
0,3,0,0,23,False
0,1,0,0,33,False
0,3,0,0,33,False
1,2,0,0,41,False
0,2,0,0,29,False
1,3,1,0,26,False
0,1,0,0,31,False
0,2,0,0,39,False
1,2,0,0,29,False
0,3,0,0,31,False
0,1,0,0,28,False
0,1,1,0,24,False
1,1,1,0,34,False
0,2,0,0,32,False
1,2,0,0,25,False
0,3,0,0,27,False
1,2,0,0,23,False
0,2,1,0,24,False
1,1,0,0,25,False
0,3,0,0,55,False
1,2,0,0,27,False
1,2,1,1,39,False
0,1,1,0,26,False
0,3,0,0,24,False
0,3,0,0,24,False
0,2,1,0,25,False
0,2,0,0,25,False
1,1,0,0,20,False
0,4,0,0,24,False
0,2,1,0,25,False
0,3,1,0,25,False
0,1,1,0,21,False
1,2,0,0,25,False
1,3,1,0,21,False
1,2,1,0,22,False
1,1,1,0,23,False
1,2,1,0,23,False
1,2,1,0,25,False
0,3,0,0,24,False
1,2,0,0,24,False
1,2,0,0,24,False
1,3,0,0,24,False
7,5,8,2,23,False
2,3,2,1,26,False
1,2,1,0,18,False
0,2,1,1,21,False
1,3,1,1,19,False
1,5,1,1,20,False
1,4,0,1,29,False
1,3,1,0,30,False
1,2,0,0,26,False
1,4,1,0,26,False
0,1,0,0,19,False
0,2,0,0,22,False
1,2,0,0,25,False
0,1,2,0,31,False
0,2,1,0,36,False
0,2,1,0,100,False
0,2,1,0,40,False
0,2,1,0,48,False
0,2,1,0,33,False
0,1,1,0,27,False
1,3,0,1,22,False
0,5,1,1,20,False
0,1,1,0,22,False
0,1,0,0,24,False
0,1,0,0,18,False
0,1,1,0,21,False
0,1,1,0,20,False
0,1,1,0,26,False
0,1,1,0,24,False
0,1,0,0,27,False
0,1,0,0,16,False
0,2,1,0,22,False
0,1,0,0,22,False
0,3,1,0,27,False
0,1,0,0,20,False
0,1,1,0,17,False
0,1,3,0,19,False
0,1,2,0,18,False
0,2,1,1,17,False
0,2,1,0,19,False
0,2,0,0,18,False
0,1,1,0,17,False
0,2,0,0,15,False
0,2,1,0,14,False
1,2,1,0,14,False
0,1,1,0,15,False
0,1,2,0,11,False
0,2,0,0,16,False
0,1,1,0,18,False
0,1,0,0,17,False
0,1,0,0,12,False
0,2,2,0,16,False
0,1,1,0,17,False
0,2,0,0,15,False
1,1,0,0,16,False
0,1,1,1,17,False
0,2,1,0,19,False
0,2,1,0,15,False
0,2,1,0,15,False
0,2,1,0,15,False
0,1,1,0,18,False
0,2,1,0,15,False
0,1,1,0,16,False
0,1,1,0,19,False
0,2,1,0,15,False
0,0,1,0,19,False
0,1,1,0,19,False
0,1,1,0,15,False
0,2,1,0,16,False
0,1,1,0,17,False
0,1,0,0,15,False
0,2,0,0,25,False
0,1,1,1,46,False
0,0,1,0,20,False
0,1,1,0,13,False
0,1,0,0,13,False
0,1,0,0,16,False
0,1,1,0,28,False
0,1,1,0,26,False
0,1,0,0,19,False
0,1,1,1,16,True
