Jude Kelly,Joy Buolamwini,John Koenig,Caitlin Doughty,Iraola,isPartial
14,0,0,0,28,False
14,0,14,0,37,False
26,0,17,0,17,False
20,0,13,0,31,False
17,0,11,0,27,False
11,0,31,0,35,False
16,0,42,0,28,False
11,0,22,0,39,False
15,0,31,0,31,False
21,0,0,0,21,False
11,0,0,0,14,False
13,0,23,0,33,False
17,0,17,0,26,False
18,0,18,0,23,False
19,0,11,0,18,False
8,0,8,8,17,False
11,0,0,0,17,False
10,0,15,0,15,False
20,0,10,0,15,False
25,0,0,0,15,False
13,0,10,0,29,False
13,0,10,0,31,False
19,0,13,0,27,False
8,0,12,0,23,False
9,0,11,0,16,False
9,0,17,6,20,False
7,0,10,0,38,False
5,0,10,0,19,False
9,0,7,0,25,False
12,0,12,0,26,False
8,0,10,0,29,False
5,0,15,0,24,False
9,0,17,4,20,False
14,0,11,4,20,False
10,0,6,0,21,False
9,0,11,0,32,False
3,0,10,0,23,False
7,0,7,0,30,False
9,0,6,0,34,False
8,0,11,0,21,False
10,0,10,0,22,False
9,0,7,0,28,False
4,0,9,0,16,False
7,0,11,0,21,False
4,0,8,0,30,False
2,0,11,0,27,False
6,0,11,0,16,False
7,0,6,0,26,False
3,0,5,0,22,False
5,0,7,0,27,False
4,0,2,0,26,False
5,0,6,0,32,False
6,0,8,0,29,False
4,0,6,2,18,False
3,0,6,0,21,False
6,0,10,0,34,False
8,0,6,0,33,False
4,0,6,0,29,False
5,0,3,0,28,False
4,0,4,0,27,False
3,0,6,0,28,False
6,0,7,0,29,False
7,0,6,0,23,False
7,0,7,0,29,False
6,2,7,0,28,False
4,0,4,2,23,False
6,0,7,0,25,False
5,0,5,0,26,False
6,0,5,0,37,False
6,0,4,0,32,False
3,0,2,0,32,False
8,0,3,0,32,False
10,0,4,0,35,False
7,0,18,0,23,False
9,0,7,0,25,False
7,0,5,0,26,False
4,0,5,0,26,False
4,0,4,0,27,False
7,0,4,0,18,False
5,0,5,0,23,False
5,0,5,0,33,False
5,0,5,0,33,False
3,1,4,0,41,False
4,0,5,0,29,False
4,0,5,0,26,False
3,0,5,1,31,False
5,0,4,0,39,False
3,0,7,0,29,False
2,0,4,0,31,False
3,0,4,0,28,False
3,0,5,1,24,False
3,0,7,0,34,False
5,0,4,0,32,False
3,0,4,1,25,False
4,0,3,1,27,False
5,0,3,0,23,False
6,1,3,0,24,False
5,0,4,0,25,False
6,1,3,0,55,False
8,0,5,1,27,False
4,0,4,0,39,False
3,0,4,0,26,False
4,0,6,1,24,False
5,0,4,0,24,False
5,0,4,1,25,False
4,0,5,1,25,False
5,2,4,2,20,False
4,0,5,1,24,False
5,1,5,1,25,False
6,0,5,1,25,False
6,0,4,1,21,False
9,0,4,2,25,False
5,0,4,1,21,False
5,1,3,1,22,False
4,0,3,1,23,False
4,0,2,1,23,False
3,0,2,1,25,False
4,0,3,0,24,False
4,0,4,1,24,False
4,0,3,1,24,False
6,0,3,0,24,False
6,0,4,2,23,False
7,0,4,1,26,False
3,0,4,0,18,False
5,0,4,1,21,False
3,0,4,1,19,False
3,0,3,1,20,False
3,0,5,1,29,False
3,0,4,8,30,False
4,0,3,17,26,False
3,1,4,4,26,False
5,0,4,5,19,False
5,0,3,2,22,False
5,0,5,4,25,False
4,0,6,3,31,False
4,1,6,7,36,False
3,0,5,6,100,False
5,0,6,3,40,False
3,0,5,2,48,False
6,0,6,3,33,False
3,1,4,1,27,False
3,0,7,2,22,False
2,0,3,3,20,False
4,0,4,3,22,False
4,0,4,3,24,False
3,0,4,2,18,False
3,0,3,3,21,False
3,0,5,3,20,False
4,0,3,2,26,False
2,0,4,2,24,False
3,0,2,3,27,False
2,0,4,3,16,False
2,1,3,2,22,False
3,0,2,2,22,False
4,0,3,2,27,False
3,0,3,3,20,False
4,0,4,3,17,False
6,0,4,4,19,False
4,1,7,4,18,False
3,0,6,4,17,False
4,0,3,4,19,False
3,1,4,4,18,False
2,1,4,6,17,False
2,1,4,3,15,False
3,1,3,5,14,False
3,1,3,17,14,False
2,1,2,8,15,False
1,1,3,6,11,False
5,1,3,8,16,False
4,1,4,6,18,False
3,1,6,7,17,False
2,0,5,7,12,False
3,1,6,6,16,False
5,1,3,5,17,False
2,0,3,7,15,False
2,1,3,8,16,False
3,1,2,7,17,False
5,2,3,8,19,False
3,1,2,6,15,False
3,2,3,6,15,False
3,2,3,6,15,False
2,2,4,6,18,False
4,2,4,7,15,False
2,2,3,6,16,False
4,3,5,6,19,False
3,1,3,7,15,False
2,2,2,8,19,False
2,1,2,10,19,False
2,1,4,10,15,False
2,2,3,9,16,False
3,2,2,9,17,False
2,1,3,8,15,False
4,1,3,9,25,False
2,1,2,10,46,False
2,1,3,6,20,False
3,1,4,22,13,False
3,1,4,27,13,False
2,3,5,14,16,False
2,2,4,12,28,False
2,2,4,11,26,False
2,2,4,10,19,False
2,2,3,10,16,True
