Michael Metcalfe,Henry Lin,Annette Heuser,Mary Lou Jepsen,Iraola,isPartial
0,14,0,0,28,False
14,21,0,0,37,False
17,17,0,0,17,False
27,0,0,0,31,False
0,12,0,0,27,False
11,23,0,0,35,False
12,12,0,0,28,False
0,11,11,0,39,False
0,10,0,0,31,False
10,10,0,0,21,False
21,11,0,0,14,False
10,20,0,0,33,False
17,0,0,0,26,False
18,18,0,0,23,False
13,11,0,0,18,False
17,8,0,0,17,False
7,15,0,0,17,False
7,13,0,0,15,False
15,11,0,0,15,False
7,15,0,0,15,False
7,7,0,7,29,False
9,0,0,12,31,False
12,6,0,6,27,False
0,6,0,6,23,False
18,5,0,5,16,False
11,8,0,0,20,False
10,5,0,5,38,False
5,10,0,0,19,False
7,14,0,0,25,False
10,12,5,0,26,False
10,10,5,0,29,False
6,6,0,0,24,False
4,4,0,0,20,False
6,7,0,4,20,False
5,12,0,4,21,False
10,4,0,4,32,False
5,3,0,0,23,False
11,7,0,7,30,False
8,3,0,0,34,False
7,4,0,7,21,False
5,6,0,3,22,False
5,5,0,0,28,False
10,6,0,4,16,False
3,5,0,0,21,False
4,5,0,0,30,False
4,6,0,5,27,False
5,3,0,0,16,False
5,5,0,0,26,False
3,6,0,20,22,False
9,3,0,5,27,False
6,2,0,6,26,False
5,4,0,3,32,False
3,8,0,5,29,False
3,6,2,2,18,False
6,3,0,4,21,False
4,6,0,2,34,False
4,6,2,2,33,False
5,5,0,5,29,False
3,4,0,2,28,False
7,4,2,0,27,False
5,6,0,2,28,False
3,4,0,2,29,False
5,3,0,2,23,False
3,2,0,2,29,False
3,3,2,4,28,False
5,4,2,2,23,False
8,4,0,0,25,False
4,5,2,2,26,False
3,1,1,3,37,False
3,4,0,2,32,False
1,4,0,1,32,False
4,6,0,2,32,False
4,2,0,2,35,False
4,3,1,0,23,False
2,5,1,2,25,False
3,2,1,1,26,False
4,4,1,1,26,False
4,5,0,2,27,False
3,2,1,2,18,False
2,5,0,0,23,False
3,6,0,1,33,False
2,5,0,2,33,False
5,5,0,1,41,False
2,1,1,3,29,False
5,2,0,2,26,False
3,3,0,0,31,False
2,5,0,0,39,False
2,5,1,0,29,False
3,4,0,1,31,False
2,4,1,1,28,False
3,2,2,1,24,False
2,4,0,0,34,False
2,2,1,1,32,False
2,5,0,1,25,False
2,4,1,0,27,False
3,3,1,1,23,False
2,5,1,1,24,False
2,10,1,1,25,False
2,3,1,1,55,False
3,4,1,1,27,False
3,3,0,1,39,False
4,5,1,1,26,False
4,5,1,1,24,False
3,4,1,1,24,False
3,6,0,0,25,False
3,5,0,1,25,False
2,3,0,1,20,False
2,4,0,1,24,False
5,4,1,1,25,False
2,4,1,1,25,False
2,5,1,1,21,False
2,3,1,1,25,False
2,6,0,1,21,False
2,4,1,0,22,False
3,4,1,1,23,False
1,3,1,1,23,False
2,4,1,1,25,False
1,3,1,2,24,False
2,4,1,8,24,False
3,4,0,1,24,False
2,3,0,1,24,False
4,4,1,0,23,False
3,7,4,2,26,False
2,5,0,1,18,False
2,3,1,1,21,False
2,4,1,1,19,False
1,6,1,1,20,False
2,4,1,1,29,False
2,4,1,0,30,False
1,7,1,1,26,False
2,9,1,1,26,False
2,6,0,1,19,False
2,5,1,1,22,False
2,5,0,1,25,False
1,5,1,1,31,False
2,4,1,1,36,False
2,5,0,0,100,False
2,4,1,1,40,False
1,3,0,0,48,False
2,5,1,0,33,False
3,4,0,1,27,False
1,4,1,1,22,False
2,3,1,1,20,False
1,4,0,1,22,False
1,4,0,1,24,False
1,6,1,1,18,False
2,7,1,1,21,False
1,4,1,1,20,False
3,4,0,3,26,False
3,6,1,0,24,False
2,5,1,0,27,False
2,5,0,1,16,False
2,5,1,1,22,False
2,5,1,1,22,False
1,4,0,1,27,False
1,4,0,1,20,False
1,5,1,1,17,False
1,5,1,1,19,False
2,4,0,2,18,False
2,4,1,1,17,False
2,4,0,1,19,False
2,4,1,1,18,False
2,4,0,2,17,False
1,4,0,1,15,False
2,2,0,1,14,False
1,4,0,1,14,False
1,4,0,1,15,False
1,4,0,1,11,False
1,4,0,2,16,False
1,5,0,2,18,False
1,4,0,1,17,False
2,5,0,2,12,False
2,2,1,1,16,False
1,3,0,1,17,False
1,4,0,1,15,False
1,5,0,5,16,False
1,7,0,3,17,False
1,4,0,3,19,False
2,3,0,1,15,False
1,4,0,1,15,False
1,5,0,1,15,False
1,4,0,1,18,False
1,3,0,1,15,False
1,2,0,1,16,False
1,4,0,1,19,False
1,4,0,1,15,False
1,4,0,1,19,False
1,3,0,1,19,False
1,3,0,1,15,False
1,3,0,1,16,False
2,4,0,0,17,False
1,5,0,0,15,False
2,4,0,0,25,False
1,5,0,1,46,False
1,5,0,1,20,False
3,4,0,0,13,False
1,4,1,1,13,False
1,4,0,1,16,False
1,6,0,0,28,False
1,6,0,1,26,False
2,4,0,1,19,False
2,3,0,1,16,True
