Peter Tyack,Cameron Herold,Ananda Shankar Jayant,Chip Conley,Iraola,isPartial
0,0,0,0,15,False
0,0,0,15,44,False
0,18,0,0,18,False
0,0,0,0,42,False
0,0,0,12,30,False
0,0,0,0,42,False
0,0,0,13,25,False
0,0,0,12,58,False
0,0,11,0,32,False
0,0,0,0,11,False
0,0,0,0,11,False
0,0,0,0,36,False
0,0,0,0,22,False
0,0,0,9,23,False
0,0,0,8,12,False
0,0,0,0,18,False
0,0,0,0,23,False
0,0,0,0,16,False
0,0,0,8,20,False
0,0,0,8,8,False
0,0,0,0,28,False
0,7,0,0,39,False
0,0,0,7,39,False
0,0,0,6,22,False
0,0,0,6,14,False
0,0,0,9,20,False
0,0,0,0,40,False
0,0,5,0,19,False
0,0,0,0,32,False
0,0,0,5,21,False
0,0,0,0,28,False
0,0,0,0,21,False
0,0,0,0,18,False
0,0,0,0,16,False
0,0,4,8,24,False
0,0,0,4,39,False
0,0,4,7,29,False
0,4,0,4,38,False
0,0,3,7,35,False
0,0,3,0,17,False
0,3,3,0,24,False
0,3,0,3,25,False
0,0,0,6,12,False
0,3,0,3,23,False
0,3,0,0,28,False
0,0,3,9,33,False
0,0,0,5,17,False
0,3,0,7,29,False
0,2,0,2,22,False
0,0,2,5,30,False
0,0,2,7,23,False
0,0,0,2,36,False
0,0,2,2,26,False
0,3,0,4,18,False
0,2,0,2,22,False
0,0,2,4,41,False
0,0,0,3,35,False
0,0,0,4,33,False
0,0,0,2,31,False
0,0,0,5,31,False
0,0,2,2,29,False
0,2,0,5,30,False
0,2,0,2,29,False
0,0,2,2,31,False
0,0,0,3,32,False
0,5,0,6,23,False
0,2,0,4,27,False
0,2,0,2,29,False
0,1,4,1,39,False
0,0,0,2,36,False
0,0,1,6,33,False
0,0,0,3,33,False
0,3,0,1,39,False
0,0,1,3,24,False
0,1,2,1,21,False
0,3,0,4,28,False
0,1,0,3,30,False
0,10,5,10,28,False
0,4,1,8,18,False
0,3,1,5,26,False
0,2,0,3,31,False
0,2,0,5,32,False
0,2,1,5,41,False
0,1,1,2,31,False
0,1,1,4,26,False
0,5,0,5,31,False
0,1,0,5,36,False
0,2,1,3,28,False
0,1,0,7,33,False
0,3,0,4,28,False
0,2,1,4,25,False
0,1,1,4,33,False
0,3,1,6,32,False
0,2,1,7,25,False
0,1,1,4,28,False
0,2,0,4,25,False
0,1,1,6,22,False
0,3,0,9,27,False
0,1,1,7,52,False
0,4,0,6,28,False
0,1,1,8,37,False
0,2,1,4,26,False
0,1,0,4,24,False
0,1,2,4,23,False
0,2,1,5,23,False
0,1,1,6,23,False
0,1,0,6,21,False
0,1,0,3,24,False
0,1,0,2,28,False
0,1,1,3,29,False
0,1,1,3,20,False
0,2,1,3,24,False
0,1,1,3,23,False
0,1,1,3,24,False
0,2,2,2,22,False
0,1,1,3,23,False
0,1,0,6,24,False
0,1,1,3,24,False
0,2,1,4,25,False
0,2,1,5,26,False
0,3,1,5,22,False
0,2,1,2,24,False
0,2,0,3,27,False
0,2,1,3,20,False
0,1,1,4,20,False
0,2,1,4,21,False
0,1,0,4,22,False
0,1,0,2,30,False
0,2,1,5,33,False
0,2,1,3,28,False
0,2,1,5,29,False
0,2,1,3,19,False
0,1,0,2,22,False
0,2,1,1,27,False
0,1,1,2,33,False
0,1,0,3,36,False
0,1,1,4,100,False
0,1,1,4,40,False
0,1,1,2,49,False
0,0,0,3,35,False
0,2,0,3,28,False
0,1,0,2,23,False
0,0,1,2,19,False
0,1,0,3,19,False
0,1,0,2,24,False
0,0,2,3,19,False
0,0,0,2,22,False
0,1,0,1,20,False
0,1,0,5,24,False
0,1,0,2,25,False
0,1,0,2,27,False
0,1,0,1,16,False
0,0,0,3,22,False
0,2,1,3,24,False
0,1,0,5,29,False
0,3,0,2,19,False
0,1,0,3,19,False
0,1,0,2,21,False
0,1,0,2,21,False
0,2,0,4,19,False
0,2,0,3,17,False
0,2,0,1,19,False
0,1,1,1,17,False
0,1,0,1,14,False
0,2,0,1,15,False
0,0,1,3,14,False
0,1,1,4,15,False
0,2,1,1,12,False
0,3,0,3,16,False
0,1,0,2,20,False
0,2,0,1,17,False
0,2,0,1,14,False
0,1,1,1,18,False
0,1,0,3,16,False
0,1,0,1,17,False
0,1,0,3,17,False
0,1,1,4,17,False
0,1,0,5,19,False
0,2,0,3,16,False
0,1,0,2,17,False
0,2,1,3,15,False
0,1,0,3,17,False
0,1,1,5,15,False
0,1,0,3,15,False
0,1,1,2,21,False
0,2,0,7,15,False
0,1,0,6,19,False
0,1,0,4,18,False
0,1,0,3,16,False
0,1,0,3,16,False
0,1,0,2,17,False
0,1,0,2,17,False
0,1,0,3,25,False
0,1,1,4,50,False
0,1,0,2,21,False
0,1,0,3,13,False
0,1,0,3,12,False
0,1,0,2,18,False
0,1,0,2,31,False
0,1,0,1,26,False
0,1,0,2,19,False
0,2,0,2,16,True
