Thomas Hellum,Catherine Crump,Dave Troy,Vernā Myers,Iraola,isPartial
0,0,21,0,28,False
0,0,14,0,37,False
0,0,17,0,17,False
0,0,27,0,31,False
0,0,11,0,27,False
0,11,12,0,35,False
0,0,12,0,28,False
0,0,11,0,39,False
0,0,20,0,31,False
10,0,10,0,21,False
0,0,14,0,14,False
0,10,20,0,33,False
0,0,9,0,26,False
0,0,18,0,23,False
0,8,11,0,18,False
0,0,14,0,17,False
0,0,18,0,17,False
0,0,15,0,15,False
0,0,8,0,15,False
0,0,15,0,15,False
0,0,11,0,29,False
0,0,13,0,31,False
0,0,6,0,27,False
0,0,18,0,23,False
0,5,13,0,16,False
0,0,15,0,20,False
0,5,13,0,38,False
0,0,12,0,19,False
0,0,17,0,25,False
0,0,15,0,26,False
0,0,15,0,29,False
0,0,11,0,24,False
4,0,7,0,20,False
0,0,11,0,20,False
0,4,8,0,21,False
0,0,6,0,32,False
0,3,9,0,23,False
0,4,5,0,30,False
0,0,13,0,34,False
3,0,13,0,21,False
0,3,11,0,22,False
0,0,9,0,28,False
0,0,9,0,16,False
0,6,11,0,21,False
0,0,14,0,30,False
0,0,9,0,27,False
0,0,6,0,16,False
0,3,9,0,26,False
2,2,8,0,22,False
0,0,6,0,27,False
0,0,8,0,26,False
0,0,11,0,32,False
0,2,6,0,29,False
0,0,9,0,18,False
0,0,10,0,21,False
0,0,13,0,34,False
2,2,8,0,33,False
0,0,8,0,29,False
0,0,11,0,28,False
0,0,6,0,27,False
0,0,5,0,28,False
0,0,7,0,29,False
0,2,9,0,23,False
0,0,11,0,29,False
0,2,11,0,28,False
0,2,9,0,23,False
0,2,14,0,25,False
0,2,9,0,26,False
0,0,6,0,37,False
0,1,8,0,32,False
0,0,8,0,32,False
0,0,7,0,32,False
1,0,7,0,35,False
0,0,10,0,23,False
1,0,8,0,25,False
0,0,13,0,26,False
1,0,9,0,26,False
0,2,10,0,27,False
1,0,12,0,18,False
0,0,8,0,23,False
0,0,7,0,33,False
1,1,4,0,33,False
0,1,5,0,41,False
1,0,6,0,29,False
0,1,7,0,26,False
0,1,6,0,31,False
0,1,9,0,39,False
0,1,9,0,29,False
0,0,5,1,31,False
0,1,7,1,28,False
0,0,8,0,24,False
1,1,6,0,34,False
0,0,10,0,32,False
0,1,5,1,25,False
0,1,9,0,27,False
0,1,8,0,23,False
0,0,6,0,24,False
0,1,8,0,25,False
0,1,7,0,55,False
0,1,7,0,27,False
0,1,5,0,39,False
0,1,11,1,26,False
0,1,7,0,24,False
1,1,6,0,24,False
1,1,6,0,25,False
0,1,8,0,25,False
0,1,5,0,20,False
0,2,6,0,24,False
0,1,6,0,25,False
0,0,9,0,25,False
0,1,5,0,21,False
0,1,6,0,25,False
0,0,7,1,21,False
1,0,7,0,22,False
0,1,6,0,23,False
1,1,7,0,23,False
0,1,6,0,25,False
0,1,5,0,24,False
0,1,3,0,24,False
1,1,7,0,24,False
0,1,5,0,24,False
0,1,6,0,23,False
0,0,7,0,26,False
0,0,7,0,18,False
0,0,6,0,21,False
1,0,7,0,19,False
1,1,6,0,20,False
0,0,7,0,29,False
1,0,5,0,30,False
0,0,5,0,26,False
0,0,5,0,26,False
2,7,7,0,19,False
1,1,6,0,22,False
1,1,7,2,25,False
1,1,5,0,31,False
0,1,5,0,36,False
0,1,7,0,100,False
1,1,7,0,40,False
0,0,6,1,48,False
1,0,4,0,33,False
1,0,5,0,27,False
0,0,5,0,22,False
1,0,6,0,20,False
0,0,5,0,22,False
0,0,7,0,24,False
0,0,5,0,18,False
0,0,6,0,21,False
0,0,5,1,20,False
0,0,6,0,26,False
0,1,6,0,24,False
1,0,8,0,27,False
1,0,4,0,16,False
0,0,6,0,22,False
0,0,6,0,22,False
0,0,6,0,27,False
0,1,6,0,20,False
0,1,4,0,17,False
0,0,4,0,19,False
0,0,5,0,18,False
0,1,6,0,17,False
1,0,4,0,19,False
0,0,6,0,18,False
0,1,6,0,17,False
0,0,6,0,15,False
0,0,5,0,14,False
0,0,6,0,14,False
1,0,4,0,15,False
0,0,4,0,11,False
0,0,4,1,16,False
1,1,6,0,18,False
0,1,5,0,17,False
0,0,5,0,12,False
0,0,8,0,16,False
0,0,3,0,17,False
0,0,5,0,15,False
0,0,5,1,16,False
0,0,5,0,17,False
0,0,4,0,19,False
0,0,4,0,15,False
0,0,5,0,15,False
0,0,5,0,15,False
0,0,6,0,18,False
0,0,4,0,15,False
0,0,6,0,16,False
0,0,3,0,19,False
0,0,5,0,15,False
0,0,5,0,19,False
0,0,4,0,19,False
0,0,5,0,15,False
0,0,5,0,16,False
0,1,5,0,17,False
0,1,4,0,15,False
0,0,4,0,25,False
0,0,4,0,46,False
0,0,4,0,20,False
0,0,5,0,13,False
0,0,4,0,13,False
0,0,4,0,16,False
0,1,4,0,28,False
0,0,3,0,26,False
0,0,4,0,19,False
0,0,5,1,16,True
