Renny Gleeson,Shai Agassi,Gregory Stock,JoAnn Kuchera-Morin,Iraola,isPartial
0,16,31,0,24,False
0,16,21,0,47,False
0,19,19,0,29,False
0,20,15,0,30,False
0,0,13,0,30,False
0,13,0,0,26,False
0,27,18,0,27,False
0,37,12,0,50,False
0,12,17,0,27,False
0,18,16,0,24,False
0,12,12,0,12,False
0,11,0,0,17,False
10,19,10,0,23,False
0,25,15,0,31,False
0,23,17,0,23,False
0,19,10,0,29,False
0,8,17,0,20,False
0,20,0,0,28,False
0,26,22,0,26,False
0,11,17,0,17,False
0,17,8,0,30,False
0,7,14,0,28,False
0,18,19,0,21,False
0,10,10,0,28,False
0,8,12,0,18,False
0,15,10,0,21,False
0,24,11,0,36,False
0,12,10,0,21,False
0,14,5,0,35,False
6,15,8,0,35,False
0,11,6,0,34,False
5,13,0,0,22,False
0,7,7,0,25,False
0,9,10,0,22,False
0,7,11,0,26,False
0,8,7,0,26,False
0,12,0,0,22,False
0,12,6,0,26,False
0,82,8,0,28,False
0,47,8,0,25,False
3,28,11,0,31,False
0,22,13,0,26,False
0,18,7,0,29,False
0,10,5,0,25,False
0,17,10,0,33,False
0,27,5,0,21,False
0,24,4,0,27,False
0,17,9,0,27,False
0,22,8,0,24,False
3,14,10,0,21,False
0,21,8,2,27,False
0,23,4,2,27,False
2,21,6,0,30,False
0,18,6,2,19,False
0,30,9,0,16,False
0,35,5,0,35,False
0,25,5,2,36,False
0,14,6,0,32,False
0,22,3,2,36,False
0,40,8,2,32,False
0,24,5,0,28,False
0,27,7,0,28,False
0,27,8,0,27,False
4,63,7,2,35,False
2,33,4,2,30,False
2,29,5,2,33,False
2,19,3,0,30,False
2,23,4,0,35,False
2,35,3,0,40,False
2,17,4,0,33,False
2,22,3,0,39,False
2,16,5,2,36,False
3,17,7,0,36,False
0,22,4,0,24,False
0,11,5,1,31,False
1,12,4,0,27,False
0,14,5,0,26,False
0,11,5,1,32,False
0,15,4,0,21,False
0,11,3,0,25,False
0,12,6,2,28,False
1,7,3,0,34,False
0,11,5,0,46,False
1,22,3,0,37,False
1,15,3,0,33,False
0,11,5,0,45,False
1,12,4,0,43,False
1,9,4,0,36,False
0,8,4,0,40,False
0,7,3,0,34,False
3,6,4,0,26,False
1,5,3,0,38,False
1,5,2,0,38,False
1,6,4,2,31,False
1,7,3,0,27,False
1,5,5,0,24,False
1,7,4,0,29,False
0,7,3,0,35,False
1,5,5,0,52,False
1,6,3,0,33,False
3,6,2,0,52,False
1,5,4,0,24,False
1,5,2,0,25,False
1,3,6,0,27,False
1,5,2,0,28,False
1,16,4,0,23,False
1,7,3,0,26,False
1,7,3,1,27,False
1,4,2,0,26,False
0,7,4,1,25,False
2,7,2,1,21,False
1,5,3,0,23,False
1,7,4,0,24,False
0,7,3,0,24,False
0,4,3,0,24,False
0,5,3,0,29,False
1,3,3,0,29,False
0,3,3,0,25,False
0,4,3,0,27,False
0,2,2,0,26,False
1,4,4,0,26,False
0,2,3,0,29,False
0,2,3,0,28,False
0,5,4,0,24,False
1,4,4,0,27,False
1,3,3,0,25,False
0,1,4,1,26,False
0,2,3,1,34,False
1,2,4,0,38,False
0,2,4,0,29,False
0,2,5,0,29,False
1,1,4,0,23,False
1,2,5,0,26,False
1,2,4,0,27,False
1,1,3,1,36,False
0,1,4,0,46,False
1,2,3,1,100,False
1,2,3,0,47,False
0,1,3,1,50,False
1,2,4,0,39,False
1,1,4,0,27,False
0,2,4,0,25,False
0,2,4,0,25,False
0,2,3,0,23,False
0,2,2,0,25,False
1,2,5,0,19,False
1,2,5,0,24,False
1,2,6,0,20,False
0,1,4,0,29,False
1,1,4,0,29,False
0,1,3,0,29,False
0,1,3,0,20,False
1,2,3,0,21,False
1,1,5,0,30,False
0,1,3,0,32,False
0,1,4,0,27,False
0,2,5,0,17,False
1,1,6,0,20,False
0,2,3,0,19,False
0,1,4,0,19,False
1,1,3,0,22,False
0,1,4,0,19,False
0,1,3,0,18,False
0,2,4,0,19,False
0,1,4,0,17,False
0,1,4,0,19,False
0,0,5,0,17,False
0,1,3,0,12,False
0,1,5,0,18,False
0,2,3,0,19,False
0,1,7,0,17,False
0,1,6,0,15,False
0,1,4,0,20,False
1,1,4,0,18,False
1,0,3,0,17,False
1,0,4,0,20,False
1,1,4,0,21,False
0,1,4,0,21,False
0,1,3,0,20,False
0,1,4,0,20,False
1,1,5,0,17,False
0,1,3,0,19,False
0,1,4,0,16,False
0,1,4,0,18,False
0,1,5,0,17,False
0,2,5,0,18,False
0,1,6,0,23,False
0,1,3,0,20,False
0,1,4,0,20,False
0,1,4,0,17,False
0,1,4,1,18,False
0,1,3,0,17,False
1,2,4,0,29,False
0,1,6,0,53,False
0,1,8,0,21,False
0,1,9,0,16,False
0,1,13,0,17,False
0,1,7,0,15,False
1,0,8,0,34,False
0,0,6,0,29,False
0,1,5,0,22,False
0,0,7,0,19,True
