Béatrice Coron,Hasan Elahi,Paul Zak,Anna Mracek Dietrich,Iraola,isPartial
0,0,14,0,28,False
0,0,0,0,37,False
0,0,34,0,17,False
0,0,0,0,31,False
0,0,11,0,27,False
0,12,11,0,35,False
0,12,24,0,28,False
0,11,11,0,39,False
0,10,31,0,31,False
0,0,0,0,21,False
0,0,11,0,14,False
0,0,10,0,33,False
0,0,14,0,26,False
0,0,14,0,23,False
0,0,8,0,18,False
0,0,8,0,17,False
0,7,10,0,17,False
0,0,15,0,15,False
0,0,23,0,15,False
0,0,22,0,15,False
0,0,7,0,29,False
0,0,17,0,31,False
0,6,10,0,27,False
0,0,6,0,23,False
0,0,5,0,16,False
6,0,6,6,20,False
0,0,10,0,38,False
0,5,5,0,19,False
0,5,6,0,25,False
0,5,15,0,26,False
0,0,0,0,29,False
0,0,5,0,24,False
0,0,11,0,20,False
0,6,8,0,20,False
0,4,4,0,21,False
4,4,0,0,32,False
0,0,9,0,23,False
0,4,6,0,30,False
0,0,6,0,34,False
0,3,5,0,21,False
0,39,4,0,22,False
0,16,13,0,28,False
0,7,6,0,16,False
0,17,6,0,21,False
0,18,3,0,30,False
0,7,4,0,27,False
0,5,4,0,16,False
0,4,10,0,26,False
0,19,9,0,22,False
2,0,4,0,27,False
0,5,4,0,26,False
0,2,8,0,32,False
0,39,3,0,29,False
0,2,7,0,18,False
0,2,3,0,21,False
0,2,6,0,34,False
0,3,7,0,33,False
0,3,5,0,29,False
0,0,5,0,28,False
0,5,4,0,27,False
0,3,7,0,28,False
0,2,3,0,29,False
0,2,7,2,23,False
0,2,4,0,29,False
0,2,4,0,28,False
0,0,5,0,23,False
0,0,4,0,25,False
0,2,9,0,26,False
0,0,5,0,37,False
0,2,4,0,32,False
0,1,4,1,32,False
0,2,5,0,32,False
0,2,6,0,35,False
1,4,3,0,23,False
0,2,4,0,25,False
0,2,4,0,26,False
0,1,4,0,26,False
0,4,4,0,27,False
0,1,4,0,18,False
0,1,6,2,23,False
0,4,4,1,33,False
0,1,3,0,33,False
0,2,6,0,41,False
1,1,4,0,29,False
0,1,6,0,26,False
1,3,6,0,31,False
0,1,4,0,39,False
0,2,2,0,29,False
0,1,6,0,31,False
0,1,6,0,28,False
1,2,4,2,24,False
1,1,3,0,34,False
0,2,4,0,32,False
2,13,3,0,25,False
2,16,14,1,27,False
1,5,8,1,23,False
1,6,6,1,24,False
1,8,6,1,25,False
1,3,6,0,55,False
1,2,11,0,27,False
1,1,11,1,39,False
0,2,5,0,26,False
1,2,7,0,24,False
1,2,4,0,24,False
0,1,6,0,25,False
0,2,7,0,25,False
1,1,7,0,20,False
1,1,6,1,24,False
0,1,6,1,25,False
0,2,5,0,25,False
1,1,5,0,21,False
0,2,4,1,25,False
1,1,4,1,21,False
1,2,4,0,22,False
2,1,4,0,23,False
1,1,5,0,23,False
1,2,4,0,25,False
1,2,5,1,24,False
1,1,6,1,24,False
1,1,8,0,24,False
0,1,7,0,24,False
0,3,6,0,23,False
1,1,5,0,26,False
0,2,4,0,18,False
0,1,4,0,21,False
1,1,4,0,19,False
1,1,4,0,20,False
1,1,5,0,29,False
1,2,3,1,30,False
1,1,5,0,26,False
1,2,4,0,26,False
1,1,3,0,19,False
0,1,4,0,22,False
0,2,6,0,25,False
0,1,5,0,31,False
0,1,5,0,36,False
0,0,2,0,100,False
0,0,5,0,40,False
0,1,4,0,48,False
0,1,4,0,33,False
0,1,4,0,27,False
0,1,4,0,22,False
0,1,4,0,20,False
0,1,4,0,22,False
0,1,4,0,24,False
0,0,3,0,18,False
0,1,3,0,21,False
0,1,3,0,20,False
0,1,4,0,26,False
0,0,3,0,24,False
0,0,3,0,27,False
0,0,3,0,16,False
0,0,4,0,22,False
0,1,3,0,22,False
0,1,4,0,27,False
0,1,3,0,20,False
0,1,3,0,17,False
1,1,3,0,19,False
0,1,3,0,18,False
0,1,5,0,17,False
0,0,4,0,19,False
0,0,5,0,18,False
0,0,3,0,17,False
0,1,3,0,15,False
0,1,4,0,14,False
0,1,3,0,14,False
0,0,4,0,15,False
0,0,3,0,11,False
0,1,4,0,16,False
0,0,3,0,18,False
0,1,4,0,17,False
0,1,4,0,12,False
0,0,3,0,16,False
0,1,4,1,17,False
0,1,4,0,15,False
0,1,3,0,16,False
0,1,4,0,17,False
0,2,4,0,19,False
0,1,2,0,15,False
0,0,3,0,15,False
0,1,5,0,15,False
0,3,3,0,18,False
0,1,4,0,15,False
0,1,4,0,16,False
0,1,3,0,19,False
0,1,2,0,15,False
0,0,4,0,19,False
0,1,3,0,19,False
0,0,4,0,15,False
0,1,4,0,16,False
0,0,3,0,17,False
0,0,2,0,15,False
0,0,3,0,25,False
0,1,3,0,46,False
0,0,3,0,20,False
0,0,3,0,13,False
0,0,3,0,13,False
0,0,3,0,16,False
0,1,3,0,28,False
0,0,5,0,26,False
0,0,3,0,19,False
0,0,2,0,16,True
